Distance Bin Center (km),Mean Passthrough Rate,Median Passthrough Rate
0.5,0.29040176642899646,0.15208139311914826
1.5,0.28854703372747864,0.1528772869473664
2.5,0.25342323764069924,0.12415345327731105
3.5,0.0,0.0
4.5,0.0,0.0
5.5,0.0,0.0
6.5,0.0,0.0
7.5,0.0,0.0
8.5,0.0,0.0
9.5,0.0,0.0
10.5,0.0,0.0
11.5,0.0,0.0
12.5,0.0,0.0
13.5,0.0,0.0
14.5,0.0,0.0
