Distance Bin Center (km),Mean Passthrough Rate,Median Passthrough Rate
0.5,0.2744853750952957,0.11714552073199562
1.5,0.2522382340347559,0.09683676852486273
2.5,0.23710592306463177,0.1357098699241344
3.5,0.16350862659071075,0.049654564162586415
4.5,0.18607441076122688,0.04612667096128158
5.5,0.2069616626377735,0.09778015999583106
6.5,0.17202529748224363,0.07666102390570054
7.5,0.0,0.0
8.5,0.0,0.0
9.5,0.0,0.0
10.5,0.0,0.0
11.5,0.0,0.0
12.5,0.0,0.0
13.5,0.0,0.0
14.5,0.0,0.0
