Distance Bin Center (km),Mean Passthrough Rate,Median Passthrough Rate
0.5,0.2695389661722346,0.11269344894357954
1.5,0.24787920507297398,0.0876939975031029
2.5,0.245161768096956,0.11750040499101234
3.5,0.15776477182646395,0.05026115715388133
4.5,0.16391368103803372,0.044304940912785876
5.5,0.21690957150111637,0.12132893078700616
6.5,0.14207266701024868,0.05155115170191511
7.5,0.15736720778392457,0.054250044320253224
8.5,0.20781110570887365,0.08284676524276911
9.5,0.0,0.0
10.5,0.0,0.0
11.5,0.0,0.0
12.5,0.0,0.0
13.5,0.0,0.0
14.5,0.0,0.0
