# Flt#  Seg#     Lat1        Lon1        Lat2        Lon2        Rake     Slp_rt   Slp_sig
 7505     1    31.35570  -114.11800    31.45850  -114.20700   180.000    32.550     4.850
 7505     2    31.45850  -114.20700    31.60160  -114.33200   180.000    32.550     4.850
 7505     3    31.60160  -114.33200    31.78600  -114.52200   180.000    32.550     4.850
 7505     4    31.78600  -114.52200    31.99520  -114.76500   180.000    32.550     4.850
 7505     5    31.99520  -114.76500    32.15220  -114.93300   180.000    32.550     4.850
 7506     1    31.09720  -114.43900    31.19360  -114.33000    96.100    39.297     2.607
 7506     2    31.19360  -114.33000    31.35570  -114.11800    96.100    39.297     2.607
 0008     1    38.99726  -122.49936    39.08996  -122.59732   180.000     3.145     3.010
 0008     2    39.08996  -122.59732    39.15179  -122.65323   180.000     3.145     3.010
 0008     3    39.15179  -122.65323    39.21585  -122.75552   180.000     3.145     3.010
 0008     4    39.21585  -122.75552    39.28298  -122.81235   180.000     3.145     3.010
 0008     5    39.28298  -122.81235    39.35009  -122.86929   180.000     3.145     3.010
 0008     6    39.35009  -122.86929    39.39771  -122.91976   180.000     3.145     3.010
 0008     7    39.39771  -122.91976    39.46640  -122.95553   180.000     3.145     3.010
 0008     8    39.46640  -122.95553    39.52238  -123.00285   180.000     3.145     3.010
 0008     9    39.52238  -123.00285    39.57834  -123.05026   180.000     3.145     3.010
 0008    10    39.57834  -123.05026    39.65001  -123.12053   180.000     3.145     3.010
 0008    11    39.65001  -123.12053    39.69494  -123.15794   180.000     3.145     3.010
 0008    12    39.69494  -123.15794    39.72038  -123.21711   180.000     3.145     3.010
 0008    13    39.72038  -123.21711    39.75486  -123.24577   180.000     3.145     3.010
 0008    14    39.75486  -123.24577    39.80548  -123.28762   180.000     3.145     3.010
 0008    15    39.80548  -123.28762    39.90005  -123.33892   180.000     3.145     3.010
 0008    16    39.90005  -123.33892    39.96296  -123.39605   180.000     3.145     3.010
 0008    17    39.96296  -123.39605    40.03030  -123.43804   180.000     3.145     3.010
 0008    18    40.03030  -123.43804    40.07723  -123.42427   180.000     3.145     3.010
 0008    19    40.07723  -123.42427    40.17096  -123.44954   180.000     3.145     3.010
 0008    20    40.17096  -123.44954    40.20732  -123.49065   180.000     3.145     3.010
 0019     1    33.34502  -115.70597    33.24818  -115.64921  -157.500    14.324     6.277
 0019     2    33.24818  -115.64921    33.15129  -115.59260  -157.500    14.324     6.277
 0019     3    33.15129  -115.59260    33.05435  -115.53614  -157.500    14.324     6.277
 0019     4    33.05435  -115.53614    32.95736  -115.47983  -157.500    14.324     6.277
 0019     5    32.95736  -115.47983    32.91068  -115.47620  -157.500    14.324     6.277
 0019     6    32.91068  -115.47620    32.84074  -115.48697  -157.500    14.324     6.277
 0922     1    37.06096  -121.50876    37.09516  -121.52982   180.000     9.695     4.630
 0922     2    37.09516  -121.52982    37.13357  -121.56039   180.000     9.695     4.630
 0922     3    37.13357  -121.56039    37.17295  -121.60227   180.000     9.695     4.630
 0922     4    37.17295  -121.60227    37.23399  -121.65839   180.000     9.695     4.630
 0922     5    37.23399  -121.65839    37.29831  -121.68351   180.000     9.695     4.630
 0922     6    37.29831  -121.68351    37.31697  -121.69482   180.000     9.695     4.630
 0922     7    37.31697  -121.69482    37.37589  -121.73963   180.000     9.695     4.630
 0922     8    37.37589  -121.73963    37.39785  -121.75847   180.000     9.695     4.630
 0922     9    37.39785  -121.75847    37.43111  -121.79574   180.000     9.695     4.630
 0922    10    37.43111  -121.79574    37.44907  -121.80914   180.000     9.695     4.630
 0922    11    37.44907  -121.80914    37.45749  -121.81311   180.000     9.695     4.630
 0923     1    37.45749  -121.81311    37.50955  -121.83762   180.000     4.170     2.180
 0923     2    37.50955  -121.83762    37.53380  -121.84935   180.000     4.170     2.180
 0923     3    37.53380  -121.84935    37.57928  -121.86568   180.000     4.170     2.180
 0923     4    37.57928  -121.86568    37.60052  -121.87531   180.000     4.170     2.180
 0923     5    37.60052  -121.87531    37.63999  -121.90295   180.000     4.170     2.180
 0923     6    37.63999  -121.90295    37.67381  -121.92263   180.000     4.170     2.180
