segment Montserrat
16.738 -62.238
16.745 -62.239
16.76 -62.227
16.779 -62.222
16.787 -62.216
16.795 -62.21
16.808 -62.208
16.813 -62.206
16.817 -62.202
16.811 -62.181
16.806 -62.179
16.797 -62.182
16.791 -62.181
16.78 -62.172
16.77 -62.17
16.764 -62.166
16.76 -62.16
16.751 -62.154
16.739 -62.15
16.731 -62.155
16.726 -62.156
16.719 -62.154
16.711 -62.155
16.698 -62.147
16.694 -62.146
16.689 -62.149
16.68 -62.156
16.679 -62.157
16.674 -62.164
16.671 -62.172
16.671 -62.179
16.673 -62.183
16.673 -62.192
16.683 -62.21
16.692 -62.219
16.7 -62.223
16.715 -62.235
16.718 -62.241
16.72 -62.243
16.731 -62.238
16.738 -62.238
