segment Mexico
18.613 -87.435
segment Mexico
18.554 -88.219
18.557 -88.221
18.568 -88.215
18.58 -88.207
18.583 -88.205
18.609 -88.19
18.621 -88.182
18.622 -88.18
18.619 -88.178
18.612 -88.18
18.599 -88.188
18.586 -88.192
18.563 -88.21
18.554 -88.219
segment Mexico
18.563 -87.299
18.566 -87.301
18.568 -87.3
18.569 -87.299
18.575 -87.292
18.604 -87.267
18.611 -87.259
18.608 -87.258
18.595 -87.261
18.587 -87.264
18.579 -87.27
18.572 -87.279
18.563 -87.299
segment Mexico
18.569 -87.343
18.571 -87.349
18.573 -87.35
18.577 -87.349
18.585 -87.34
18.6 -87.335
18.603 -87.329
18.605 -87.322
18.602 -87.32
18.596 -87.319
18.573 -87.329
18.57 -87.334
18.569 -87.343
segment Mexico
18.589 -87.43
18.589 -87.441
18.592 -87.444
18.594 -87.443
18.595 -87.431
18.593 -87.429
18.589 -87.43
segment Mexico
18.381 -87.374
18.385 -87.378
18.388 -87.378
18.409 -87.354
18.424 -87.342
18.448 -87.329
18.461 -87.326
18.493 -87.323
18.507 -87.326
18.525 -87.333
18.526 -87.332
18.532 -87.331
18.543 -87.325
18.557 -87.31
18.559 -87.303
18.557 -87.302
18.548 -87.307
18.536 -87.319
18.522 -87.324
18.516 -87.324
18.505 -87.316
18.497 -87.314
18.488 -87.316
18.483 -87.318
18.465 -87.317
18.455 -87.319
18.417 -87.336
18.396 -87.352
18.382 -87.37
18.381 -87.374
segment Mexico
18.475 -87.442
18.48 -87.444
18.508 -87.445
18.519 -87.442
18.522 -87.439
18.518 -87.437
18.508 -87.441
18.488 -87.437
18.479 -87.439
18.475 -87.442
segment Mexico
18.429 -87.429
18.43 -87.431
18.435 -87.434
18.452 -87.437
18.461 -87.437
18.462 -87.435
18.461 -87.434
18.429 -87.429
segment Mexico
18.25 -87.891
18.256 -87.893
18.26 -87.892
18.26 -87.885
18.257 -87.883
18.25 -87.891
segment Mexico
18.17 -87.882
18.173 -87.883
18.184 -87.881
18.19 -87.878
18.19 -87.874
18.182 -87.874
18.177 -87.875
18.17 -87.88
18.17 -87.882
segment Mexico
22.554 -89.668
22.557 -89.672
22.563 -89.675
22.565 -89.674
22.564 -89.671
22.555 -89.665
22.554 -89.668
segment Mexico
22.549 -89.78
22.556 -89.784
22.561 -89.782
22.564 -89.778
22.55 -89.778
22.549 -89.78
segment Mexico
22.518 -89.622
22.518 -89.625
22.523 -89.628
22.527 -89.629
22.529 -89.627
22.528 -89.623
22.522 -89.62
22.518 -89.622
segment Mexico
22.444 -89.73
22.445 -89.734
22.447 -89.735
22.45 -89.734
22.453 -89.729
22.452 -89.726
22.447 -89.725
22.444 -89.73
segment Mexico
22.425 -89.683
22.425 -89.687
22.428 -89.691
22.432 -89.689
22.432 -89.683
22.429 -89.679
22.425 -89.683
segment Mexico
22.397 -89.647
22.399 -89.652
22.401 -89.651
22.404 -89.645
22.405 -89.637
22.403 -89.633
22.398 -89.642
22.397 -89.647
segment Mexico
21.557 -88.261
21.555 -88.26
21.553 -88.261
21.551 -88.268
21.552 -88.272
21.556 -88.269
21.557 -88.261
segment Mexico
21.463 -86.793
21.465 -86.797
21.476 -86.801
21.481 -86.802
21.496 -86.812
21.507 -86.814
21.517 -86.809
21.525 -86.812
21.527 -86.811
21.528 -86.808
21.521 -86.804
21.497 -86.797
21.488 -86.797
21.466 -86.791
21.463 -86.793
segment Mexico
21.192 -86.706
21.194 -86.71
21.206 -86.721
21.236 -86.743
21.24 -86.746
21.256 -86.755
21.262 -86.756
21.266 -86.755
21.266 -86.753
21.264 -86.749
21.238 -86.731
21.219 -86.723
21.203 -86.708
21.195 -86.703
21.192 -86.704
21.192 -86.706
segment Mexico
20.558 -86.816
20.555 -86.814
20.549 -86.82
20.545 -86.836
20.543 -86.837
20.541 -86.834
20.543 -86.825
20.552 -86.81
20.555 -86.801
20.556 -86.795
20.552 -86.791
20.552 -86.787
20.556 -86.785
20.566 -86.785
20.576 -86.773
20.577 -86.769
20.573 -86.769
20.566 -86.774
20.564 -86.773
20.565 -86.77
20.571 -86.762
20.581 -86.759
20.588 -86.747
20.594 -86.742
20.596 -86.738
20.587 -86.735
