segment Nicaragua
14.538 -82.651
14.543 -82.654
14.543 -82.656
14.547 -82.658
14.549 -82.661
14.551 -82.66
14.553 -82.658
14.553 -82.651
14.55 -82.65
14.549 -82.647
14.546 -82.646
14.538 -82.651
segment Nicaragua
14.407 -82.871
14.409 -82.876
14.416 -82.881
14.419 -82.879
14.415 -82.865
14.412 -82.862
14.41 -82.864
14.411 -82.867
14.407 -82.871
segment Nicaragua
14.347 -82.776
14.354 -82.781
14.356 -82.786
14.357 -82.794
14.356 -82.801
14.351 -82.813
14.353 -82.815
14.359 -82.811
14.363 -82.805
14.366 -82.798
14.374 -82.795
14.388 -82.784
14.4 -82.783
14.405 -82.778
14.407 -82.777
14.41 -82.772
14.41 -82.767
14.407 -82.755
14.41 -82.745
14.408 -82.741
14.403 -82.739
14.393 -82.741
14.388 -82.739
14.38 -82.74
14.372 -82.738
14.368 -82.74
14.365 -82.744
14.349 -82.753
14.347 -82.776
segment Nicaragua
14.32 -82.6
14.321 -82.603
14.32 -82.608
14.323 -82.609
14.328 -82.604
14.329 -82.601
14.323 -82.599
14.32 -82.6
segment Nicaragua
14.304 -82.604
14.31 -82.603
14.314 -82.601
14.317 -82.592
14.308 -82.595
14.307 -82.597
14.304 -82.601
14.304 -82.604
segment Nicaragua
12.273 -82.973
12.273 -82.979
12.281 -82.982
12.284 -82.988
12.288 -82.985
12.293 -82.985
12.295 -82.981
12.292 -82.978
12.277 -82.971
12.273 -82.973
segment Nicaragua
12.137 -83.064
12.139 -83.068
12.157 -83.073
12.163 -83.068
12.171 -83.065
12.174 -83.063
12.174 -83.055
12.177 -83.049
12.172 -83.037
12.167 -83.036
12.162 -83.038
12.154 -83.046
12.15 -83.056
12.142 -83.06
12.137 -83.064
segment Nicaragua
14.842 -83.716
14.843 -83.718
14.848 -83.714
14.849 -83.706
14.853 -83.7
14.859 -83.701
14.866 -83.701
14.867 -83.697
14.861 -83.69
14.864 -83.684
14.868 -83.679
14.871 -83.671
14.871 -83.659
14.875 -83.654
14.875 -83.647
14.873 -83.641
14.873 -83.634
14.869 -83.63
14.86 -83.631
14.855 -83.625
14.857 -83.622
14.867 -83.625
14.876 -83.617
14.88 -83.615
14.886 -83.619
14.89 -83.619
14.892 -83.61
14.896 -83.599
14.899 -83.598
14.902 -83.602
14.905 -83.603
14.908 -83.602
14.91 -83.598
14.909 -83.592
14.905 -83.587
14.904 -83.584
14.909 -83.579
14.909 -83.575
14.905 -83.569
14.905 -83.565
14.91 -83.564
14.919 -83.565
14.926 -83.565
14.931 -83.563
14.934 -83.559
14.931 -83.547
14.935 -83.545
14.942 -83.551
14.947 -83.553
14.949 -83.55
14.942 -83.538
14.944 -83.535
14.952 -83.542
14.962 -83.545
14.967 -83.545
14.974 -83.542
14.972 -83.535
14.966 -83.53
14.967 -83.526
14.976 -83.53
14.986 -83.532
14.99 -83.529
14.987 -83.525
14.98 -83.518
14.991 -83.514
14.999 -83.507
15 -83.504
15.003 -83.498
15.004 -83.492
15 -83.485
15 -83.484
14.993 -83.482
14.987 -83.484
14.985 -83.48
14.975 -83.468
14.978 -83.456
14.984 -83.447
14.988 -83.44
14.989 -83.434
14.987 -83.428
14.989 -83.425
14.994 -83.42
14.998 -83.416
15 -83.413
15.003 -83.409
15.007 -83.406
15.021 -83.407
15.026 -83.405
15.025 -83.397
15.015 -83.389
15.015 -83.377
15.01 -83.367
15.006 -83.362
15 -83.36
14.996 -83.356
14.997 -83.35
15 -83.349
15.01 -83.348
15.011 -83.345
15.008 -83.331
15.001 -83.317
15 -83.315
14.995 -83.303
14.995 -83.298
14.999 -83.287
14.999 -83.281
14.997 -83.278
14.991 -83.279
14.983 -83.291
14.98 -83.293
14.978 -83.292
14.974 -83.284
14.974 -83.28
14.981 -83.277
14.982 -83.277
14.984 -83.274
14.984 -83.253
14.981 -83.237
14.984 -83.226
14.993 -83.209
14.993 -83.2
14.99 -83.172
14.992 -83.158
14.988 -83.172
14.989 -83.18
14.984 -83.182
14.98 -83.179
14.969 -83.18
14.964 -83.183
14.967 -83.184
14.968 -83.184
14.975 -83.184
14.975 -83.185
14.972 -83.189
14.973 -83.198
14.975 -83.208
14.971 -83.217
14.966 -83.22
14.963 -83.217
14.961 -83.212
14.962 -83.209
14.96 -83.209
14.947 -83.223
14.935 -83.231
14.934 -83.235
14.938 -83.236
14.941 -83.233
14.948 -83.226
14.952 -83.231
14.955 -83.232
14.964 -83.236
14.966 -83.239
14.944 -83.249
14.929 -83.258
14.922 -83.255
14.923 -83.25
14.93 -83.244
14.93 -83.24
14.928 -83.24
14.909 -83.255
14.896 -83.268
14.895 -83.269
14.888 -83.272
14.874 -83.278
14.844 -83.281
14.838 -83.283
14.83 -83.288
14.811 -83.295
14.794 -83.304
14.786 -83.306
14.781 -83.309
14.782 -83.314
14.774 -83.317
14.773 -83.315
14.769 -83.314
14.692 -83.299
14.662 -83.292
14.66 -83.293
14.622 -83.281
14.593 -83.277
14.563 -83.268
14.492 -83.244
14.485 -83.238
14.468 -83.234
14.456 -83.227
14.453 -83.228
14.457 -83.231
14.458 -83.235
14.455 -83.235
14.448 -83.232
14.446 -83.229
14.45 -83.225
14.449 -83.222
14.443 -83.22
14.431 -83.221
14.398 -83.214
14.393 -83.213
14.36 -83.208
14.336 -83.204
14.327 -83.204
14.307 -83.209
14.265 -83.224
14.24 -83.236
14.205 -83.254
