segment Barbados
13.283 -59.648
13.297 -59.648
13.309 -59.643
13.324 -59.63
13.327 -59.624
13.327 -59.617
13.327 -59.613
13.326 -59.601
13.323 -59.593
13.318 -59.588
13.301 -59.577
13.25 -59.555
13.234 -59.543
13.23 -59.54
13.219 -59.529
13.207 -59.514
13.196 -59.494
13.178 -59.467
13.175 -59.461
13.176 -59.452
13.164 -59.44
13.161 -59.438
13.156 -59.43
13.154 -59.424
13.145 -59.42
13.137 -59.422
13.124 -59.427
13.088 -59.45
13.079 -59.46
13.069 -59.477
13.059 -59.492
13.045 -59.5
13.041 -59.515
13.04 -59.527
13.042 -59.531
13.054 -59.538
13.057 -59.543
13.064 -59.577
13.067 -59.583
13.071 -59.594
13.07 -59.603
13.072 -59.611
13.076 -59.612
13.083 -59.608
13.086 -59.609
13.092 -59.623
13.096 -59.625
13.105 -59.624
13.115 -59.63
13.146 -59.638
13.158 -59.638
13.166 -59.638
13.23 -59.643
13.275 -59.649
13.283 -59.648
