segment Belize
17.944 -88.824
17.948 -88.81
17.955 -88.805
17.968 -88.797
17.979 -88.78
17.993 -88.779
18.002 -88.774
18.01 -88.765
18.016 -88.762
18.034 -88.756
18.047 -88.741
18.052 -88.727
18.058 -88.714
18.063 -88.699
18.075 -88.692
18.104 -88.686
18.116 -88.68
18.138 -88.665
18.174 -88.653
18.213 -88.628
18.219 -88.617
18.226 -88.609
18.234 -88.605
18.25 -88.599
18.259 -88.6
18.279 -88.597
18.292 -88.593
18.298 -88.594
18.304 -88.591
18.319 -88.574
18.336 -88.559
18.347 -88.548
18.352 -88.545
18.358 -88.544
18.37 -88.547
18.378 -88.545
18.391 -88.538
18.402 -88.535
18.407 -88.531
18.409 -88.53
18.42 -88.525
18.442 -88.519
18.448 -88.518
18.45 -88.518
18.462 -88.513
18.47 -88.505
18.476 -88.495
18.494 -88.476
18.495 -88.473
18.495 -88.472
18.493 -88.471
18.49 -88.453
18.482 -88.447
18.48 -88.442
18.481 -88.433
18.484 -88.426
18.485 -88.423
18.496 -88.395
18.497 -88.393
18.497 -88.391
18.494 -88.389
18.487 -88.382
18.485 -88.376
18.485 -88.368
18.486 -88.355
18.488 -88.341
18.49 -88.328
segment Belize
18.021 -87.91
18.016 -87.908
18.007 -87.911
18.005 -87.912
17.989 -87.92
17.967 -87.927
17.907 -87.961
17.898 -87.971
17.897 -87.975
17.896 -87.978
17.893 -88.011
17.895 -88.013
17.897 -88.011
17.9 -88.004
17.91 -87.993
17.91 -87.987
17.908 -87.976
17.919 -87.977
17.92 -87.969
17.924 -87.963
17.943 -87.951
17.971 -87.935
17.975 -87.938
17.975 -87.941
17.962 -87.955
17.961 -87.96
17.967 -87.962
17.97 -87.965
17.974 -87.964
17.978 -87.959
17.983 -87.958
17.992 -87.961
18.006 -87.963
18.017 -87.96
18.019 -87.959
18.051 -87.945
18.073 -87.928
18.082 -87.926
18.095 -87.919
18.099 -87.92
18.103 -87.924
18.106 -87.924
18.108 -87.921
18.109 -87.915
18.111 -87.913
18.114 -87.913
18.115 -87.919
18.117 -87.92
18.119 -87.919
18.12 -87.918
18.125 -87.911
18.135 -87.909
18.147 -87.911
18.152 -87.909
18.16 -87.895
18.161 -87.89
18.155 -87.878
18.157 -87.871
18.167 -87.861
18.168 -87.858
18.165 -87.856
18.145 -87.85
18.139 -87.85
18.136 -87.851
18.129 -87.854
18.117 -87.871
18.113 -87.874
18.076 -87.881
18.059 -87.892
18.03 -87.902
18.03 -87.908
18.021 -87.91
segment Belize
18.102 -87.965
18.104 -87.968
18.107 -87.969
18.114 -87.968
18.12 -87.957
18.12 -87.951
18.118 -87.95
18.115 -87.951
18.105 -87.96
18.102 -87.965
segment Belize
18.067 -87.939
18.067 -87.941
18.07 -87.944
18.089 -87.947
18.093 -87.946
18.098 -87.938
18.098 -87.931
18.096 -87.93
18.085 -87.936
18.067 -87.939
segment Belize
17.866 -88.022
17.866 -88.038
17.868 -88.041
17.87 -88.041
17.872 -88.035
17.873 -88.018
17.87 -88.016
17.866 -88.019
17.866 -88.022
segment Belize
17.739 -88.007
17.74 -88.013
17.743 -88.015
17.746 -88.015
17.748 -88.015
17.758 -88.008
17.779 -88.01
17.796 -88.005
17.801 -88
17.8 -87.998
17.794 -87.997
17.776 -88.001
17.765 -87.999
17.751 -87.999
17.744 -88.003
17.739 -88.007
segment Belize
17.656 -88.159
17.657 -88.166
17.659 -88.167
17.665 -88.166
17.667 -88.163
17.676 -88.142
17.689 -88.133
17.692 -88.124
17.702 -88.115
17.705 -88.103
17.71 -88.095
17.716 -88.088
17.734 -88.08
17.734 -88.075
17.733 -88.075
17.729 -88.072
17.721 -88.07
17.715 -88.071
17.712 -88.074
17.712 -88.079
17.71 -88.083
17.695 -88.095
17.672 -88.118
17.661 -88.139
17.656 -88.159
segment Belize
17.671 -88.023
17.672 -88.025
17.682 -88.027
17.691 -88.027
17.712 -88.02
17.715 -88.017
17.714 -88.015
17.707 -88.014
17.676 -88.02
17.671 -88.023
segment Belize
17.641 -88.098
17.645 -88.111
17.653 -88.117
17.657 -88.113
17.656 -88.11
17.649 -88.102
17.643 -88.097
17.641 -88.098
segment Belize
17.62 -88.043
17.624 -88.046
17.635 -88.047
17.649 -88.045
17.654 -88.042
17.655 -88.039
17.645 -88.038
17.624 -88.041
17.62 -88.043
segment Belize
17.545 -88.048
17.546 -88.051
17.565 -88.063
17.575 -88.065
17.585 -88.063
17.594 -88.063
17.619 -88.072
17.632 -88.077
17.636 -88.075
17.637 -88.073
17.636 -88.068
17.633 -88.065
17.616 -88.059
17.607 -88.053
17.584 -88.06
17.579 -88.059
17.568 -88.048
17.561 -88.044
17.555 -88.044
17.545 -88.048
segment Belize
17.585 -87.781
17.587 -87.783
17.59 -87.782
17.592 -87.78
17.593 -87.774
17.59 -87.772
17.585 -87.774
17.585 -87.781
segment Belize
17.571 -87.82
17.573 -87.821
17.577 -87.819
17.581 -87.82
17.582 -87.817
17.579 -87.816
17.58 -87.808
17.577 -87.804
17.571 -87.82
segment Belize
17.549 -88.174
17.552 -88.175
17.558 -88.174
17.563 -88.17
17.566 -88.165
17.565 -88.16
17.56 -88.159
17.553 -88.163
17.55 -88.168
17.549 -88.174
segment Belize
17.27 -87.924
17.277 -87.933
17.284 -87.936
17.291 -87.936
17.322 -87.93
17.36 -87.916
17.363 -87.916
17.37 -87.92
17.391 -87.921
17.409 -87.919
17.417 -87.916
17.427 -87.908
17.433 -87.9
17.434 -87.894
17.433 -87.885
17.437 -87.882
17.454 -87.864
17.457 -87.86
17.473 -87.848
17.473 -87.845
17.471 -87.843
17.459 -87.841
17.456 -87.838
17.456 -87.832
17.454 -87.824
17.454 -87.818
17.458 -87.815
17.462 -87.814
17.479 -87.815
17.486 -87.813
17.497 -87.799
17.505 -87.795
17.506 -87.794
17.511 -87.793
17.515 -87.797
17.516 -87.814
17.511 -87.825
17.502 -87.834
