segment Honduras
13.405 -87.451
13.397 -87.452
13.396 -87.45
13.394 -87.438
13.388 -87.432
13.385 -87.431
13.383 -87.433
13.383 -87.438
13.388 -87.447
13.39 -87.454
13.395 -87.457
13.401 -87.457
13.406 -87.454
13.405 -87.451
segment Honduras
13.383 -87.386
13.376 -87.39
13.364 -87.391
13.365 -87.399
13.368 -87.401
13.374 -87.404
13.369 -87.406
13.371 -87.414
13.369 -87.415
13.366 -87.415
13.355 -87.421
13.354 -87.427
13.362 -87.428
13.373 -87.425
13.382 -87.421
13.395 -87.418
13.398 -87.415
13.392 -87.406
13.392 -87.392
13.387 -87.386
13.383 -87.386
segment Honduras
13.385 -87.46
13.387 -87.457
13.383 -87.448
13.38 -87.447
13.378 -87.444
13.378 -87.438
13.376 -87.437
13.37 -87.441
13.361 -87.443
13.359 -87.445
13.359 -87.447
13.365 -87.448
13.367 -87.454
13.366 -87.461
13.371 -87.469
13.376 -87.473
13.387 -87.474
13.384 -87.466
13.385 -87.46
segment Honduras
13.368 -87.867
13.375 -87.869
13.376 -87.865
13.379 -87.863
13.382 -87.856
13.381 -87.852
13.378 -87.85
13.373 -87.853
13.368 -87.867
segment Honduras
13.329 -87.556
13.328 -87.571
13.33 -87.574
13.341 -87.573
13.345 -87.574
13.347 -87.582
13.35 -87.585
13.352 -87.584
13.352 -87.576
13.35 -87.57
13.348 -87.565
13.34 -87.557
13.338 -87.548
13.333 -87.547
13.329 -87.556
segment Honduras
13.321 -87.708
13.322 -87.715
13.325 -87.718
13.329 -87.716
13.33 -87.712
13.327 -87.706
13.324 -87.704
13.321 -87.705
13.321 -87.708
segment Honduras
13.298 -87.681
13.309 -87.685
13.314 -87.68
13.325 -87.677
13.318 -87.671
13.313 -87.669
13.308 -87.676
13.302 -87.677
13.298 -87.681
segment Honduras
13.288 -87.754
13.289 -87.768
13.299 -87.767
13.306 -87.77
13.309 -87.769
13.312 -87.766
13.312 -87.762
13.309 -87.755
13.311 -87.743
13.309 -87.743
13.305 -87.745
13.3 -87.754
13.297 -87.755
13.292 -87.753
13.288 -87.754
segment Honduras
13.244 -87.642
13.246 -87.657
13.248 -87.659
13.259 -87.665
13.265 -87.665
13.282 -87.661
13.287 -87.658
13.292 -87.642
13.287 -87.633
13.283 -87.623
13.284 -87.618
13.278 -87.616
13.271 -87.616
13.267 -87.613
13.262 -87.617
13.261 -87.617
13.248 -87.619
13.249 -87.624
13.244 -87.63
13.244 -87.642
segment Honduras
13.274 -87.739
13.275 -87.747
13.283 -87.741
13.281 -87.738
13.275 -87.736
13.274 -87.739
segment Honduras
16.444 -85.918
16.442 -85.919
16.439 -85.917
16.433 -85.92
16.419 -85.942
16.408 -85.953
16.408 -85.959
16.412 -85.964
16.422 -85.951
16.431 -85.947
16.45 -85.942
16.452 -85.94
16.453 -85.933
16.454 -85.93
16.456 -85.928
16.466 -85.927
16.473 -85.921
16.48 -85.917
16.488 -85.909
16.494 -85.907
16.501 -85.902
16.5 -85.898
16.496 -85.888
16.499 -85.885
16.507 -85.886
16.51 -85.872
16.509 -85.87
16.507 -85.869
16.502 -85.871
16.501 -85.868
16.501 -85.865
16.505 -85.86
16.506 -85.852
16.506 -85.847
16.505 -85.845
16.494 -85.843
16.49 -85.844
16.484 -85.856
16.483 -85.868
16.481 -85.87
16.472 -85.868
16.462 -85.874
16.456 -85.884
16.452 -85.898
16.447 -85.907
16.444 -85.918
segment Honduras
16.431 -86.177
16.432 -86.178
16.436 -86.177
16.448 -86.135
16.439 -86.137
16.436 -86.14
16.435 -86.158
16.431 -86.17
16.431 -86.177
segment Honduras
16.419 -86.221
16.414 -86.237
16.417 -86.289
16.417 -86.298
16.415 -86.3
16.412 -86.3
16.41 -86.302
16.413 -86.316
16.414 -86.318
16.404 -86.339
16.396 -86.345
16.395 -86.351
16.4 -86.355
16.402 -86.37
16.4 -86.374
16.403 -86.377
16.403 -86.38
16.397 -86.386
16.395 -86.391
16.389 -86.395
16.386 -86.406
16.38 -86.408
16.377 -86.411
16.374 -86.423
16.369 -86.425
16.367 -86.428
16.368 -86.436
16.365 -86.451
16.356 -86.478
16.35 -86.482
16.344 -86.496
16.338 -86.503
16.324 -86.513
16.323 -86.516
16.324 -86.529
16.322 -86.533
16.314 -86.553
16.314 -86.568
16.303 -86.587
16.298 -86.6
16.295 -86.605
16.291 -86.603
16.289 -86.605
16.283 -86.618
16.275 -86.623
16.273 -86.628
16.273 -86.635
16.275 -86.639
16.277 -86.637
16.284 -86.632
16.292 -86.635
16.303 -86.631
16.312 -86.624
16.318 -86.617
16.329 -86.608
16.345 -86.587
16.347 -86.579
16.346 -86.573
16.346 -86.57
16.354 -86.568
16.352 -86.561
16.357 -86.556
16.361 -86.551
16.359 -86.545
16.365 -86.536
16.369 -86.526
16.37 -86.513
16.374 -86.504
16.383 -86.491
16.386 -86.476
16.393 -86.461
16.398 -86.457
16.405 -86.445
16.405 -86.44
16.406 -86.433
16.412 -86.427
16.418 -86.413
16.429 -86.399
16.43 -86.392
16.428 -86.382
16.432 -86.353
16.434 -86.349
16.439 -86.348
16.44 -86.345
