segment Guatemala
14.419 -89.353
14.418 -89.356
14.419 -89.361
14.43 -89.375
14.43 -89.378
14.427 -89.382
14.429 -89.384
14.44 -89.385
14.443 -89.386
14.445 -89.39
14.445 -89.394
14.44 -89.399
14.425 -89.408
14.412 -89.422
14.412 -89.423
14.411 -89.425
14.411 -89.436
14.412 -89.445
14.417 -89.459
14.416 -89.48
14.414 -89.487
14.396 -89.509
14.384 -89.518
14.382 -89.521
14.383 -89.527
14.384 -89.53
14.39 -89.532
14.404 -89.536
14.412 -89.542
14.413 -89.545
14.412 -89.558
14.411 -89.564
14.406 -89.572
14.402 -89.575
14.393 -89.577
14.373 -89.576
14.368 -89.575
14.354 -89.565
14.351 -89.565
14.347 -89.566
14.345 -89.568
14.345 -89.573
14.346 -89.576
14.344 -89.581
14.332 -89.585
14.316 -89.585
14.313 -89.584
14.311 -89.564
14.308 -89.557
14.298 -89.547
14.282 -89.542
14.265 -89.529
14.234 -89.517
14.224 -89.519
14.222 -89.521
14.221 -89.523
14.216 -89.531
14.212 -89.547
14.201 -89.568
14.198 -89.594
14.201 -89.617
14.201 -89.626
14.199 -89.632
14.196 -89.638
14.184 -89.661
14.174 -89.672
14.144 -89.698
14.116 -89.72
14.105 -89.724
14.1 -89.726
14.082 -89.737
14.064 -89.743
14.058 -89.743
14.033 -89.738
14.032 -89.751
14.034 -89.758
14.034 -89.764
14.03 -89.773
14.031 -89.777
14.04 -89.787
14.057 -89.814
14.06 -89.82
14.062 -89.823
14.06 -89.835
14.056 -89.848
14.052 -89.853
14.044 -89.858
14.043 -89.862
14.038 -89.893
14.035 -89.898
14.03 -89.901
14.012 -89.909
14.005 -89.925
14.005 -89.928
14.003 -89.929
13.995 -89.933
13.992 -89.938
13.986 -89.941
13.979 -89.954
13.979 -89.96
13.969 -89.964
13.966 -89.969
13.965 -89.973
13.965 -89.975
13.959 -89.978
13.958 -89.99
13.955 -89.993
13.954 -90
13.954 -90.001
13.949 -90.007
13.941 -90.011
13.939 -90.017
13.935 -90.021
13.936 -90.027
13.931 -90.027
13.924 -90.026
13.92 -90.028
13.917 -90.035
13.914 -90.037
13.903 -90.033
13.895 -90.035
13.89 -90.043
13.887 -90.063
13.879 -90.067
13.875 -90.079
13.87 -90.083
13.851 -90.088
13.845 -90.092
13.839 -90.095
13.836 -90.1
13.834 -90.104
13.834 -90.109
13.826 -90.113
13.821 -90.112
13.812 -90.107
13.807 -90.106
13.802 -90.112
13.798 -90.112
13.796 -90.114
13.777 -90.116
13.774 -90.114
13.776 -90.106
13.773 -90.104
13.761 -90.097
13.754 -90.096
13.746 -90.098
13.741 -90.101
13.738 -90.104
13.737 -90.108
13.742 -90.119
13.742 -90.123
13.738 -90.129
13.776 -90.215
13.786 -90.24
13.799 -90.271
13.804 -90.271
13.812 -90.279
13.82 -90.297
13.821 -90.31
13.819 -90.31
13.819 -90.311
13.825 -90.329
13.835 -90.351
13.851 -90.38
13.857 -90.401
13.862 -90.408
13.867 -90.426
13.871 -90.443
13.885 -90.474
13.885 -90.475
13.885 -90.478
13.888 -90.496
13.899 -90.524
13.905 -90.548
13.911 -90.573
13.92 -90.622
13.926 -90.671
13.926 -90.676
13.924 -90.732
13.92 -90.755
13.921 -90.76
13.925 -90.764
13.919 -90.778
13.918 -90.79
13.918 -90.802
13.919 -90.816
13.916 -90.834
13.913 -90.88
13.914 -90.896
13.912 -90.9
13.915 -90.911
13.913 -90.914
13.915 -90.918
13.912 -90.92
13.913 -90.95
13.912 -90.986
13.911 -91.034
13.913 -91.084
13.915 -91.108
13.918 -91.114
13.922 -91.164
13.925 -91.183
13.925 -91.191
13.926 -91.209
13.934 -91.242
13.935 -91.26
13.942 -91.274
13.947 -91.302
13.953 -91.316
13.98 -91.388
14.003 -91.434
14.008 -91.451
14.01 -91.452
14.01 -91.458
14.019 -91.482
14.039 -91.529
14.044 -91.537
14.045 -91.539
14.045 -91.543
14.05 -91.553
14.054 -91.559
14.064 -91.575
14.078 -91.601
14.087 -91.613
14.101 -91.638
14.114 -91.657
14.116 -91.658
14.118 -91.662
14.125 -91.661
14.123 -91.67
14.125 -91.673
14.138 -91.691
14.143 -91.702
14.147 -91.714
14.152 -91.719
14.154 -91.717
14.15 -91.708
14.15 -91.702
14.157 -91.711
14.163 -91.725
14.162 -91.727
14.16 -91.727
14.154 -91.722
14.17 -91.749
14.174 -91.76
14.179 -91.768
14.184 -91.781
14.186 -91.784
14.188 -91.783
14.19 -91.786
14.19 -91.79
14.207 -91.807
14.209 -91.806
14.21 -91.799
14.212 -91.795
14.214 -91.796
14.215 -91.8
14.214 -91.808
14.224 -91.819
14.221 -91.82
14.217 -91.816
14.214 -91.817
14.214 -91.818
14.216 -91.821
14.232 -91.835
14.273 -91.898
14.292 -91.919
14.313 -91.949
14.334 -91.975
14.344 -91.986
14.348 -91.989
14.35 -91.988
14.353 -91.991
14.353 -91.996
14.382 -92.036
14.385 -92.039
14.39 -92.038
14.392 -92.044
14.391 -92.045
14.418 -92.083
14.425 -92.092
14.464 -92.141
14.495 -92.185
14.5 -92.19
14.5 -92.192
14.502 -92.197
14.515 -92.213
14.528 -92.224
14.53 -92.229
14.534 -92.236
14.54 -92.241
14.535 -92.236
14.533 -92.23
14.533 -92.22
14.535 -92.218
14.552 -92.21
14.556 -92.208
14.561 -92.192
14.563 -92.19
14.57 -92.189
14.582 -92.182
14.599 -92.176
14.605 -92.175
14.621 -92.177
14.626 -92.175
14.63 -92.173
14.642 -92.162
14.646 -92.161
14.66 -92.15
14.667 -92.148
14.693 -92.147
14.698 -92.147
14.717 -92.15
14.724 -92.152
14.73 -92.156
14.741 -92.167
14.746 -92.169
14.752 -92.17
14.754 -92.167
14.756 -92.165
14.76 -92.162
14.765 -92.161
14.773 -92.163
14.781 -92.165
14.791 -92.17
14.798 -92.174
14.805 -92.176
14.811 -92.177
14.819 -92.179
14.823 -92.18
14.833 -92.183
14.84 -92.181
14.844 -92.178
14.852 -92.173
14.856 -92.169
14.857 -92.162
14.858 -92.16
14.873 -92.146
14.88 -92.143
14.887 -92.141
14.895 -92.14
14.912 -92.144
14.918 -92.143
14.924 -92.142
14.928 -92.144
14.933 -92.143
14.943 -92.147
14.949 -92.147
14.962 -92.145
14.977 -92.147
14.984 -92.146
14.99 -92.142
14.992 -92.141
14.999 -92.136
15 -92.135
15.012 -92.132
15.014 -92.129
15.015 -92.123
15.013 -92.117
15.012 -92.107
15.009 -92.104
15.008 -92.098
15.013 -92.093
15.036 -92.078
15.045 -92.076
15.049 -92.074
15.052 -92.068
15.061 -92.067
15.065 -92.064
15.07 -92.061
15.071 -92.06
15.17 -92.139
15.216 -92.176
15.262 -92.214
15.269 -92.21
15.352 -92.157
15.377 -92.142
15.443 -92.102
15.486 -92.076
15.595 -92.011
15.656 -91.974
15.704 -91.946
15.814 -91.882
15.924 -91.818
15.984 -91.782
16 -91.771
16.08 -91.725
16.068 -90.444
16.068 -90.441
16.07 -90.441
16.072 -90.44
16.076 -90.445
16.079 -90.445
16.082 -90.443
16.085 -90.437
16.093 -90.431
16.097 -90.423
16.1 -90.422
16.101 -90.426
16.099 -90.433
16.089 -90.442
16.087 -90.444
16.087 -90.447
16.09 -90.451
16.102 -90.456
16.12 -90.453
16.123 -90.451
16.124 -90.445
16.122 -90.439
16.117 -90.432
16.117 -90.429
16.118 -90.428
16.126 -90.429
16.134 -90.426
16.135 -90.428
16.135 -90.429
16.137 -90.443
16.14 -90.447
16.145 -90.449
16.149 -90.447
16.152 -90.443
16.152 -90.44
16.153 -90.432
16.158 -90.427
16.159 -90.424
16.162 -90.422
16.169 -90.425
16.173 -90.429
16.178 -90.445
16.183 -90.449
16.186 -90.452
16.188 -90.451
16.202 -90.454
16.203 -90.454
16.213 -90.453
16.22 -90.45
16.225 -90.444
16.228 -90.433
16.229 -90.426
16.234 -90.433
16.24 -90.436
16.24 -90.439
16.236 -90.444
16.236 -90.447
16.24 -90.451
16.245 -90.451
16.256 -90.445
16.259 -90.442
16.262 -90.437
16.26 -90.432
16.253 -90.423
16.257 -90.421
16.258 -90.422
16.266 -90.423
16.272 -90.434
16.279 -90.438
16.284 -90.436
16.288 -90.432
