segment Trinidad
11.219 -60.769
11.23 -60.755
11.239 -60.748
11.251 -60.728
11.268 -60.705
11.278 -60.699
11.283 -60.695
11.294 -60.669
11.297 -60.661
11.298 -60.652
11.303 -60.64
11.303 -60.632
11.31 -60.624
11.316 -60.612
11.318 -60.595
11.323 -60.582
11.323 -60.576
11.321 -60.572
11.314 -60.569
11.315 -60.563
11.319 -60.554
11.32 -60.551
11.325 -60.548
11.331 -60.552
11.333 -60.551
11.337 -60.543
11.338 -60.532
11.337 -60.524
11.334 -60.521
11.329 -60.519
11.316 -60.518
11.298 -60.527
11.292 -60.528
11.281 -60.521
11.27 -60.521
11.263 -60.525
11.257 -60.529
11.249 -60.53
11.246 -60.532
11.246 -60.537
11.255 -60.542
11.257 -60.545
11.256 -60.549
11.243 -60.552
11.238 -60.555
11.237 -60.558
11.243 -60.572
11.242 -60.581
11.239 -60.586
11.233 -60.59
11.215 -60.597
11.215 -60.604
11.209 -60.616
11.202 -60.623
11.194 -60.632
11.187 -60.655
11.188 -60.671
11.188 -60.684
11.185 -60.695
11.18 -60.7
11.167 -60.721
11.166 -60.725
11.166 -60.727
11.167 -60.728
11.173 -60.735
11.172 -60.74
11.159 -60.759
11.151 -60.767
11.141 -60.769
11.138 -60.775
11.131 -60.78
11.13 -60.786
11.13 -60.792
11.136 -60.799
11.14 -60.81
11.141 -60.819
11.139 -60.83
11.138 -60.839
11.14 -60.84
11.155 -60.84
11.163 -60.838
11.166 -60.835
11.167 -60.82
11.169 -60.815
11.179 -60.806
11.184 -60.798
11.195 -60.792
11.198 -60.787
11.203 -60.784
11.219 -60.769
segment Trinidad
11.286 -60.491
11.289 -60.501
11.299 -60.506
11.301 -60.505
11.302 -60.502
11.296 -60.494
11.29 -60.49
11.286 -60.491
segment Trinidad
10.621 -61.497
10.625 -61.5
10.629 -61.5
10.636 -61.491
10.639 -61.492
10.65 -61.523
10.668 -61.542
10.672 -61.55
10.678 -61.582
10.685 -61.596
10.686 -61.604
10.682 -61.609
10.679 -61.619
10.681 -61.641
10.678 -61.655
10.678 -61.66
10.682 -61.662
10.69 -61.665
10.697 -61.663
10.706 -61.667
10.713 -61.663
10.715 -61.661
10.721 -61.638
10.731 -61.627
10.734 -61.62
10.744 -61.611
10.745 -61.597
10.743 -61.58
10.742 -61.574
10.748 -61.557
10.746 -61.55
10.747 -61.54
10.75 -61.535
10.75 -61.524
10.753 -61.517
10.76 -61.508
10.76 -61.504
10.754 -61.499
10.754 -61.486
10.749 -61.481
10.753 -61.476
10.758 -61.473
10.764 -61.475
10.766 -61.475
10.771 -61.472
10.773 -61.467
10.771 -61.462
10.762 -61.458
10.76 -61.455
10.762 -61.452
10.77 -61.447
10.771 -61.442
10.769 -61.44
10.761 -61.44
10.759 -61.438
10.756 -61.424
10.759 -61.423
10.764 -61.424
10.767 -61.422
10.775 -61.415
10.776 -61.41
10.774 -61.401
10.767 -61.4
10.766 -61.397
10.765 -61.395
10.779 -61.39
10.782 -61.388
10.783 -61.381
10.787 -61.373
10.798 -61.364
10.807 -61.362
10.809 -61.36
10.799 -61.332
10.795 -61.298
10.792 -61.276
10.791 -61.258
10.793 -61.243
10.793 -61.203
10.794 -61.187
10.802 -61.176
10.803 -61.173
10.808 -61.163
10.81 -61.152
10.817 -61.145
10.82 -61.137
10.818 -61.108
10.832 -61.064
10.831 -61.052
10.831 -61.05
10.836 -61.043
10.841 -61.008
10.834 -60.996
10.834 -60.949
10.839 -60.939
10.836 -60.929
10.835 -60.924
10.834 -60.911
10.829 -60.91
10.819 -60.914
10.809 -60.921
10.796 -60.934
10.776 -60.943
10.765 -60.945
10.743 -60.964
10.731 -60.976
10.711 -60.99
10.701 -60.999
10.7 -61.002
10.704 -61.012
10.704 -61.015
10.694 -61.025
10.682 -61.033
10.673 -61.035
10.656 -61.037
10.616 -61.027
10.573 -61.018
10.554 -61.017
10.529 -61.009
10.524 -61.009
10.52 -61.011
10.52 -61.022
10.514 -61.026
10.51 -61.035
10.508 -61.04
10.5 -61.04
10.472 -61.038
10.448 -61.035
10.423 -61.027
10.404 -61.024
10.389 -61.018
10.379 -61.015
10.339 -60.994
10.33 -60.988
10.329 -60.982
10.333 -60.97
10.328 -60.969
10.324 -60.97
10.323 -60.97
10.322 -60.972
10.322 -60.978
10.32 -60.982
10.305 -60.989
10.297 -60.996
10.292 -60.998
10.27 -60.998
10.261 -60.994
10.254 -60.994
10.216 -61.003
10.213 -61.003
10.182 -60.998
10.148 -60.998
10.137 -60.993
10.133 -60.993
10.131 -60.995
10.129 -61
10.141 -61.003
10.143 -61.005
10.146 -61.015
10.145 -61.021
10.141 -61.025
10.135 -61.033
10.13 -61.043
10.109 -61.06
10.103 -61.085
10.085 -61.122
10.081 -61.134
10.08 -61.136
10.073 -61.147
10.072 -61.167
10.073 -61.192
10.068 -61.206
10.067 -61.215
10.069 -61.224
10.076 -61.245
10.077 -61.257
10.079 -61.271
10.079 -61.288
10.075 -61.309
10.074 -61.318
10.068 -61.33
10.066 -61.339
10.067 -61.349
10.066 -61.376
10.072 -61.407
10.069 -61.417
10.068 -61.434
10.068 -61.447
10.062 -61.489
10.066 -61.498
10.064 -61.52
10.067 -61.531
10.066 -61.56
10.066 -61.568
10.06 -61.587
10.058 -61.601
10.052 -61.615
10.049 -61.625
10.049 -61.633
10.054 -61.651
10.071 -61.665
10.074 -61.675
10.08 -61.694
10.078 -61.709
10.081 -61.733
10.071 -61.768
10.071 -61.776
10.078 -61.794
10.078 -61.798
10.079 -61.803
10.077 -61.816
10.074 -61.826
10.069 -61.833
10.065 -61.842
10.061 -61.853
10.037 -61.889
10.036 -61.896
10.037 -61.914
10.038 -61.914
10.041 -61.92
10.045 -61.924
10.055 -61.923
10.077 -61.905
10.091 -61.851
10.097 -61.838
10.101 -61.832
10.108 -61.826
10.126 -61.818
10.13 -61.812
10.131 -61.805
10.137 -61.789
10.141 -61.773
10.145 -61.739
10.149 -61.724
10.15 -61.721
10.157 -61.702
10.164 -61.693
10.175 -61.683
10.18 -61.677
10.185 -61.668
10.19 -61.654
10.213 -61.631
10.22 -61.63
10.223 -61.631
10.231 -61.634
10.237 -61.632
10.242 -61.627
10.243 -61.62
10.243 -61.609
10.232 -61.576
10.228 -61.557
10.228 -61.533
10.229 -61.524
10.233 -61.517
10.251 -61.486
10.259 -61.476
10.275 -61.465
10.297 -61.456
10.304 -61.455
10.315 -61.46
10.331 -61.461
10.333 -61.461
10.343 -61.464
10.359 -61.473
10.375 -61.486
10.385 -61.479
10.399 -61.487
10.404 -61.489
10.414 -61.488
10.416 -61.489
10.418 -61.495
10.42 -61.496
10.426 -61.494
10.433 -61.486
10.435 -61.486
10.467 -61.479
10.485 -61.471
10.498 -61.469
10.511 -61.471
10.53 -61.461
10.542 -61.462
10.555 -61.468
10.564 -61.471
10.6 -61.482
10.61 -61.487
10.621 -61.497
segment Trinidad
10.679 -61.686
10.681 -61.69
10.679 -61.7
10.683 -61.702
10.688 -61.699
10.692 -61.694
10.701 -61.688
10.705 -61.68
10.705 -61.675
10.701 -61.673
10.696 -61.676
10.69 -61.674
10.688 -61.675
10.686 -61.68
10.68 -61.683
10.679 -61.686
segment Trinidad
10.668 -61.764
10.669 -61.765
10.671 -61.766
10.674 -61.765
10.676 -61.761
10.683 -61.758
10.691 -61.759
10.696 -61.757
10.699 -61.751
10.698 -61.746
10.693 -61.736
10.69 -61.733
10.684 -61.73
10.681 -61.731
10.685 -61.747
10.68 -61.751
10.676 -61.741
10.674 -61.741
10.672 -61.745
10.673 -61.752
10.669 -61.759
10.668 -61.764
segment Trinidad
10.674 -61.63
10.677 -61.62
10.675 -61.617
10.671 -61.617
10.668 -61.622
10.669 -61.63
10.671 -61.632
10.674 -61.63
segment Trinidad
10.664 -61.646
10.664 -61.653
10.666 -61.659
10.668 -61.658
10.67 -61.654
10.67 -61.646
10.664 -61.646
