segment Jamaica
17.944 -76.741
17.943 -76.738
17.942 -76.734
17.943 -76.728
17.946 -76.722
17.949 -76.72
17.954 -76.725
17.964 -76.738
17.966 -76.745
17.965 -76.757
17.963 -76.761
17.964 -76.765
17.96 -76.772
17.961 -76.792
17.97 -76.81
17.977 -76.819
17.981 -76.824
17.99 -76.827
17.995 -76.835
17.994 -76.841
17.988 -76.849
17.98 -76.855
17.973 -76.859
17.968 -76.857
17.965 -76.859
17.966 -76.865
17.955 -76.868
17.954 -76.867
17.957 -76.862
17.964 -76.854
17.965 -76.847
17.963 -76.845
17.955 -76.858
17.949 -76.864
17.941 -76.865
17.93 -76.871
17.929 -76.873
17.924 -76.874
17.917 -76.873
17.916 -76.874
17.916 -76.877
17.92 -76.884
17.92 -76.887
17.916 -76.89
17.915 -76.894
17.912 -76.897
17.909 -76.891
17.905 -76.887
17.906 -76.883
17.909 -76.879
17.904 -76.883
17.901 -76.887
17.894 -76.889
17.893 -76.891
17.887 -76.893
17.882 -76.897
17.872 -76.9
17.863 -76.909
17.862 -76.913
17.854 -76.916
17.846 -76.923
17.841 -76.939
17.836 -76.95
17.837 -76.956
17.841 -76.958
17.841 -76.961
17.842 -76.965
17.848 -76.967
17.85 -76.969
17.849 -76.975
17.846 -76.98
17.841 -76.982
17.844 -76.986
17.842 -76.99
17.84 -76.995
17.848 -77.004
17.851 -77.012
17.851 -77.023
17.848 -77.028
17.841 -77.034
17.843 -77.036
17.85 -77.039
17.855 -77.039
17.858 -77.036
17.862 -77.038
17.863 -77.034
17.865 -77.031
17.861 -77.028
17.862 -77.025
17.866 -77.026
17.871 -77.024
17.876 -77.029
17.884 -77.031
17.893 -77.04
17.898 -77.045
17.899 -77.051
17.905 -77.059
17.897 -77.066
17.897 -77.069
17.9 -77.071
17.906 -77.071
17.909 -77.073
17.908 -77.076
17.903 -77.079
17.9 -77.083
17.896 -77.083
17.896 -77.089
17.902 -77.09
17.899 -77.099
17.895 -77.107
17.896 -77.114
17.894 -77.12
17.882 -77.135
17.87 -77.147
17.865 -77.148
17.852 -77.151
17.834 -77.161
17.83 -77.16
17.82 -77.153
17.816 -77.141
17.813 -77.14
17.809 -77.143
17.811 -77.145
17.813 -77.145
17.815 -77.157
17.818 -77.163
17.809 -77.172
17.803 -77.174
17.801 -77.183
17.799 -77.186
17.797 -77.187
17.796 -77.187
17.793 -77.186
17.792 -77.181
17.796 -77.178
17.796 -77.174
17.789 -77.172
17.78 -77.175
17.773 -77.176
17.775 -77.183
17.777 -77.185
17.786 -77.187
17.788 -77.188
17.789 -77.192
