segment Antigua
17.695 -61.859
17.715 -61.863
17.718 -61.86
17.723 -61.854
17.729 -61.852
17.729 -61.843
17.712 -61.827
17.705 -61.824
17.701 -61.825
17.7 -61.833
17.707 -61.832
17.714 -61.835
17.701 -61.837
17.693 -61.834
17.693 -61.833
17.69 -61.829
17.689 -61.819
17.69 -61.814
17.695 -61.809
17.697 -61.81
17.697 -61.815
17.693 -61.821
17.694 -61.825
17.696 -61.825
17.698 -61.82
17.701 -61.818
17.706 -61.818
17.707 -61.816
17.702 -61.812
17.702 -61.809
17.705 -61.8
17.705 -61.797
17.695 -61.787
17.68 -61.777
17.674 -61.769
17.672 -61.765
17.657 -61.756
17.645 -61.745
17.633 -61.739
17.605 -61.734
17.58 -61.738
17.573 -61.736
17.564 -61.741
17.559 -61.739
17.553 -61.737
17.55 -61.734
17.547 -61.734
17.545 -61.736
17.545 -61.741
17.555 -61.751
17.555 -61.757
17.553 -61.761
17.547 -61.767
17.547 -61.77
17.555 -61.772
17.57 -61.778
17.574 -61.783
17.576 -61.796
17.59 -61.819
17.598 -61.832
17.599 -61.836
17.598 -61.84
17.586 -61.855
17.585 -61.86
17.588 -61.863
17.595 -61.865
17.601 -61.864
17.619 -61.855
17.649 -61.858
17.661 -61.861
17.664 -61.862
17.67 -61.867
17.681 -61.872
17.691 -61.882
17.696 -61.885
17.701 -61.885
17.709 -61.88
17.717 -61.872
17.718 -61.868
17.716 -61.867
17.711 -61.867
17.702 -61.863
17.695 -61.866
17.681 -61.862
17.695 -61.871
17.697 -61.872
17.702 -61.872
17.706 -61.869
17.708 -61.872
17.704 -61.876
17.697 -61.877
17.68 -61.866
17.667 -61.86
17.662 -61.853
17.654 -61.851
17.627 -61.85
17.613 -61.852
17.61 -61.848
17.612 -61.845
17.617 -61.836
17.624 -61.834
17.634 -61.837
17.644 -61.833
17.654 -61.832
17.648 -61.827
17.652 -61.824
17.657 -61.828
17.666 -61.833
17.675 -61.831
17.683 -61.831
17.689 -61.837
17.693 -61.843
17.688 -61.845
17.688 -61.849
17.693 -61.853
17.694 -61.859
17.695 -61.859
segment Antigua
17.07 -61.714
17.069 -61.709
17.073 -61.701
17.066 -61.693
17.067 -61.687
17.072 -61.685
17.069 -61.68
17.064 -61.677
17.064 -61.673
17.062 -61.672
17.06 -61.673
17.06 -61.677
17.058 -61.678
17.046 -61.674
17.042 -61.677
17.044 -61.681
17.038 -61.69
17.035 -61.688
17.031 -61.693
17.031 -61.711
17.031 -61.718
17.034 -61.725
17.04 -61.731
17.041 -61.734
17.039 -61.741
17.036 -61.742
17.019 -61.731
17.014 -61.731
17.011 -61.738
17.008 -61.732
17.004 -61.73
16.999 -61.733
16.999 -61.737
17.005 -61.74
17.005 -61.743
16.999 -61.744
16.997 -61.747
16.997 -61.756
17.001 -61.761
17.006 -61.764
17.008 -61.765
17.008 -61.767
17.003 -61.77
17.004 -61.775
17.009 -61.778
17.016 -61.775
17.021 -61.779
17.019 -61.786
17.013 -61.789
17.008 -61.786
17.007 -61.787
17.006 -61.791
17.013 -61.801
17.014 -61.805
17.014 -61.809
17.008 -61.815
17.008 -61.82
17.004 -61.828
17.006 -61.833
17.014 -61.837
17.014 -61.844
17.017 -61.849
17.017 -61.85
17.018 -61.859
17.022 -61.869
17.024 -61.888
17.027 -61.891
17.038 -61.897
17.049 -61.898
17.054 -61.897
17.056 -61.892
17.062 -61.891
17.071 -61.892
17.072 -61.896
17.078 -61.894
17.078 -61.901
17.079 -61.904
17.083 -61.906
17.087 -61.905
17.088 -61.898
17.089 -61.894
17.088 -61.885
17.089 -61.883
17.093 -61.88
17.103 -61.875
17.107 -61.877
17.106 -61.883
17.102 -61.895
17.099 -61.9
17.099 -61.904
17.106 -61.905
17.119 -61.899
17.124 -61.893
17.131 -61.887
17.131 -61.882
17.128 -61.875
17.121 -61.868
17.122 -61.864
17.122 -61.863
17.119 -61.856
17.118 -61.848
17.123 -61.85
17.126 -61.856
17.132 -61.852
17.133 -61.855
17.13 -61.856
17.13 -61.86
17.131 -61.863
17.133 -61.864
17.139 -61.863
17.156 -61.856
17.164 -61.85
17.174 -61.836
17.175 -61.831
17.171 -61.82
17.171 -61.811
17.172 -61.804
17.159 -61.791
17.148 -61.786
17.143 -61.778
17.139 -61.775
17.135 -61.776
17.136 -61.78
17.133 -61.785
17.129 -61.786
17.123 -61.786
17.122 -61.784
17.125 -61.78
17.121 -61.776
17.115 -61.778
17.113 -61.762
17.116 -61.76
17.121 -61.762
17.125 -61.761
17.127 -61.757
17.135 -61.754
17.138 -61.751
17.137 -61.749
17.133 -61.748
17.123 -61.752
17.12 -61.752
17.116 -61.75
17.116 -61.749
17.121 -61.745
17.122 -61.74
17.126 -61.736
17.126 -61.73
17.132 -61.725
17.131 -61.721
17.127 -61.719
17.121 -61.728
17.118 -61.742
17.115 -61.745
17.112 -61.744
17.109 -61.739
17.11 -61.733
17.106 -61.73
17.103 -61.731
17.097 -61.733
17.093 -61.731
17.101 -61.718
17.099 -61.716
17.095 -61.716
17.096 -61.705
17.101 -61.703
17.103 -61.7
17.1 -61.697
17.102 -61.683
17.098 -61.68
17.092 -61.685
17.09 -61.683
17.088 -61.684
17.089 -61.695
17.083 -61.696
17.074 -61.71
17.07 -61.714
segment Antigua
17.152 -61.758
17.152 -61.762
17.159 -61.761
17.161 -61.758
17.16 -61.748
17.157 -61.747
17.155 -61.748
17.152 -61.752
17.155 -61.756
17.152 -61.758
segment Antigua
17.067 -61.664
17.069 -61.667
17.068 -61.67
17.073 -61.673
17.072 -61.661
17.068 -61.659
17.067 -61.664
segment Antigua
16.927 -62.346
16.928 -62.35
16.931 -62.352
16.934 -62.351
16.939 -62.352
16.941 -62.351
16.941 -62.348
16.938 -62.347
16.932 -62.345
16.927 -62.346
