Period,f1,f2,f3,philny,phiS2S,F,phiSS,Ymax
0.01,0.67125281331218,-0.31173377267988,0.1,0.3,0.4,1,0.437,NaN
0.02,0.63806797302608,-0.3196417079062,0.1,0.3,0.4,1,0.437,NaN
0.05,0.50917636176055,-0.38525968251911,0.1,0.3,0.4,1,0.437,NaN
0.1,0.54174638219171,-0.43479283824286,0.1,0.3,0.4,1,0.437,NaN
0.2,0.76453274625275,-0.4633390947076,0.1,0.3,0.4,1,0.437,NaN
0.5,1.07772851706654,-0.37759947434502,0.1,0.3,0.4,1,0.437,NaN
1,1.16748779295564,-0.26264339698662,0.1,0.3,0.4,1,0.437,NaN
