name,                            lon,    lat
Apia Upolu (Samoa) AS,       -171.80, -13.80
Aua AS,                      -170.70, -14.30
Futiga AS,                   -170.80, -14.40
Leone AS,                    -170.80, -14.30
Tutuila (central) AS,        -170.70, -14.30
Tutuila (southwest) AS,      -170.80, -14.30
Vailoatai AS,                -170.80, -14.40
Vaitogi AS,                  -170.70, -14.40
