,Elsinore,,,Garlock,,,"San Jacinto",,,"N. San Andreas",,,"S. San Andreas",,,"Hayward-Rodgers Creek",,,Calaveras,,,"San Gregorio Connected",,,"Greenville Connected",,,"Green Valley Connected",,,"Mount Diablo Thrust",,
,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg
5,0.10123037324622,0.19841915689897,0.15485886530074,0.04982449958724,0.14532850104157,0.06392463588662,0.22817395961611,0.45549035755817,0.3658325662485,0.18649965536907,0.44237358997848,0.24008337214397,0.29777549511954,0.92425444662723,0.78151776275476,0.25506601459028,0.43389748899185,0.34968802982751,0.24351823428952,0.87230625510384,0.58947336858222,0.0734940530436,0.12443446792371,0.09908158617397,0.03982306786784,0.06982894290793,0.05518021864537,0.09594622968964,0.16198921655666,0.12941954837351,0.04412216066324,0.07426043948676,0.05926455161755
5.25,0.10123037324622,0.19841915689897,0.15485886530074,0.04982449958724,0.14532850104157,0.06392463588662,0.22817395961611,0.45549035755817,0.3658325662485,0.18649965536907,0.44237358997848,0.24008337214397,0.29777549511954,0.92425444662723,0.78151776275476,0.25506601459028,0.43389748899185,0.34968802982751,0.24351823428952,0.87230625510384,0.58947336858222,0.0734940530436,0.12443446792371,0.09908158617397,0.03982306786784,0.06982894290793,0.05518021864537,0.09594622968964,0.16198921655666,0.12941954837351,0.04412216066324,0.07426043948676,0.05926455161755
5.5,0.10123037324622,0.19841915689897,0.15485886530074,0.04982449958724,0.14532850104157,0.06392463588662,0.22817395961611,0.45549035755817,0.3658325662485,0.18649965536907,0.44237358997848,0.24008337214397,0.29777549511954,0.92425444662723,0.78151776275476,0.25506601459028,0.43389748899185,0.34968802982751,0.24351823428952,0.84080734659118,0.57600055728476,0.0734940530436,0.12443446792371,0.09908158617397,0.03982306786784,0.06982894290793,0.05518021864537,0.09594622968964,0.16198921655666,0.12941954837351,0.04412216066324,0.07426043948676,0.05926455161755
5.75,0.10123037324622,0.19841915689897,0.15485886530074,0.04982449958724,0.14532850104157,0.06392463588662,0.22817395961611,0.45549035755817,0.3658325662485,0.18649965536907,0.44237358997848,0.24008337214397,0.29777549511954,0.91678625581283,0.776847149429,0.25506601459028,0.43389748899185,0.34968802982751,0.24351823428952,0.65180345571939,0.49582299380738,0.0734940530436,0.12443446792371,0.09908158617397,0.03982306786784,0.06982894290793,0.05518021864537,0.09594622968964,0.16198921655666,0.12941954837351,0.04412216066324,0.07426043948676,0.05926455161755
6,0.10123037324622,0.19841915689897,0.15485886530074,0.04982449958724,0.14532850104157,0.06392463588662,0.22817395961611,0.45549035755817,0.3658325662485,0.18649965536907,0.44237358997848,0.24008337214397,0.29777549511954,0.75548500959644,0.64577598982171,0.25506601459028,0.43389748899185,0.34968802982751,0.24351823428952,0.53146292741719,0.36573130966984,0.0734940530436,0.12443446792371,0.09908158617397,0.03982306786784,0.06982894290793,0.05518021864537,0.09594622968964,0.16198921655666,0.12941954837351,0.04412216066324,0.07426043948676,0.05926455161755
6.25,0.10123037324622,0.19841915689897,0.15485886530074,0.04982449958724,0.14532850104157,0.06392463588662,0.22817395961611,0.45549035755817,0.3658325662485,0.18649965536907,0.44237358997848,0.24008337214397,0.29777549511954,0.64189574532994,0.52866172506098,0.25506601459028,0.42994503682575,0.34798773596845,0.19225660015188,0.38058953656176,0.29646557493732,0.0734940530436,0.12443446792371,0.09908158617397,0.03982306786784,0.06982894290793,0.05518021864537,0.09594622968964,0.16198921655666,0.12941954837351,0.04412216066324,0.07426043948676,0.05926455161755
6.5,0.10123037324622,0.1928808518839,0.15255893874537,0.04902128881326,0.14532850104157,0.06358091783519,0.22711287754319,0.45549035755817,0.34850780148648,0.18649965536907,0.44237358997848,0.24008337214397,0.29777549511954,0.64041379014984,0.49403298241149,0.25506601459028,0.34859306584822,0.30447941690777,0.06013546449439,0.34671893198496,0.13940501077211,0.0734940530436,0.12443446792371,0.09908158617397,0.03982306786784,0.06982894290793,0.05518021864537,0.09594622968964,0.14438893161443,0.1206194059024,0.03784639453295,0.04346542684744,0.04058258634415
6.7,0.08635095486561,0.15703181188298,0.12651616308863,0.03980419781739,0.12266386312311,0.05717646018669,0.18220422591188,0.42800225570274,0.30630650113427,0.18649965536907,0.39385015153545,0.23570633993697,0.26795525074328,0.61994786350824,0.48284100938256,0.19815884837426,0.28593584784081,0.23278489225166,0.03709852861462,0.15417780234428,0.07585223697377,0.06416342709161,0.09190062978339,0.07858268808168,0.03053590420468,0.04090936417416,0.03559651506325,0.02057042690606,0.05763081684218,0.03857897347681,0.00295394707676,0.01287182083897,0.00791288395787
7,0.04416281870187,0.08088240383378,0.05900316446777,0.03002329683772,0.08753500488329,0.04448217522492,0.13713404620359,0.30199294628736,0.21433083242066,0.17308686733564,0.31303438337269,0.21594722413642,0.22083380140416,0.46863151162325,0.37969707527494,0.04492851325707,0.1475975959479,0.08766757335865,0,0.02856865363095,0.01315593207447,0.04812866526488,0.06363489082463,0.05538044918844,0.00146197654635,0.00951729640389,0.00548963647512,0,0.00207694892578,0.00103847446289,0,0,0
7.25,0.02687591752014,0.04806576039654,0.03532858445303,0.02610463436486,0.06333776798843,0.03798703713337,0.11589140121808,0.19953816099272,0.15885857701906,0.15523586403971,0.25325612823301,0.18966327805541,0.18774619724007,0.33646135787379,0.29081067182407,0,0.03613829994765,0.0190521797384,0,0.00230663257279,0.00090711160986,0.03680752334376,0.04875316242488,0.04265983226025,0,0.00073299134664,0.00036649567332,0,0,0,0,0,0
7.5,0.01414031024244,0.02432882608771,0.01866098951766,0.01753488207774,0.03238396256997,0.02476325490586,0.04316674382934,0.09093809114083,0.07287997240383,0.12351805162949,0.15369546716779,0.13132655770873,0.13546172083852,0.22108435499308,0.19430691932929,0,0.00062913981777,0.00026614100309,0,0,0,0.00709270339681,0.01303077390424,0.01006173865052,0,0,0,0,0,0,0,0,0
7.75,0.00572558980082,0.00817627801927,0.00692622786999,0,0.01366826756125,0.00889208179707,0,0.02956685145891,0.02294701139274,0.07996835740441,0.10841699488733,0.09301317567181,0.09356049871106,0.14855408566062,0.12218741978751,0,0,0,0,0,0,0,0.00100523241989,0.00050261620995,0,0,0,0,0,0,0,0,0
8,0,7.92842708269292E-05,2.27221427990782E-05,0,0,0,0,0.00086897245044,0.0004114123286,0,0.05799695730015,0.02268927202343,0,0.04485883206143,0.01961296024782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.25,0,0,0,0,0,0,0,0,0,0,0.00730968556498,0.00182281408958,0,0.00265125152158,0.00116557191573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
