segment Latvia
56 25.915
56 25.9
56 25.861
56.007 25.859
56.019 25.857
56.028 25.851
56.041 25.833
56.053 25.821
56.058 25.809
56.063 25.786
56.064 25.774
56.069 25.758
56.073 25.747
56.079 25.736
56.083 25.709
56.092 25.698
56.097 25.695
56.113 25.697
56.121 25.698
56.128 25.691
56.131 25.685
56.139 25.685
56.148 25.684
56.149 25.677
56.146 25.668
56.14 25.655
56.136 25.643
56.138 25.623
56.139 25.597
56.14 25.567
56.145 25.562
56.162 25.555
56.166 25.547
56.167 25.531
56.166 25.522
56.163 25.516
56.158 25.516
56.152 25.513
56.148 25.504
56.147 25.487
56.148 25.474
56.155 25.461
56.157 25.448
56.153 25.431
56.148 25.423
56.158 25.407
56.159 25.398
56.156 25.369
56.155 25.344
56.15 25.331
56.146 25.321
56.149 25.307
56.156 25.296
56.169 25.277
56.171 25.26
56.176 25.253
56.184 25.239
56.185 25.228
56.179 25.206
56.174 25.192
56.174 25.172
56.178 25.148
56.185 25.115
56.187 25.097
56.198 25.09
56.201 25.085
56.215 25.078
56.225 25.072
56.237 25.071
56.257 25.069
56.262 25.064
56.272 25.05
56.275 25.039
56.283 25.03
56.294 25.018
56.297 25.008
56.301 25
56.303 24.996
56.31 24.974
56.321 24.966
56.336 24.967
56.356 24.966
56.373 24.948
56.401 24.917
56.418 24.907
56.427 24.907
56.437 24.912
56.443 24.909
56.447 24.891
56.443 24.873
56.439 24.868
56.431 24.869
56.423 24.874
56.416 24.874
56.41 24.865
56.407 24.854
56.407 24.832
56.414 24.819
56.412 24.812
56.406 24.807
56.401 24.793
56.401 24.759
56.398 24.732
56.394 24.718
56.382 24.711
56.379 24.704
56.374 24.684
56.371 24.653
56.364 24.64
56.356 24.634
56.352 24.634
56.335 24.613
56.325 24.593
56.315 24.579
56.307 24.578
56.295 24.584
56.291 24.578
56.283 24.561
56.277 24.528
56.272 24.499
56.262 24.469
56.258 24.456
56.259 24.439
56.264 24.43
56.277 24.405
56.278 24.384
56.289 24.359
56.299 24.329
56.297 24.302
56.29 24.283
56.279 24.247
56.262 24.203
56.257 24.172
56.257 24.158
56.26 24.135
56.269 24.111
56.275 24.099
56.278 24.092
56.277 24.078
56.279 24.067
56.295 24.062
56.316 24.037
56.33 24.015
56.331 23.983
56.331 23.949
56.332 23.931
56.338 23.911
56.335 23.86
56.34 23.834
56.343 23.821
56.341 23.807
56.338 23.797
56.325 23.781
56.324 23.773
56.326 23.769
56.333 23.763
56.344 23.767
56.354 23.775
56.362 23.779
56.366 23.777
56.369 23.753
56.37 23.728
56.368 23.705
56.367 23.671
56.364 23.646
56.334 23.562
56.333 23.536
56.34 23.501
56.347 23.474
56.357 23.436
56.368 23.425
56.381 23.366
56.382 23.329
56.382 23.303
56.375 23.277
56.373 23.25
56.364 23.175
56.346 23.18
56.329 23.158
56.318 23.134
56.307 23.108
56.308 23.098
56.321 23.079
56.323 23.04
56.33 23.03
56.367 23.014
56.392 23.016
56.402 23.004
56.405 22.99
56.408 22.975
56.414 22.959
56.414 22.945
56.407 22.933
56.396 22.93
56.385 22.925
56.378 22.915
56.374 22.883
56.369 22.842
56.367 22.807
56.368 22.771
56.374 22.736
56.367 22.719
56.358 22.698
56.356 22.686
56.361 22.672
56.365 22.638
56.377 22.632
56.382 22.604
56.391 22.583
56.391 22.551
56.392 22.528
56.398 22.499
56.406 22.475
56.404 22.46
56.408 22.432
56.407 22.402
56.401 22.367
56.394 22.342
56.401 22.337
