segment Oman
17.62 56.14
17.619 56.143
17.617 56.143
17.615 56.141
17.614 56.139
17.616 56.137
17.618 56.138
17.62 56.14
segment Oman
17.555 56.05
17.553 56.053
17.548 56.055
17.535 56.057
17.527 56.059
17.52 56.062
17.518 56.068
17.515 56.077
17.513 56.081
17.515 56.086
17.515 56.088
17.514 56.093
17.512 56.094
17.51 56.094
17.507 56.092
17.504 56.09
17.502 56.085
17.5 56.08
17.498 56.075
17.495 56.069
17.491 56.065
17.49 56.059
17.488 56.056
17.484 56.05
17.484 56.045
17.483 56.043
17.484 56.038
17.482 56.034
17.483 56.031
17.484 56.027
17.482 56.023
17.48 56.018
17.48 56.014
17.481 56.013
17.484 56.01
17.483 56.006
17.483 56
17.486 55.994
17.488 55.987
17.488 55.984
17.49 55.979
17.489 55.976
17.492 55.971
17.495 55.967
17.498 55.964
17.503 55.964
17.506 55.963
17.508 55.962
17.513 55.963
17.516 55.966
17.518 55.97
17.521 55.977
17.523 55.985
17.526 55.99
17.53 55.993
17.53 56.001
17.53 56.005
17.531 56.009
17.533 56.015
17.535 56.019
17.536 56.024
17.538 56.028
17.541 56.036
17.549 56.043
17.553 56.045
17.555 56.05
segment Oman
17.511 56.332
17.509 56.34
17.509 56.346
17.504 56.35
17.5 56.352
17.496 56.349
17.494 56.347
17.494 56.343
17.496 56.341
17.497 56.338
17.499 56.335
17.5 56.332
17.501 56.328
17.507 56.329
17.511 56.332
segment Oman
17.498 55.88
17.493 55.883
17.489 55.883
17.485 55.879
17.481 55.878
17.479 55.878
17.479 55.877
17.479 55.87
17.476 55.867
17.476 55.865
17.48 55.861
17.482 55.857
17.485 55.855
17.488 55.854
17.488 55.848
17.485 55.843
17.487 55.836
17.49 55.832
17.494 55.829
17.497 55.832
17.502 55.838
17.506 55.842
17.509 55.846
17.51 55.851
17.506 55.859
17.5 55.867
17.497 55.874
17.497 55.876
17.498 55.88
segment Oman
17.484 55.598
17.484 55.601
17.485 55.605
17.485 55.609
17.48 55.61
17.475 55.606
17.473 55.603
17.471 55.603
17.468 55.604
17.466 55.6
17.464 55.596
17.466 55.595
17.469 55.595
17.475 55.597
17.479 55.596
17.484 55.598
segment Oman
23.522 58.738
23.519 58.732
23.521 58.728
23.527 58.728
23.527 58.731
23.526 58.741
23.522 58.738
segment Oman
20.84 58.742
20.821 58.741
20.816 58.736
20.811 58.723
20.815 58.721
20.838 58.733
20.84 58.742
segment Oman
20.758 58.725
20.769 58.731
20.782 58.729
20.787 58.726
20.793 58.727
20.797 58.732
20.806 58.733
20.804 58.737
20.793 58.737
20.788 58.735
20.783 58.738
20.749 58.739
20.745 58.734
20.743 58.727
20.74 58.712
20.736 58.705
20.72 58.688
20.719 58.682
20.727 58.68
20.732 58.681
20.755 58.696
20.758 58.7
20.755 58.704
20.756 58.709
20.758 58.711
20.769 58.716
20.771 58.714
20.774 58.716
20.776 58.723
20.758 58.725
segment Oman
20.698 58.696
20.707 58.696
20.712 58.699
20.716 58.704
20.71 58.706
20.704 58.704
20.7 58.701
20.698 58.696
segment Oman
20.207 58.629
20.211 58.633
20.224 58.625
20.229 58.624
20.248 58.626
20.252 58.622
20.259 58.623
20.266 58.621
20.277 58.627
20.28 58.627
20.285 58.624
20.29 58.628
20.311 58.634
20.314 58.631
20.319 58.63
20.325 58.631
20.333 58.628
20.343 58.631
20.346 58.636
20.361 58.648
20.363 58.647
20.367 58.649
20.376 58.66
20.386 58.672
20.392 58.68
20.404 58.682
20.409 58.685
20.418 58.697
20.428 58.701
20.43 58.704
20.431 58.708
20.422 58.719
20.421 58.723
20.422 58.729
20.419 58.741
20.422 58.75
20.426 58.753
20.429 58.756
20.431 58.763
20.439 58.771
20.455 58.774
20.466 58.782
20.477 58.778
20.489 58.777
20.492 58.781
20.507 58.784
20.514 58.783
20.522 58.785
20.551 58.803
20.559 58.811
20.578 58.817
20.58 58.82
20.591 58.83
20.603 58.841
20.614 58.861
20.621 58.864
20.63 58.861
20.635 58.862
20.65 58.869
20.658 58.869
20.668 58.873
20.688 58.872
20.695 58.882
20.696 58.884
