segment Aleutian180
51.926 177.297
51.929 177.301
51.928 177.306
51.93 177.311
51.931 177.319
51.93 177.329
51.935 177.336
51.939 177.334
51.941 177.329
51.943 177.329
51.953 177.341
51.955 177.347
51.969 177.356
51.977 177.376
51.976 177.385
51.979 177.401
51.978 177.424
51.979 177.438
51.983 177.451
51.985 177.47
51.986 177.477
51.983 177.484
51.988 177.491
51.99 177.5
52.001 177.492
52.004 177.49
52.008 177.495
52.011 177.508
52.013 177.51
52.02 177.506
52.025 177.506
52.029 177.511
52.033 177.508
52.051 177.514
52.056 177.524
52.071 177.537
52.075 177.546
52.082 177.552
52.088 177.555
52.094 177.551
52.103 177.55
52.105 177.558
52.106 177.562
52.122 177.569
52.125 177.577
52.125 177.583
52.129 177.588
52.135 177.609
segment Aleutian180
52.051 178.151
52.042 178.158
52.035 178.171
52.035 178.181
52.032 178.186
52.028 178.184
52.016 178.187
52.009 178.184
52.002 178.19
51.998 178.19
51.99 178.175
51.99 178.152
51.985 178.14
51.992 178.128
51.994 178.12
51.996 178.109
51.996 178.103
51.997 178.098
52.002 178.1
52.024 178.099
52.032 178.095
52.039 178.099
52.043 178.104
52.044 178.111
52.044 178.114
52.038 178.125
52.046 178.119
52.049 178.119
52.05 178.122
52.051 178.125
52.048 178.128
52.049 178.137
52.047 178.143
52.051 178.151
segment Aleutian180
52.028 179.627
52.026 179.638
52.025 179.652
52.012 179.676
52.008 179.687
52.003 179.712
51.994 179.713
51.988 179.719
51.986 179.724
51.984 179.731
51.977 179.741
51.971 179.77
51.966 179.776
51.954 179.778
51.95 179.776
51.947 179.769
51.944 179.743
51.938 179.736
51.933 179.737
51.927 179.754
51.924 179.758
51.92 179.757
51.914 179.743
51.91 179.74
51.909 179.739
51.907 179.735
51.904 179.716
51.9 179.704
51.892 179.691
51.892 179.68
51.888 179.673
51.877 179.668
51.876 179.661
51.872 179.654
51.87 179.631
51.87 179.621
51.876 179.615
51.888 179.58
51.89 179.573
51.888 179.563
51.888 179.554
51.889 179.55
51.894 179.55
51.897 179.545
51.895 179.527
51.913 179.519
51.919 179.494
51.928 179.485
51.937 179.48
51.942 179.486
51.942 179.492
51.945 179.496
51.955 179.494
51.964 179.485
51.965 179.485
51.976 179.484
51.983 179.486
51.984 179.493
51.981 179.53
51.993 179.552
52.014 179.584
52.017 179.593
52.018 179.618
52.021 179.623
52.028 179.627
segment Aleutian180
51.944 178.442
51.948 178.448
51.951 178.467
51.955 178.47
51.96 178.469
51.968 178.461
51.977 178.456
51.978 178.457
51.977 178.465
51.978 178.466
51.985 178.463
51.985 178.486
51.984 178.497
51.986 178.507
51.98 178.525
51.972 178.564
51.97 178.574
51.958 178.595
51.952 178.593
51.947 178.595
51.938 178.583
51.929 178.58
51.92 178.555
51.904 178.541
51.904 178.533
51.9 178.524
51.898 178.506
51.903 178.499
51.905 178.493
51.906 178.491
51.914 178.488
51.926 178.478
51.928 178.463
51.931 178.466
51.933 178.459
51.937 178.462
51.939 178.459
51.939 178.45
51.944 178.442
segment Aleutian180
51.967 178.308
51.966 178.294
51.967 178.289
51.971 178.284
51.972 178.277
51.978 178.272
51.98 178.275
51.981 178.282
51.984 178.291
51.973 178.301
51.97 178.309
51.967 178.308
segment Aleutian180
51.973 177.641
51.972 177.652
51.966 177.648
51.96 177.65
51.956 177.68
51.95 177.716
51.947 177.713
51.945 177.699
51.948 177.695
51.949 177.69
51.943 177.677
51.942 177.665
51.943 177.657
51.947 177.652
51.948 177.635
51.951 177.628
51.953 177.626
51.957 177.621
51.965 177.628
51.969 177.637
51.973 177.641
segment Aleutian180
51.951 178.326
51.952 178.322
51.958 178.326
51.959 178.337
51.963 178.347
51.97 178.348
51.969 178.352
51.963 178.355
51.962 178.367
51.957 178.359
51.955 178.358
51.952 178.345
51.946 178.337
51.944 178.33
51.946 178.326
51.951 178.326
segment Aleutian180
51.835 178.217
51.829 178.24
51.825 178.243
51.821 178.273
51.822 178.278
51.822 178.295
51.819 178.3
51.819 178.311
51.817 178.321
51.814 178.326
51.81 178.318
51.807 178.321
51.807 178.338
51.804 178.346
51.797 178.352
51.793 178.36
51.788 178.359
51.783 178.363
51.782 178.364
51.775 178.378
51.766 178.389
51.763 178.386
51.767 178.383
51.773 178.371
51.771 178.363
51.768 178.338
51.77 178.326
51.774 178.314
51.784 178.302
