segment Afghanistan
36.715 71.873
36.721 71.886
36.735 71.896
36.74 71.903
36.756 71.947
36.772 71.958
36.776 71.966
36.782 71.971
36.785 71.979
36.792 71.991
36.8 72.006
36.813 72.01
36.815 72.014
36.816 72.03
36.819 72.034
36.829 72.045
36.834 72.047
36.841 72.076
36.844 72.099
36.847 72.106
36.865 72.116
36.88 72.135
36.886 72.148
36.906 72.173
36.922 72.206
36.935 72.232
36.949 72.258
36.96 72.286
36.977 72.319
36.992 72.373
36.999 72.4
37.005 72.424
37.002 72.447
36.997 72.473
36.998 72.488
36.997 72.503
36.998 72.517
37.001 72.528
37.007 72.547
37.008 72.559
37.017 72.592
37.026 72.607
37.029 72.622
37.027 72.633
37.021 72.65
37.019 72.659
37.021 72.67
37.026 72.676
37.037 72.68
37.052 72.686
37.067 72.697
37.077 72.701
37.094 72.713
37.124 72.738
37.182 72.769
37.201 72.783
37.215 72.794
37.224 72.805
37.229 72.818
37.229 72.838
37.232 72.859
37.239 72.881
37.25 72.898
37.276 72.929
37.287 72.95
37.301 72.997
37.308 73.041
37.318 73.075
37.33 73.09
37.361 73.105
37.37 73.122
37.382 73.132
37.395 73.137
37.401 73.141
37.408 73.156
37.405 73.185
37.403 73.204
37.407 73.217
37.418 73.239
37.43 73.243
37.442 73.265
37.45 73.281
37.452 73.29
37.456 73.3
37.462 73.308
37.462 73.323
37.458 73.334
37.457 73.346
37.457 73.359
37.453 73.36
37.444 73.361
37.438 73.368
37.441 73.374
37.451 73.396
37.466 73.43
37.471 73.454
37.472 73.477
37.47 73.51
37.462 73.539
37.452 73.555
37.442 73.57
37.44 73.592
37.436 73.638
37.433 73.649
37.435 73.66
37.437 73.671
37.437 73.704
37.436 73.733
37.435 73.756
37.432 73.763
37.421 73.768
37.388 73.768
37.358 73.768
37.339 73.767
37.324 73.752
37.316 73.736
37.313 73.721
37.312 73.7
37.309 73.677
37.307 73.661
37.305 73.655
37.302 73.65
37.284 73.645
37.28 73.638
37.28 73.625
37.279 73.618
37.273 73.613
37.265 73.612
37.256 73.617
37.244 73.627
37.235 73.652
37.239 73.657
37.246 73.673
37.247 73.684
37.243 73.711
37.237 73.727
37.226 73.739
37.222 73.746
37.223 73.752
37.227 73.761
37.231 73.769
37.228 73.792
37.229 73.818
37.232 73.833
37.24 73.84
37.248 73.847
37.254 73.853
37.259 73.863
37.273 73.894
37.278 73.914
37.281 73.923
37.279 73.927
37.275 73.938
37.274 73.946
37.278 73.95
37.285 73.957
37.292 73.963
37.294 73.974
37.291 73.984
37.288 73.995
37.287 74
37.288 74.007
37.305 74.023
37.306 74.03
37.301 74.04
37.302 74.046
37.313 74.059
37.326 74.1
37.327 74.102
37.336 74.143
37.34 74.146
37.352 74.146
37.343 74.164
37.334 74.185
37.334 74.199
37.341 74.212
37.348 74.222
37.352 74.224
37.361 74.229
37.368 74.242
37.372 74.245
37.375 74.246
37.38 74.243
37.391 74.228
37.396 74.226
37.414 74.237
37.412 74.246
37.407 74.259
37.405 74.27
37.399 74.291
37.398 74.294
37.397 74.307
37.398 74.324
37.4 74.331
37.416 74.345
37.419 74.356
37.418 74.368
37.415 74.377
37.406 74.382
37.398 74.383
37.393 74.389
37.389 74.4
37.388 74.419
37.388 74.425
37.4 74.456
37.4 74.467
37.394 74.485
37.397 74.517
37.402 74.526
37.399 74.544
37.395 74.553
37.39 74.557
37.384 74.558
37.381 74.558
37.379 74.562
37.385 74.604
37.382 74.628
37.384 74.641
37.39 74.656
37.404 74.683
37.391 74.696
37.381 74.707
37.351 74.795
37.347 74.803
37.34 74.812
37.337 74.82
37.329 74.83
37.295 74.848
37.268 74.871
37.251 74.879
37.236 74.879
37.23 74.873
37.221 74.845
37.217 74.827
37.218 74.815
37.226 74.795
37.233 74.789
37.252 74.781
37.258 74.777
37.268 74.765
37.27 74.761
37.275 74.747
37.277 74.72
37.272 74.705
37.267 74.693
37.238 74.66
37.237 74.65
37.24 74.638
37.245 74.627
37.246 74.625
37.248 74.614
37.243 74.596
37.236 74.58
37.234 74.572
37.236 74.562
37.243 74.543
37.245 74.532
37.239 74.508
37.24 74.498
37.242 74.489
37.237 74.487
37.234 74.489
37.231 74.492
37.223 74.493
37.217 74.488
37.213 74.481
37.203 74.473
37.196 74.47
37.188 74.473
37.184 74.479
37.18 74.494
37.176 74.494
37.164 74.484
37.147 74.457
37.14 74.453
37.132 74.449
37.123 74.432
37.116 74.433
37.11 74.455
37.093 74.486
37.074 74.503
37.054 74.514
37.032 74.525
37.029 74.53
37.031 74.552
37.034 74.572
37.022 74.573
36.987 74.569
36.964 74.563
36.96 74.558
36.96 74.551
36.961 74.541
36.965 74.537
36.99 74.528
36.993 74.525
36.999 74.517
37 74.498
36.998 74.428
36.996 74.421
36.988 74.413
36.98 74.401
36.975 74.38
36.974 74.374
36.965 74.354
36.944 74.331
36.93 74.311
36.904 74.264
36.901 74.255
36.9 74.252
36.9 74.236
36.908 74.21
36.91 74.191
36.912 74.166
36.91 74.152
36.906 74.148
36.896 74.141
36.872 74.134
36.848 74.127
36.842 74.12
36.841 74.11
36.846 74.094
36.846 74.085
36.844 74.079
36.829 74.053
36.829 74.031
36.833 74.025
36.835 74.014
36.837 74.006
36.834 74
36.833 73.98
36.838 73.963
36.867 73.936
36.876 73.917
36.881 73.908
36.879 73.89
36.879 73.884
36.885 73.879
36.899 73.847
36.898 73.822
36.893 73.808
36.89 73.8
36.895 73.794
36.901 73.791
36.903 73.785
36.901 73.776
36.902 73.763
36.906 73.75
36.905 73.74
36.902 73.737
36.901 73.734
36.901 73.725
36.905 73.714
36.913 73.705
36.913 73.693
36.911 73.663
36.903 73.64
36.905 73.619
36.908 73.598
36.903 73.586
36.897 73.578
36.889 73.55
36.886 73.528
36.892 73.516
36.895 73.506
36.897 73.47
36.893 73.441
36.897 73.417
36.899 73.403
36.896 73.389
36.886 73.372
36.881 73.357
36.885 73.348
36.885 73.336
36.88 73.318
36.873 73.307
36.874 73.298
36.879 73.289
36.889 73.273
36.89 73.262
36.887 73.233
36.89 73.216
36.883 73.189
36.885 73.182
36.894 73.144
36.887 73.122
36.888 73.088
36.889 73.072
36.874 73.047
36.861 73.027
36.862 72.997
36.873 72.969
36.872 72.953
36.849 72.93
36.846 72.924
36.847 72.908
36.841 72.883
36.841 72.871
36.843 72.825
36.848 72.799
36.845 72.782
36.849 72.763
36.851 72.75
36.842 72.718
36.844 72.685
36.85 72.656
36.848 72.632
36.842 72.627
36.832 72.566
36.823 72.545
36.793 72.508
36.782 72.504
36.778 72.495
36.777 72.411
36.762 72.39
36.758 72.368
36.759 72.337
36.746 72.314
36.745 72.303
36.753 72.241
36.738 72.227
36.694 72.197
36.677 72.204
36.664 72.214
36.655 72.192
36.66 72.166
36.652 72.141
36.65 72.116
36.649 72.103
36.633 72.097
36.606 72.106
36.597 72.097
36.596 72.059
36.568 72.013
36.567 71.964
36.561 71.935
36.549 71.928
36.524 71.917
36.517 71.917
36.505 71.909
36.505 71.885
36.505 71.832
36.486 71.822
36.462 71.818
36.442 71.819
36.435 71.829
36.429 71.862
36.415 71.865
36.399 71.857
36.395 71.844
36.396 71.817
36.401 71.796
36.424 71.758
36.448 71.724
36.456 71.707
36.461 71.688
36.472 71.673
36.478 71.656
36.472 71.636
36.453 71.624
36.43 71.622
36.409 71.614
36.391 71.593
36.376 71.565
36.369 71.556
36.355 71.56
36.347 71.572
36.329 71.569
36.326 71.536
36.321 71.524
36.309 71.521
36.3 71.521
36.296 71.485
36.283 71.469
36.272 71.457
36.27 71.442
36.261 71.434
36.228 71.419
36.213 71.4
36.205 71.385
36.202 71.367
36.199 71.359
36.181 71.352
36.173 71.347
36.168 71.341
36.158 71.31
36.145 71.284
36.129 71.255
36.123 71.245
36.114 71.243
36.098 71.244
36.093 71.242
36.091 71.228
36.071 71.208
36.049 71.199
36.036 71.201
36.026 71.215
36.019 71.229
35.997 71.254
35.994 71.261
35.99 71.285
35.98 71.303
35.965 71.319
35.962 71.332
35.96 71.35
35.96 71.362
35.956 71.377
35.944 71.381
35.919 71.384
35.908 71.381
35.902 71.381
35.892 71.393
35.891 71.407
35.89 71.418
35.882 71.43
35.84 71.462
35.827 71.467
35.803 71.49
35.796 71.489
35.775 71.481
35.763 71.481
35.754 71.485
35.744 71.498
35.734 71.522
35.729 71.533
35.72 71.547
35.705 71.547
35.688 71.539
35.658 71.51
35.64 71.5
35.626 71.499
35.616 71.51
35.605 71.526
35.592 71.556
35.583 71.578
35.577 71.601
35.573 71.612
35.569 71.614
35.554 71.611
35.533 71.599
35.518 71.594
35.498 71.593
35.485 71.606
35.463 71.636
35.452 71.649
35.445 71.651
35.432 71.646
35.421 71.641
35.409 71.623
35.313 71.556
35.296 71.554
35.284 71.559
35.274 71.57
35.258 71.596
35.236 71.623
35.227 71.635
35.223 71.658
35.219 71.672
35.207 71.677
35.197 71.675
35.165 71.639
35.149 71.629
35.14 71.617
35.136 71.604
35.129 71.585
35.108 71.553
35.09 71.536
35.072 71.53
35.064 71.534
35.054 71.539
35.038 71.547
35.028 71.556
35.019 71.552
35.013 71.535
35.004 71.518
35 71.515
34.993 71.51
34.981 71.51
34.972 71.506
34.964 71.499
34.962 71.486
34.953 71.476
34.945 71.446
34.938 71.433
34.931 71.422
34.922 71.401
34.917 71.385
34.916 71.37
34.912 71.354
34.903 71.344
34.89 71.328
34.879 71.31
34.865 71.301
34.85 71.296
34.834 71.292
34.805 71.279
34.798 71.271
34.791 71.246
34.76 71.23
34.753 71.225
34.748 71.219
34.747 71.196
34.737 71.182
34.73 71.171
34.724 71.154
34.716 71.144
34.71 71.137
34.71 71.115
34.699 71.106
34.676 71.096
34.661 71.096
34.642 71.106
34.63 71.111
34.62 71.107
34.59 71.087
34.582 71.074
34.577 71.054
34.573 71.018
34.567 71.004
34.555 70.996
34.528 70.993
34.492 70.995
34.461 71.007
34.448 71.023
34.427 71.054
34.412 71.065
34.396 71.076
34.389 71.087
34.379 71.118
34.37 71.154
34.364 71.169
34.358 71.171
34.339 71.171
34.323 71.158
34.313 71.157
34.281 71.13
34.267 71.122
34.255 71.121
34.237 71.127
34.225 71.135
34.214 71.128
34.204 71.124
34.179 71.126
34.162 71.126
34.149 71.109
34.113 71.08
34.106 71.073
34.08 71.077
34.063 71.076
34.052 71.065
34.049 71.042
34.051 71.034
34.037 71.018
34.029 70.999
34.029 70.983
34.019 70.955
34.012 70.936
34.012 70.925
34.01 70.918
34.001 70.916
33.982 70.899
33.977 70.885
33.978 70.869
33.981 70.851
33.982 70.824
33.975 70.809
33.968 70.788
33.958 70.779
33.955 70.768
33.961 70.751
33.96 70.74
33.961 70.701
33.96 70.676
33.954 70.651
33.957 70.631
33.964 70.594
33.958 70.56
33.951 70.548
33.946 70.539
33.952 70.525
33.949 70.511
33.944 70.502
33.943 70.468
33.954 70.439
33.96 70.426
33.963 70.404
33.963 70.326
33.975 70.298
33.973 70.298
33.98 70.279
33.978 70.261
33.973 70.239
33.981 70.224
33.985 70.198
33.999 70.169
34.008 70.154
34.012 70.136
34.011 70.112
34.008 70.1
34.015 70.08
34.024 70.067
34.037 70.046
34.04 70.024
34.04 70.019
34.049 70.012
34.049 70.002
34.048 70
34.041 69.987
34.038 69.966
34.038 69.913
34.028 69.898
34.01 69.897
33.993 69.901
33.985 69.901
33.977 69.895
33.968 69.877
33.956 69.866
33.94 69.861
33.927 69.866
33.91 69.883
33.89 69.904
33.875 69.912
33.853 69.916
33.84 69.926
33.828 69.946
33.817 69.956
33.782 69.963
33.763 69.97
33.74 69.992
33.736 70
33.734 70.006
33.731 70.026
33.731 70.035
33.717 70.092
33.718 70.102
33.722 70.117
33.722 70.124
33.715 70.137
33.695 70.15
33.682 70.151
33.663 70.147
33.654 70.149
33.644 70.169
33.64 70.19
33.634 70.197
33.617 70.194
33.565 70.179
33.548 70.175
33.525 70.174
33.513 70.182
33.502 70.201
33.49 70.208
33.48 70.215
33.476 70.231
33.473 70.24
33.439 70.252
33.433 70.258
33.432 70.288
33.426 70.298
33.413 70.301
33.396 70.315
33.387 70.315
33.374 70.312
33.356 70.321
33.34 70.327
33.331 70.324
33.33 70.308
33.328 70.291
33.305 70.271
33.269 70.233
33.25 70.208
33.241 70.19
33.238 70.168
