segment Lebanon
34.644 36.207
34.643 36.214
34.634 36.226
34.632 36.233
34.632 36.239
34.638 36.25
34.634 36.277
34.636 36.285
34.635 36.295
34.638 36.3
34.646 36.308
34.652 36.317
34.666 36.32
34.682 36.322
34.685 36.324
34.691 36.332
34.691 36.34
34.689 36.346
34.682 36.354
34.669 36.364
34.663 36.362
34.66 36.364
34.657 36.367
34.644 36.383
34.638 36.395
34.638 36.399
34.627 36.418
34.625 36.42
34.622 36.439
34.623 36.446
34.632 36.461
34.63 36.471
34.627 36.473
34.594 36.464
34.591 36.453
34.593 36.447
34.608 36.432
34.61 36.426
34.61 36.425
34.609 36.424
34.592 36.415
34.576 36.41
34.567 36.41
34.559 36.416
34.551 36.412
34.542 36.398
34.524 36.35
34.52 36.347
34.518 36.345
34.512 36.346
34.501 36.354
34.496 36.363
34.494 36.373
34.5 36.38
34.502 36.388
34.498 36.4
34.497 36.407
34.494 36.417
34.501 36.428
34.503 36.449
34.502 36.46
34.5 36.462
34.495 36.462
34.487 36.463
34.463 36.48
34.458 36.487
34.447 36.518
34.444 36.521
34.437 36.523
34.432 36.526
34.427 36.539
34.423 36.556
34.42 36.562
34.415 36.566
34.411 36.569
34.408 36.569
34.401 36.564
34.383 36.545
34.372 36.544
34.366 36.546
34.351 36.556
34.341 36.559
34.332 36.567
34.315 36.573
34.312 36.577
34.309 36.6
34.307 36.607
34.305 36.608
34.296 36.612
34.29 36.611
34.284 36.606
34.277 36.596
34.267 36.591
34.247 36.598
34.232 36.6
34.223 36.605
34.221 36.608
34.22 36.609
34.213 36.629
34.209 36.637
34.206 36.639
34.194 36.629
34.182 36.603
34.166 36.597
34.156 36.584
34.137 36.58
34.134 36.578
34.133 36.575
34.128 36.558
34.12 36.546
34.107 36.536
34.093 36.521
34.084 36.519
34.072 36.52
34.065 36.518
34.053 36.503
34.044 36.486
34.042 36.481
34.042 36.475
34.052 36.449
34.052 36.444
34.046 36.432
34.043 36.42
34.04 36.414
34.034 36.415
34.028 36.412
34.01 36.389
34.003 36.377
33.993 36.375
33.991 36.374
33.985 36.356
33.967 36.336
33.946 36.322
33.926 36.303
33.911 36.296
33.902 36.297
33.897 36.305
33.891 36.316
33.88 36.328
33.872 36.349
33.868 36.368
33.853 36.39
33.844 36.397
33.84 36.397
33.832 36.394
33.822 36.384
33.819 36.379
33.818 36.377
33.818 36.367
33.819 36.362
33.828 36.329
33.833 36.318
33.834 36.313
33.834 36.297
33.843 36.286
33.847 36.273
33.848 36.257
33.834 36.246
33.83 36.238
33.828 36.207
33.83 36.192
33.832 36.186
33.836 36.182
33.848 36.177
33.849 36.174
33.848 36.165
33.838 36.15
33.836 36.148
33.825 36.125
33.817 36.102
33.817 36.088
33.815 36.08
33.769 36.046
33.767 36.038
33.767 36.037
33.767 36.026
33.763 36.021
33.752 36.017
33.739 36.006
33.725 35.999
33.715 35.988
33.705 35.98
33.676 35.978
33.669 35.972
33.666 35.968
33.65 35.947
33.644 35.945
33.636 35.947
33.634 35.95
33.633 35.975
33.629 35.988
33.619 36.005
33.605 36.042
33.604 36.043
33.594 36.06
33.588 36.065
33.573 36.069
33.567 36.068
33.56 36.063
33.553 36.056
33.547 36.045
33.539 36.026
33.535 36.01
33.528 35.969
33.524 35.956
33.521 35.953
33.515 35.952
33.503 35.961
33.494 35.964
33.482 35.962
33.466 35.949
33.465 35.948
33.434 35.908
33.408 35.853
33.399 35.837
33.388 35.829
33.362 35.824
33.354 35.821
33.348 35.815
33.347 35.814
33.34 35.804
33.335 35.797
33.328 35.776
33.326 35.761
33.328 35.736
33.325 35.73
33.319 35.722
33.299 35.707
33.291 35.696
33.283 35.681
33.275 35.666
33.264 35.637
33.259 35.632
33.251 35.628
33.248 35.625
33.249 35.621
33.277 35.597
33.282 35.59
33.28 35.588
33.262 35.578
33.252 35.569
33.248 35.563
33.232 35.554
33.224 35.554
33.215 35.556
33.21 35.558
33.198 35.558
33.187 35.553
33.177 35.547
33.153 35.541
33.131 35.539
33.121 35.534
33.114 35.515
33.11 35.512
33.104 35.512
33.098 35.511
33.095 35.509
33.09 35.492
33.093 35.474
33.093 35.47
33.088 35.462
33.082 35.457
33.068 35.44
33.065 35.433
33.063 35.405
33.054 35.38
33.055 35.374
33.063 35.359
33.072 35.349
33.099 35.333
33.101 35.321
33.103 35.313
33.098 35.274
33.097 35.237
33.094 35.226
33.089 35.22
33.087 35.216
33.093 35.181
33.092 35.176
33.09 35.149
33.09 35.115
33.098 35.114
33.101 35.115
33.109 35.116
33.116 35.119
33.119 35.124
33.12 35.135
33.126 35.144
33.128 35.15
33.141 35.16
33.166 35.175
33.17 35.181
33.172 35.19
33.176 35.197
33.185 35.203
33.192 35.205
33.2 35.207
33.207 35.211
33.234 35.218
33.249 35.219
33.26 35.218
33.265 35.216
33.27 35.202
33.273 35.199
33.277 35.202
33.277 35.211
33.284 35.22
33.295 35.225
33.305 35.229
33.332 35.249
33.413 35.271
33.422 35.274
33.451 35.286
33.456 35.293
33.466 35.3
33.47 35.309
33.48 35.327
33.486 35.333
33.505 35.347
33.513 35.355
33.515 35.358
33.54 35.371
33.571 35.378
33.575 35.385
33.583 35.389
33.594 35.394
33.612 35.397
33.614 35.401
33.617 35.403
33.628 35.405
33.636 35.407
33.653 35.407
33.658 35.42
33.662 35.424
33.69 35.423
33.696 35.425
33.701 35.43
33.705 35.442
33.711 35.447
33.728 35.453
33.735 35.452
33.738 35.452
33.748 35.453
33.774 35.473
33.796 35.485
33.809 35.49
33.826 35.492
33.838 35.491
33.853 35.493
33.859 35.494
33.867 35.491
33.874 35.491
33.879 35.488
33.887 35.477
33.893 35.473
33.899 35.474
33.903 35.477
33.904 35.483
33.905 35.517
33.902 35.526
33.907 35.54
33.9 35.556
33.9 35.557
33.901 35.561
33.908 35.58
33.916 35.588
33.927 35.592
33.953 35.599
33.962 35.605
33.969 35.606
33.975 35.614
33.987 35.62
33.987 35.637
33.989 35.64
33.993 35.644
33.997 35.647
34.005 35.649
34.011 35.647
34.019 35.634
34.028 35.631
34.035 35.634
34.041 35.634
34.048 35.639
34.06 35.642
34.063 35.649
34.072 35.65
34.09 35.658
34.101 35.659
34.103 35.659
34.114 35.657
34.121 35.65
34.131 35.647
34.139 35.646
34.146 35.639
34.153 35.637
34.166 35.64
34.175 35.639
34.186 35.642
34.193 35.64
34.206 35.644
34.215 35.655
34.218 35.656
34.245 35.666
34.25 35.666
34.258 35.659
34.268 35.665
34.277 35.661
34.286 35.664
34.294 35.675
34.304 35.678
34.307 35.68
34.309 35.685
34.315 35.686
34.319 35.689
34.319 35.695
34.317 35.699
34.317 35.702
34.317 35.706
34.312 35.714
34.313 35.72
34.314 35.723
34.324 35.728
34.331 35.729
34.341 35.735
34.348 35.733
34.355 35.735
34.362 35.733
34.366 35.734
34.37 35.741
34.381 35.746
34.384 35.752
34.386 35.771
34.391 35.784
34.393 35.789
34.399 35.802
34.409 35.816
34.411 35.823
34.415 35.827
34.421 35.829
34.456 35.816
34.459 35.819
34.457 35.829
34.461 35.834
34.458 35.842
34.462 35.857
34.468 35.879
34.474 35.906
34.482 35.924
34.488 35.931
34.497 35.938
34.502 35.945
34.517 35.958
34.518 35.964
34.523 35.971
34.524 35.981
34.524 35.982
34.528 35.987
34.539 35.994
34.549 35.997
34.566 35.998
34.581 35.997
34.615 35.99
34.645 35.98
34.655 35.992
34.65 35.998
34.651 36.014
34.649 36.02
34.636 36.037
34.636 36.055
34.638 36.065
34.638 36.077
34.636 36.085
34.638 36.091
34.637 36.095
34.637 36.101
34.641 36.107
34.647 36.131
34.647 36.137
34.642 36.148
34.638 36.169
34.637 36.178
34.644 36.197
34.644 36.207
