segment Bahrain
26.238 50.662
26.239 50.659
26.243 50.657
26.246 50.649
26.242 50.638
26.244 50.636
26.249 50.634
26.254 50.64
26.256 50.639
26.258 50.637
26.259 50.633
26.256 50.628
26.246 50.624
26.24 50.62
26.24 50.616
26.243 50.61
26.251 50.605
26.261 50.608
26.271 50.618
26.28 50.627
26.283 50.64
26.279 50.647
26.274 50.648
26.271 50.651
26.27 50.659
26.266 50.664
26.249 50.664
26.238 50.662
segment Bahrain
26.229 50.535
26.226 50.547
26.225 50.556
26.22 50.558
26.221 50.569
26.23 50.571
26.236 50.579
26.237 50.585
26.235 50.588
26.234 50.591
26.229 50.594
26.227 50.599
26.224 50.602
26.219 50.603
26.217 50.601
26.216 50.598
26.215 50.596
26.212 50.597
26.208 50.602
26.205 50.611
26.202 50.614
26.196 50.614
26.192 50.612
26.195 50.598
26.202 50.587
26.205 50.581
26.205 50.576
26.202 50.573
26.187 50.568
26.183 50.572
26.177 50.574
26.163 50.586
26.156 50.6
26.154 50.601
26.15 50.598
26.146 50.599
26.142 50.602
26.146 50.606
26.145 50.619
26.141 50.622
26.132 50.624
26.121 50.629
26.117 50.633
26.117 50.639
26.111 50.639
26.103 50.629
26.099 50.627
26.086 50.628
26.08 50.624
26.076 50.627
26.073 50.631
26.069 50.632
26.066 50.628
26.061 50.627
26.049 50.63
26.045 50.629
26.042 50.631
26.037 50.643
26.031 50.635
26.012 50.632
26.004 50.631
25.99 50.625
25.981 50.626
25.966 50.619
25.955 50.62
25.942 50.617
25.928 50.621
25.927 50.619
25.916 50.616
25.906 50.611
25.891 50.61
25.884 50.61
25.856 50.611
25.85 50.614
25.838 50.603
25.836 50.599
25.828 50.593
25.825 50.593
25.81 50.577
25.803 50.573
25.797 50.573
25.802 50.569
25.808 50.57
25.812 50.564
25.824 50.559
25.842 50.558
25.855 50.552
25.877 50.537
25.893 50.529
25.894 50.527
25.903 50.524
25.9 50.522
25.893 50.526
25.892 50.525
25.909 50.511
25.925 50.495
25.927 50.487
25.934 50.476
25.948 50.466
25.957 50.463
25.972 50.461
25.977 50.462
25.981 50.463
25.987 50.467
25.991 50.47
26.003 50.478
26.007 50.477
26.018 50.48
26.042 50.494
26.05 50.491
26.063 50.488
26.07 50.489
26.098 50.485
26.106 50.478
26.134 50.464
26.162 50.454
26.166 50.458
26.168 50.457
26.169 50.457
26.179 50.462
26.194 50.463
26.198 50.462
26.204 50.455
26.21 50.455
26.226 50.472
26.229 50.48
26.232 50.499
26.232 50.513
26.23 50.531
26.228 50.534
26.229 50.535
segment Bahrain
26.173 50.589
26.176 50.588
26.181 50.589
26.187 50.593
26.177 50.597
26.173 50.589
segment Bahrain
26.178 50.412
26.174 50.42
26.168 50.423
26.165 50.428
26.16 50.429
26.148 50.425
26.14 50.426
26.136 50.427
26.131 50.431
26.125 50.43
26.12 50.432
26.119 50.43
26.123 50.417
26.12 50.402
26.123 50.393
26.129 50.392
26.145 50.386
26.153 50.386
26.156 50.39
26.161 50.392
26.165 50.399
26.175 50.402
26.178 50.412
segment Bahrain
26.126 50.636
26.144 50.625
26.15 50.62
26.156 50.611
26.164 50.609
26.171 50.613
26.174 50.62
26.171 50.629
26.171 50.632
26.165 50.635
26.161 50.637
26.148 50.633
26.143 50.637
26.128 50.639
26.126 50.636
