segment Qatar
24.637 51.337
24.635 51.337
24.626 51.347
24.624 51.347
24.627 51.343
24.625 51.342
24.629 51.337
24.633 51.335
24.637 51.335
24.637 51.337
segment Qatar
26.178 51.219
26.176 51.238
26.177 51.24
26.177 51.251
26.174 51.255
26.173 51.254
26.175 51.248
26.172 51.228
26.169 51.225
26.166 51.229
26.164 51.226
26.165 51.219
26.17 51.22
26.174 51.218
26.178 51.219
segment Qatar
26.164 51.277
26.16 51.283
26.155 51.285
26.151 51.288
26.144 51.297
26.142 51.297
26.142 51.292
26.161 51.273
26.161 51.269
26.16 51.266
26.163 51.266
26.166 51.269
26.167 51.272
26.164 51.277
segment Qatar
25.77 51.601
25.777 51.603
25.776 51.605
25.761 51.605
25.757 51.603
25.752 51.592
25.752 51.591
25.755 51.591
25.761 51.6
25.766 51.602
25.77 51.601
segment Qatar
25.763 51.59
25.765 51.592
25.763 51.593
25.758 51.591
25.749 51.583
25.748 51.58
25.75 51.579
25.758 51.582
25.763 51.59
segment Qatar
25.753 50.791
25.75 50.796
25.747 50.797
25.745 50.796
25.742 50.788
25.748 50.783
25.753 50.791
segment Qatar
25.75 50.773
25.75 50.778
25.745 50.78
25.743 50.778
25.742 50.774
25.745 50.768
25.75 50.767
25.75 50.773
segment Qatar
25.724 50.805
25.719 50.803
25.71 50.803
25.701 50.796
25.699 50.79
25.692 50.787
25.689 50.789
25.69 50.793
25.685 50.796
25.683 50.802
25.68 50.804
25.677 50.801
25.674 50.798
25.673 50.794
25.679 50.794
25.678 50.788
25.671 50.779
25.674 50.773
25.676 50.775
25.679 50.773
25.681 50.766
25.68 50.758
25.677 50.756
25.677 50.755
25.672 50.758
25.67 50.769
25.667 50.765
25.661 50.765
25.657 50.769
25.649 50.772
25.648 50.775
25.643 50.779
25.639 50.779
25.635 50.782
25.632 50.781
25.634 50.778
25.633 50.774
25.629 50.773
25.627 50.769
25.625 50.769
25.619 50.772
25.611 50.765
25.61 50.768
25.614 50.777
25.609 50.781
25.606 50.78
25.603 50.773
25.598 50.769
25.591 50.768
25.585 50.762
25.581 50.763
25.572 50.784
25.561 50.801
25.548 50.815
25.545 50.818
25.542 50.818
25.545 50.811
25.553 50.805
25.564 50.787
25.571 50.775
25.574 50.766
25.584 50.749
25.591 50.746
25.607 50.754
25.615 50.756
25.625 50.754
25.637 50.756
25.642 50.754
25.649 50.746
25.654 50.744
25.663 50.748
25.665 50.749
25.672 50.748
25.684 50.752
25.696 50.761
25.698 50.765
25.716 50.778
25.715 50.783
25.716 50.787
25.714 50.788
25.714 50.791
25.721 50.793
25.721 50.799
25.724 50.805
segment Qatar
25.659 50.813
25.667 50.808
25.676 50.81
25.676 50.816
25.683 50.82
25.679 50.823
25.676 50.827
25.673 50.829
25.667 50.826
25.662 50.816
25.659 50.813
segment Qatar
25.661 52.415
25.662 52.413
25.671 52.413
25.675 52.417
25.677 52.422
25.668 52.428
25.663 52.422
25.661 52.415
segment Qatar
25.625 50.797
25.634 50.793
25.637 50.795
25.642 50.791
25.651 50.788
25.653 50.789
25.656 50.794
25.653 50.801
25.648 50.797
25.646 50.802
25.647 50.808
25.645 50.811
25.646 50.816
25.642 50.822
25.638 50.825
25.633 50.821
25.628 50.821
25.628 50.815
25.632 50.813
25.632 50.807
25.628 50.805
25.628 50.802
25.625 50.797
segment Qatar
25.539 50.882
25.534 50.888
25.53 50.895
25.528 50.895
25.527 50.892
25.532 50.884
25.539 50.879
25.539 50.882
segment Qatar
25.408 51.572
25.401 51.582
25.397 51.581
25.395 51.578
25.385 51.569
25.389 51.569
25.395 51.575
25.405 51.569
25.407 51.569
25.408 51.572
segment Qatar
25.338 51.577
25.34 51.578
25.342 51.581
25.344 51.589
25.341 51.593
25.338 51.577
segment Qatar
24.742 50.83
24.756 50.859
24.764 50.872
24.773 50.87
24.79 50.876
24.796 50.878
24.798 50.878
24.802 50.877
24.814 50.867
24.831 50.863
24.837 50.867
24.842 50.867
24.853 50.87
24.864 50.866
24.875 50.872
24.89 50.866
24.893 50.867
24.908 50.859
24.911 50.859
24.912 50.86
24.916 50.858
24.935 50.833
24.947 50.831
24.952 50.828
24.964 50.816
24.978 50.805
24.985 50.804
24.993 50.805
25 50.803
25.01 50.804
25.014 50.806
25.017 50.807
25.021 50.808
25.026 50.813
25.032 50.822
25.05 50.818
25.062 50.813
25.07 50.812
25.076 50.806
25.086 50.801
25.098 50.786
25.1 50.781
25.11 50.777
25.122 50.78
25.13 50.781
25.151 50.783
25.165 50.78
25.175 50.776
25.196 50.772
25.201 50.775
25.212 50.771
25.228 50.774
25.24 50.77
25.245 50.77
25.26 50.769
25.267 50.771
25.278 50.769
25.284 50.771
25.288 50.775
25.295 50.777
25.316 50.773
25.339 50.772
25.342 50.771
25.344 50.768
25.347 50.767
25.352 50.769
25.365 50.77
25.367 50.77
25.378 50.767
25.387 50.77
25.397 50.762
25.404 50.765
25.409 50.765
25.413 50.762
25.414 50.758
25.416 50.757
25.428 50.763
25.433 50.762
25.451 50.767
25.47 50.77
25.483 50.776
25.496 50.771
25.497 50.768
25.496 50.765
25.499 50.763
25.516 50.78
25.524 50.791
25.526 50.799
25.525 50.805
25.512 50.816
25.492 50.82
25.49 50.826
25.483 50.829
25.479 50.829
25.474 50.828
25.458 50.832
25.455 50.841
25.457 50.849
25.463 50.855
25.466 50.855
25.47 50.851
25.473 50.845
25.48 50.84
25.482 50.842
25.483 50.848
25.485 50.851
25.5 50.839
25.505 50.842
25.509 50.84
25.514 50.836
25.521 50.832
25.521 50.829
25.522 50.826
25.525 50.823
25.53 50.827
25.54 50.831
25.54 50.835
25.551 50.842
25.557 50.839
25.561 50.842
25.566 50.842
25.588 50.833
25.592 50.834
25.594 50.833
25.595 50.823
25.588 50.812
25.589 50.807
25.597 50.8
25.6 50.804
25.603 50.806
25.611 50.809
25.611 50.813
25.615 50.82
25.611 50.823
25.611 50.825
25.618 50.831
25.619 50.839
25.597 50.862
25.598 50.863
25.606 50.859
25.61 50.852
25.619 50.844
25.621 50.844
25.618 50.853
25.609 50.861
25.613 50.861
25.613 50.864
25.608 50.868
25.613 50.869
25.619 50.86
25.624 50.85
25.631 50.845
25.632 50.845
25.633 50.849
25.635 50.85
25.642 50.849
25.645 50.851
25.636 50.857
25.635 50.86
25.637 50.863
25.636 50.869
25.633 50.872
25.627 50.874
25.625 50.877
25.626 50.879
25.631 50.879
25.631 50.881
25.628 50.885
25.597 50.879
25.589 50.875
25.588 50.874
25.582 50.868
25.572 50.865
25.567 50.868
25.566 50.876
25.557 50.877
25.541 50.873
25.526 50.879
25.522 50.879
25.521 50.884
25.515 50.886
25.514 50.892
25.512 50.895
25.514 50.898
25.522 50.898
25.522 50.895
25.524 50.896
25.526 50.898
25.526 50.902
25.524 50.903
25.521 50.902
25.518 50.901
25.51 50.907
25.505 50.905
25.502 50.9
25.507 50.894
25.506 50.891
25.492 50.881
25.487 50.882
25.485 50.887
25.478 50.883
25.471 50.887
25.47 50.89
25.474 50.893
25.478 50.894
25.481 50.897
25.479 50.906
25.473 50.912
25.473 50.915
25.476 50.916
25.483 50.909
25.485 50.91
25.479 50.918
25.48 50.92
25.494 50.91
25.5 50.92
25.507 50.927
25.52 50.921
25.52 50.919
25.518 50.918
25.512 50.92
25.511 50.917
25.518 50.912
25.522 50.914
25.523 50.92
25.527 50.925
25.533 50.92
25.534 50.914
25.537 50.914
25.544 50.917
25.546 50.917
25.547 50.917
25.552 50.919
25.555 50.918
25.56 50.923
25.565 50.924
25.572 50.921
25.582 50.928
25.585 50.932
25.588 50.929
25.594 50.928
25.598 50.934
25.603 50.936
25.61 50.938
25.61 50.94
25.603 50.944
25.601 50.951
25.596 50.955
25.591 50.955
25.588 50.964
25.593 50.973
25.598 50.978
25.602 50.979
25.612 50.976
25.622 50.983
25.625 50.982
25.625 50.979
25.62 50.975
25.619 50.972
25.623 50.957
25.622 50.956
25.619 50.962
25.618 50.961
25.618 50.958
25.623 50.95
25.62 50.944
25.618 50.941
25.62 50.935
25.625 50.931
25.628 50.922
25.631 50.92
25.645 50.909
25.662 50.906
25.669 50.902
25.674 50.906
25.696 50.903
25.708 50.899
25.717 50.907
25.727 50.911
25.728 50.914
25.736 50.923
25.743 50.923
25.744 50.92
25.764 50.912
25.776 50.914
25.781 50.917
25.784 50.924
25.788 50.928
25.803 50.936
25.805 50.939
25.804 50.945
25.8 50.951
25.792 50.958
25.788 50.96
25.786 50.963
25.777 50.967
25.767 50.961
25.764 50.961
25.761 50.958
25.756 50.958
25.761 50.965
25.76 50.974
25.767 50.976
25.772 50.987
25.776 50.989
25.782 50.987
25.786 50.987
25.794 50.995
25.798 50.996
25.803 50.993
25.807 50.995
25.818 50.993
25.821 50.989
25.823 50.985
25.822 50.971
25.825 50.968
25.828 50.964
25.836 50.965
25.847 50.968
25.854 50.966
25.857 50.97
25.865 50.974
25.868 50.973
25.865 50.968
25.872 50.963
25.877 50.964
25.879 50.969
25.877 50.975
25.88 50.981
25.887 50.986
25.89 50.985
25.893 50.992
25.901 50.999
25.916 51.001
25.935 50.999
25.952 50.999
25.957 50.995
25.971 50.993
25.978 50.996
25.979 51
25.971 51.004
25.969 51.005
25.965 51.004
25.961 51.007
25.96 51.01
25.956 51.012
25.956 51.014
25.96 51.017
25.964 51.024
25.969 51.03
25.984 51.031
25.978 51.04
25.971 51.042
25.962 51.037
25.958 51.042
25.965 51.05
25.97 51.05
25.979 51.046
25.984 51.047
25.987 51.042
25.989 51.041
26.008 51.043
26.013 51.047
26.021 51.047
26.024 51.046
26.031 51.049
26.038 51.049
26.04 51.042
26.041 51.042
26.045 51.052
26.055 51.077
26.059 51.084
26.065 51.087
26.067 51.089
26.071 51.093
26.071 51.096
26.066 51.101
26.067 51.105
26.075 51.115
26.079 51.119
26.074 51.124
26.07 51.124
26.068 51.128
26.07 51.133
26.071 51.139
26.077 51.151
26.082 51.156
26.087 51.16
26.09 51.159
26.096 51.162
26.103 51.162
26.111 51.166
26.124 51.187
26.13 51.191
26.134 51.19
26.14 51.192
26.142 51.195
26.137 51.196
26.136 51.199
26.137 51.213
26.14 51.224
26.137 51.229
26.138 51.236
26.145 51.242
26.152 51.246
26.154 51.25
26.155 51.263
26.144 51.271
26.146 51.272
26.143 51.279
26.139 51.285
26.137 51.3
26.137 51.303
26.132 51.309
26.129 51.319
26.125 51.322
26.115 51.342
26.098 51.369
26.092 51.365
26.089 51.366
26.077 51.365
26.074 51.368
26.061 51.364
26.05 51.366
26.049 51.367
26.039 51.378
26.035 51.378
26.03 51.38
26.019 51.39
26.016 51.398
26.01 51.406
25.994 51.408
25.985 51.405
25.98 51.408
25.969 51.407
25.963 51.412
25.953 51.432
25.947 51.44
25.946 51.45
25.946 51.476
25.951 51.489
25.95 51.513
25.951 51.517
25.945 51.531
25.942 51.534
25.94 51.531
25.943 51.525
25.943 51.521
25.924 51.548
25.924 51.549
25.928 51.546
25.931 51.546
25.928 51.552
25.922 51.569
25.919 51.575
25.908 51.583
25.891 51.583
