segment Bangladesh
26.015 89.579
26.025 89.578
26.036 89.583
26.045 89.597
26.05 89.603
26.057 89.607
26.06 89.613
26.06 89.63
26.064 89.638
26.07 89.64
26.089 89.632
26.098 89.632
26.103 89.63
26.103 89.627
26.103 89.623
26.089 89.609
26.087 89.601
26.093 89.598
26.104 89.597
26.107 89.599
26.11 89.602
26.114 89.624
26.118 89.63
26.125 89.628
26.117 89.609
26.118 89.601
26.125 89.597
26.127 89.598
26.133 89.599
26.141 89.597
26.15 89.59
26.156 89.59
26.159 89.599
26.157 89.608
26.17 89.612
26.175 89.615
26.17 89.63
26.168 89.644
26.169 89.648
26.174 89.652
26.178 89.649
26.183 89.632
26.185 89.627
26.188 89.624
26.194 89.623
26.196 89.628
26.195 89.634
26.205 89.636
26.21 89.632
26.212 89.629
26.219 89.632
26.226 89.644
26.227 89.652
26.224 89.661
26.23 89.67
26.229 89.675
26.218 89.676
26.216 89.678
26.213 89.688
26.207 89.691
26.199 89.687
26.186 89.687
26.177 89.681
26.167 89.678
26.162 89.68
26.155 89.686
26.154 89.694
26.161 89.706
26.163 89.719
26.16 89.738
26.157 89.744
26.145 89.752
26.137 89.759
26.112 89.767
26.093 89.785
26.079 89.789
26.074 89.791
26.063 89.786
26.053 89.78
26.044 89.776
26.04 89.779
26.039 89.787
26.039 89.793
26.034 89.801
26.021 89.809
25.994 89.821
25.986 89.827
25.983 89.833
25.986 89.844
25.985 89.852
25.981 89.857
25.978 89.858
25.974 89.851
25.973 89.842
25.964 89.841
25.959 89.84
25.956 89.834
25.956 89.827
25.953 89.823
25.946 89.825
25.941 89.832
25.942 89.85
25.942 89.862
25.94 89.871
25.937 89.877
25.931 89.88
25.925 89.878
25.902 89.859
25.898 89.856
25.883 89.839
25.867 89.832
25.843 89.83
25.828 89.826
25.815 89.82
25.808 89.82
25.784 89.835
25.765 89.839
25.751 89.833
25.733 89.823
25.728 89.822
25.721 89.825
25.718 89.837
25.715 89.841
25.697 89.842
25.69 89.843
25.687 89.846
25.681 89.849
25.676 89.854
25.673 89.856
25.665 89.869
25.654 89.873
25.619 89.873
25.583 89.869
25.558 89.861
25.541 89.856
25.536 89.851
25.503 89.846
25.479 89.845
25.466 89.843
25.438 89.828
25.428 89.823
25.402 89.821
25.394 89.818
25.372 89.816
25.355 89.818
25.338 89.823
25.32 89.831
25.315 89.832
25.303 89.832
25.297 89.834
25.289 89.845
25.282 89.858
25.281 89.867
25.285 89.877
25.306 89.903
25.305 89.912
25.298 89.922
25.298 89.932
25.299 89.935
25.302 89.943
25.302 89.952
25.295 89.966
25.28 89.99
25.277 90
25.275 90.008
25.264 90.031
25.258 90.049
25.252 90.059
25.227 90.108
25.223 90.132
25.209 90.188
25.203 90.21
25.192 90.277
25.192 90.293
25.187 90.318
25.185 90.323
25.178 90.336
25.163 90.351
25.159 90.36
25.153 90.409
25.146 90.443
25.149 90.449
25.154 90.459
25.153 90.47
25.162 90.482
25.167 90.492
25.173 90.512
25.174 90.533
25.169 90.55
25.169 90.558
25.173 90.574
25.173 90.579
25.174 90.589
25.167 90.615
25.167 90.619
25.17 90.63
25.183 90.644
25.186 90.649
25.177 90.66
25.167 90.666
25.161 90.676
25.16 90.696
25.156 90.717
25.157 90.725
25.164 90.741
25.18 90.762
25.18 90.771
25.178 90.782
25.164 90.804
25.159 90.821
25.153 90.839
25.154 90.889
25.16 90.925
25.158 90.933
25.16 90.957
25.165 90.966
25.175 90.976
25.18 90.988
25.181 91
25.19 91.056
25.195 91.07
25.196 91.084
25.189 91.126
25.189 91.136
25.19 91.144
25.198 91.189
25.195 91.225
25.197 91.236
25.201 91.242
25.202 91.261
25.199 91.272
25.196 91.282
25.177 91.32
25.166 91.346
25.166 91.359
25.168 91.372
25.163 91.386
25.162 91.396
25.163 91.401
