segment Syria
37.314 42.234
37.308 42.233
37.298 42.229
37.284 42.219
37.281 42.218
37.277 42.221
37.277 42.227
37.281 42.235
37.28 42.247
37.279 42.256
37.272 42.267
37.271 42.276
37.281 42.295
37.275 42.3
37.265 42.303
37.262 42.307
37.261 42.307
37.257 42.321
37.245 42.328
37.24 42.335
37.236 42.35
37.228 42.357
37.218 42.359
37.211 42.355
37.2 42.34
37.186 42.335
37.175 42.337
37.153 42.347
37.148 42.349
37.14 42.356
37.135 42.36
37.127 42.363
37.109 42.364
37.095 42.362
37.091 42.365
37.089 42.366
37.087 42.374
37.082 42.381
37.074 42.385
37.067 42.385
36.978 42.274
36.958 42.249
36.89 42.177
36.884 42.169
36.861 42.137
36.814 42.092
36.79 42.065
36.764 42.034
36.723 41.991
36.695 41.963
36.67 41.938
36.608 41.85
36.593 41.828
36.567 41.707
36.567 41.704
36.544 41.551
36.523 41.411
36.513 41.404
36.403 41.327
36.356 41.295
36.284 41.292
36.264 41.292
36.159 41.277
36.092 41.267
36.055 41.258
36.035 41.269
35.921 41.333
35.835 41.381
35.803 41.383
35.677 41.391
35.63 41.394
35.563 41.342
35.486 41.283
35.452 41.28
35.385 41.275
35.328 41.256
35.285 41.242
35.248 41.233
35.204 41.225
35.132 41.218
35.078 41.221
35 41.226
34.952 41.229
34.938 41.23
34.86 41.23
34.827 41.233
34.785 41.238
34.777 41.234
34.715 41.182
34.664 41.139
34.604 41.109
34.488 41.051
34.452 41.033
34.447 41.027
34.443 41.019
34.44 41.017
34.42 41.012
34.397 40.961
34.336 40.827
34.32 40.792
34.277 40.693
34.237 40.604
34.216 40.56
34.155 40.428
34.093 40.296
34.03 40.164
33.968 40.032
33.953 40
33.906 39.901
33.843 39.769
33.78 39.638
33.717 39.508
33.7 39.472
33.654 39.377
33.59 39.247
33.527 39.117
33.463 38.987
33.399 38.858
33.372 38.804
33.306 38.676
33.24 38.548
33.187 38.448
33.173 38.421
33.106 38.294
33.038 38.168
32.971 38.042
32.93 37.965
32.904 37.915
32.837 37.789
32.77 37.662
32.703 37.536
32.635 37.41
32.568 37.284
32.5 37.159
32.433 37.034
32.391 36.956
32.362 36.911
32.348 36.889
32.312 36.846
32.311 36.825
32.32 36.787
32.332 36.738
32.325 36.72
32.325 36.713
32.339 36.692
32.342 36.67
32.344 36.648
32.355 36.521
32.359 36.503
32.36 36.502
32.368 36.493
32.373 36.48
32.377 36.464
32.382 36.41
32.387 36.401
32.411 36.373
32.443 36.337
32.47 36.296
32.492 36.259
32.493 36.258
32.522 36.218
32.528 36.206
32.528 36.201
32.518 36.178
32.522 36.165
32.524 36.134
32.524 36.13
32.523 36.111
32.518 36.091
32.537 36.089
32.549 36.084
32.576 36.07
32.588 36.059
32.598 36.045
32.604 36.036
32.607 36.035
32.631 36.039
32.643 36.039
32.654 36.036
32.658 36.033
32.662 36.02
32.663 36.011
32.661 35.994
32.665 35.983
32.671 35.973
32.673 35.973
32.682 35.983
32.691 35.983
32.694 35.98
32.697 35.975
32.697 35.963
32.703 35.952
32.707 35.948
32.718 35.945
32.724 35.937
32.725 35.931
32.722 35.926
32.722 35.92
32.726 35.909
32.725 35.901
32.727 35.895
32.733 35.886
32.736 35.878
32.736 35.862
32.729 35.841
32.729 35.835
32.731 35.826
32.735 35.82
32.74 35.817
32.738 35.808
32.743 35.804
32.751 35.809
32.753 35.809
32.783 35.839
32.784 35.84
32.821 35.864
32.836 35.881
32.863 35.895
32.891 35.915
32.895 35.917
32.906 35.922
32.911 35.922
32.918 35.918
32.939 35.901
33.005 35.892
33.01 35.891
33.02 35.887
33.051 35.89
33.069 35.885
33.074 35.887
33.077 35.892
33.072 35.912
33.073 35.923
33.076 35.928
33.078 35.93
33.083 35.928
33.094 35.917
33.096 35.916
33.099 35.915
33.103 35.917
33.115 35.933
33.141 35.935
33.167 35.914
33.17 35.906
33.171 35.893
33.174 35.884
33.185 35.882
33.19 35.886
33.198 35.895
33.206 35.898
33.209 35.899
33.214 35.9
33.226 35.899
33.246 35.892
33.251 35.889
33.259 35.883
33.269 35.868
33.277 35.86
33.293 35.872
33.3 35.873
33.321 35.871
33.341 35.869
33.359 35.872
33.377 35.88
33.396 35.9
33.411 35.911
33.424 35.914
33.431 35.913
33.434 35.908
33.465 35.948
33.466 35.949
33.482 35.962
33.494 35.964
33.503 35.961
33.515 35.952
33.521 35.953
33.524 35.956
33.528 35.969
33.535 36.01
33.539 36.026
33.547 36.045
33.553 36.056
33.56 36.063
33.567 36.068
33.573 36.069
33.588 36.065
33.594 36.06
33.604 36.043
33.605 36.042
33.619 36.005
33.629 35.988
33.633 35.975
33.634 35.95
33.636 35.947
33.644 35.945
33.65 35.947
33.666 35.968
33.669 35.972
33.676 35.978
33.705 35.98
33.715 35.988
33.725 35.999
33.739 36.006
33.752 36.017
33.763 36.021
33.767 36.026
33.767 36.037
33.767 36.038
33.769 36.046
33.815 36.08
33.817 36.088
33.817 36.102
33.825 36.125
33.836 36.148
33.838 36.15
33.848 36.165
33.849 36.174
33.848 36.177
33.836 36.182
33.832 36.186
33.83 36.192
33.828 36.207
33.83 36.238
33.834 36.246
33.848 36.257
33.847 36.273
33.843 36.286
33.834 36.297
33.834 36.313
33.833 36.318
33.828 36.329
33.819 36.362
33.818 36.367
33.818 36.377
33.819 36.379
