segment Yemen
15.722 42.493
15.725 42.492
15.73 42.494
15.732 42.497
15.731 42.501
15.727 42.503
15.724 42.503
15.722 42.493
segment Yemen
15.659 42.303
15.66 42.299
15.662 42.297
15.666 42.293
15.684 42.289
15.687 42.286
15.688 42.279
15.691 42.278
15.699 42.279
15.711 42.284
15.714 42.287
15.715 42.291
15.711 42.296
15.689 42.298
15.661 42.304
15.659 42.303
segment Yemen
15.691 42.679
15.688 42.677
15.687 42.675
15.691 42.673
15.698 42.677
15.712 42.679
15.713 42.682
15.71 42.684
15.691 42.679
segment Yemen
15.703 42.541
15.707 42.541
15.708 42.563
15.707 42.565
15.704 42.561
15.703 42.541
segment Yemen
15.622 42.602
15.623 42.597
15.624 42.597
15.627 42.593
15.636 42.592
15.64 42.585
15.645 42.582
15.648 42.582
15.65 42.588
15.652 42.596
15.639 42.606
15.638 42.616
15.633 42.619
15.631 42.623
15.629 42.636
15.628 42.635
15.628 42.624
15.622 42.602
segment Yemen
15.564 42.543
15.564 42.535
15.566 42.533
15.569 42.536
15.57 42.548
15.573 42.551
15.574 42.555
15.572 42.556
15.569 42.554
15.564 42.543
segment Yemen
15.536 41.839
15.54 41.818
15.544 41.816
15.547 41.817
15.55 41.824
15.566 41.838
15.567 41.842
15.563 41.847
15.556 41.852
15.549 41.854
15.545 41.853
15.541 41.849
15.537 41.843
15.536 41.839
segment Yemen
15.531 42.375
15.529 42.379
15.52 42.372
15.498 42.377
15.488 42.391
15.477 42.407
15.474 42.409
15.469 42.407
15.477 42.393
15.49 42.378
15.523 42.365
15.529 42.358
15.533 42.358
15.533 42.361
15.531 42.375
segment Yemen
15.506 42.502
15.504 42.506
15.499 42.512
15.498 42.518
15.5 42.527
15.497 42.529
15.494 42.523
15.494 42.516
15.489 42.513
15.49 42.51
15.496 42.508
15.498 42.501
15.498 42.493
15.495 42.491
15.491 42.495
15.489 42.495
15.488 42.492
15.489 42.483
15.495 42.478
15.505 42.498
15.506 42.502
segment Yemen
15.414 42.598
15.415 42.599
15.422 42.607
15.422 42.613
15.42 42.615
15.415 42.612
15.41 42.604
15.404 42.609
15.401 42.607
15.403 42.604
15.403 42.595
15.396 42.571
15.394 42.57
15.391 42.572
15.388 42.582
15.38 42.589
15.38 42.591
15.385 42.592
15.391 42.601
15.397 42.61
15.397 42.616
15.401 42.624
15.402 42.634
