segment Bhutan
27.5 89
27.568 89.022
27.576 89.034
27.601 89.055
27.607 89.061
27.615 89.073
27.62 89.087
27.621 89.098
27.62 89.111
27.615 89.123
27.617 89.131
27.656 89.159
27.659 89.163
27.669 89.173
27.677 89.179
27.691 89.186
27.715 89.201
27.737 89.212
27.751 89.215
27.766 89.226
27.77 89.228
27.785 89.235
27.806 89.251
27.815 89.255
27.836 89.273
27.845 89.287
27.845 89.296
27.841 89.308
27.843 89.321
27.845 89.323
27.865 89.359
27.875 89.374
27.888 89.378
27.903 89.365
27.937 89.35
27.94 89.35
27.947 89.349
27.955 89.351
27.964 89.358
27.974 89.37
27.98 89.381
27.981 89.389
27.98 89.394
27.988 89.437
27.992 89.449
27.996 89.456
28 89.459
28.003 89.462
28.01 89.457
28.019 89.468
28.025 89.468
28.032 89.461
28.038 89.466
28.056 89.487
28.067 89.495
28.075 89.499
28.095 89.516
28.097 89.521
28.097 89.524
28.093 89.535
28.1 89.551
28.115 89.564
28.13 89.58
28.147 89.592
28.156 89.601
28.157 89.609
28.149 89.619
28.149 89.624
28.15 89.626
28.158 89.644
28.154 89.658
28.154 89.667
28.16 89.679
28.173 89.697
28.173 89.708
28.176 89.717
28.176 89.727
28.17 89.739
28.171 89.753
28.172 89.756
28.176 89.766
28.189 89.793
28.195 89.801
28.204 89.809
28.22 89.802
28.226 89.806
28.234 89.819
28.245 89.842
28.25 89.849
28.257 89.858
28.268 89.869
28.29 89.884
28.304 89.899
28.304 89.907
28.299 89.919
28.295 89.924
28.285 89.932
28.284 89.943
28.288 89.953
28.288 89.955
28.298 89.971
28.316 89.989
28.323 89.999
28.323 90
28.324 90.003
28.322 90.015
28.311 90.053
28.297 90.155
28.295 90.167
28.293 90.171
28.286 90.22
28.283 90.244
28.259 90.354
28.257 90.359
28.248 90.381
28.236 90.391
28.221 90.398
28.213 90.399
28.199 90.397
28.188 90.394
28.151 90.378
28.116 90.362
28.096 90.362
28.089 90.365
28.077 90.371
28.074 90.377
28.072 90.392
28.074 90.417
28.073 90.425
28.073 90.429
28.066 90.455
28.065 90.466
28.067 90.48
28.068 90.503
28.073 90.533
28.07 90.565
28.069 90.578
28.07 90.587
28.076 90.603
28.074 90.61
28.059 90.619
28.057 90.627
28.063 90.632
28.073 90.637
28.075 90.649
28.073 90.66
28.083 90.679
28.084 90.681
28.089 90.697
28.091 90.714
28.089 90.719
28.079 90.731
28.065 90.744
28.06 90.756
28.056 90.773
28.053 90.804
