segment Nepal
29.45 80.295
29.452 80.297
29.454 80.296
29.467 80.285
29.472 80.282
29.476 80.283
29.477 80.287
29.48 80.29
29.488 80.294
29.487 80.306
29.495 80.309
29.506 80.324
29.509 80.338
29.513 80.342
29.517 80.344
29.522 80.346
29.526 80.352
29.529 80.353
29.537 80.346
29.538 80.343
29.542 80.34
29.551 80.342
29.553 80.347
29.552 80.355
29.554 80.358
29.558 80.359
29.561 80.367
29.56 80.372
29.562 80.375
29.568 80.377
29.575 80.386
29.586 80.395
29.591 80.402
29.598 80.405
29.602 80.405
29.609 80.402
29.616 80.403
29.622 80.407
29.631 80.416
29.636 80.415
29.646 80.411
29.65 80.412
29.653 80.411
29.658 80.402
29.656 80.4
29.657 80.397
29.66 80.396
29.664 80.386
29.671 80.385
29.676 80.38
29.68 80.381
29.686 80.378
29.694 80.377
29.701 80.373
29.716 80.371
29.722 80.364
29.73 80.363
29.732 80.364
29.746 80.363
29.748 80.366
29.749 80.371
29.749 80.376
29.751 80.381
29.753 80.383
29.757 80.382
29.76 80.384
29.76 80.392
29.761 80.394
29.768 80.396
29.791 80.408
29.796 80.414
29.804 80.429
29.805 80.435
29.799 80.442
29.799 80.447
29.803 80.463
29.797 80.472
29.797 80.473
29.796 80.491
29.798 80.492
29.803 80.491
29.825 80.511
29.828 80.522
29.846 80.539
29.85 80.552
29.859 80.554
29.865 80.559
29.87 80.557
29.874 80.558
29.888 80.569
29.896 80.572
29.906 80.57
29.915 80.571
29.94 80.585
29.957 80.599
29.965 80.624
29.965 80.63
29.96 80.637
29.957 80.657
29.959 80.672
29.963 80.677
29.974 80.688
29.988 80.707
29.999 80.716
30 80.718
30.003 80.723
30.001 80.726
30.002 80.733
30.013 80.75
30.027 80.757
30.041 80.757
30.053 80.766
30.056 80.774
30.06 80.78
30.069 80.786
30.094 80.811
30.102 80.84
30.108 80.841
30.114 80.844
30.118 80.851
30.124 80.862
30.125 80.872
30.128 80.876
30.133 80.877
30.158 80.87
30.17 80.861
30.174 80.868
30.182 80.878
30.191 80.884
30.203 80.888
