segment Mongolia
49.908 115.806
49.933 115.855
49.947 115.893
49.95 115.909
49.956 115.919
49.965 115.943
49.969 115.952
49.969 115.953
49.973 115.966
49.998 116.026
50 116.031
50.008 116.057
50.017 116.099
50.02 116.126
50.02 116.135
50.023 116.152
50.027 116.183
50.032 116.205
50.032 116.234
50.025 116.264
50 116.337
49.995 116.351
49.974 116.41
49.963 116.448
49.952 116.536
49.94 116.607
49.938 116.612
49.928 116.622
49.903 116.641
49.873 116.674
49.849 116.691
49.84 116.7
49.802 116.674
49.775 116.656
49.76 116.646
49.747 116.634
49.737 116.631
49.711 116.611
49.703 116.608
49.683 116.595
49.647 116.571
49.611 116.546
49.573 116.522
49.502 116.474
49.494 116.47
49.479 116.46
49.433 116.418
49.372 116.378
49.301 116.331
49.279 116.316
49.217 116.275
49.174 116.248
49.115 116.209
49.076 116.183
49.027 116.151
49.011 116.14
48.948 116.098
48.937 116.088
48.923 116.082
48.909 116.071
48.883 116.056
48.883 116.055
48.877 116.053
48.863 116.06
48.83 116.095
48.811 116.118
48.804 116.116
48.793 116.111
48.76 116.075
48.688 115.994
48.666 115.97
48.653 115.96
48.651 115.953
48.625 115.924
48.608 115.902
48.592 115.889
48.532 115.822
48.518 115.814
48.497 115.811
48.457 115.818
48.38 115.826
48.356 115.83
48.337 115.834
48.306 115.832
48.281 115.832
48.27 115.826
48.262 115.813
48.25 115.769
48.23 115.693
48.197 115.565
48.184 115.515
48.18 115.51
48.164 115.506
48.147 115.508
48.117 115.521
48.103 115.528
48.058 115.53
48.019 115.543
48 115.55
48 115.5
48 115.463
47.995 115.457
47.984 115.462
47.969 115.477
47.959 115.503
47.948 115.554
47.936 115.576
47.905 115.621
47.883 115.643
47.867 115.662
47.852 115.684
47.834 115.711
47.817 115.742
47.799 115.763
47.786 115.781
47.766 115.817
47.742 115.837
47.724 115.859
47.703 115.891
47.685 115.916
47.676 115.935
47.679 115.949
47.694 115.97
47.72 116.004
47.74 116.022
47.77 116.051
47.8 116.093
47.814 116.107
47.835 116.138
47.847 116.165
47.866 116.212
47.877 116.256
47.869 116.315
47.86 116.353
47.851 116.387
47.843 116.45
47.842 116.495
47.849 116.538
47.86 116.559
47.869 116.587
47.883 116.627
47.89 116.642
47.893 116.687
47.897 116.722
47.9 116.773
47.9 116.804
47.898 116.827
47.888 116.873
47.869 116.95
47.849 116.997
47.829 117.053
47.81 117.108
47.781 117.148
47.75 117.193
47.719 117.245
47.697 117.293
47.677 117.317
47.656 117.348
47.638 117.374
47.639 117.387
47.665 117.409
47.69 117.414
47.713 117.437
47.736 117.459
47.75 117.47
47.763 117.502
47.777 117.533
47.789 117.557
47.816 117.585
47.834 117.604
47.863 117.626
47.877 117.649
47.901 117.675
47.921 117.69
47.944 117.713
47.961 117.736
47.99 117.76
48 117.782
48.005 117.816
48.013 117.835
48.025 117.842
48.026 117.86
48.026 117.882
48.034 117.899
48.035 117.915
48.033 117.923
48.031 117.945
48.028 117.977
48.03 117.991
48.027 118.004
48.028 118.026
48.034 118.046
48.034 118.058
48.039 118.067
48.039 118.082
48.036 118.095
48.037 118.101
48.038 118.12
48.034 118.121
48.019 118.109
48.019 118.122
48.032 118.17
48.032 118.19
48.026 118.215
48.02 118.224
48.007 118.24
48.002 118.253
48 118.297
48 118.3
48 118.306
48.003 118.323
48.001 118.329
48.003 118.366
48.002 118.409
48 118.479
47.973 118.52
47.947 118.563
47.924 118.602
47.897 118.633
47.882 118.669
47.849 118.713
47.825 118.746
47.807 118.776
47.789 118.818
47.775 118.86
47.757 118.919
47.745 118.961
47.733 119.005
47.719 119.053
47.705 119.105
47.703 119.124
47.684 119.134
47.665 119.131
47.655 119.127
47.641 119.137
47.617 119.146
47.589 119.152
47.573 119.158
47.562 119.15
47.539 119.152
47.529 119.167
47.518 119.188
47.519 119.208
47.525 119.232
47.529 119.253
47.538 119.276
47.547 119.296
47.546 119.317
47.531 119.336
47.515 119.337
47.499 119.33
47.48 119.34
47.468 119.34
47.451 119.333
47.437 119.322
47.433 119.322
47.426 119.331
47.421 119.354
47.41 119.366
47.4 119.371
47.392 119.384
47.381 119.405
47.369 119.422
47.367 119.43
47.355 119.452
47.351 119.46
47.344 119.462
47.336 119.475
47.335 119.5
47.342 119.524
47.345 119.53
47.348 119.56
47.345 119.566
47.341 119.582
47.34 119.599
47.332 119.62
47.327 119.628
47.318 119.637
47.316 119.644
47.32 119.669
47.321 119.716
47.316 119.733
47.304 119.762
47.299 119.781
47.279 119.81
47.264 119.824
47.263 119.827
47.256 119.832
47.238 119.843
47.227 119.848
47.217 119.856
47.201 119.861
47.185 119.862
47.166 119.867
47.162 119.872
47.156 119.858
47.155 119.838
47.155 119.813
47.171 119.796
47.186 119.785
47.208 119.784
47.217 119.769
47.218 119.763
47.212 119.719
47.206 119.707
47.193 119.701
47.188 119.706
47.174 119.723
47.16 119.746
47.149 119.763
47.13 119.784
47.125 119.793
47.128 119.809
47.134 119.818
47.122 119.841
47.111 119.846
47.102 119.851
47.093 119.847
47.089 119.829
47.082 119.825
47.075 119.83
47.073 119.832
47.06 119.841
47.05 119.843
47.039 119.836
47.032 119.836
47.03 119.832
47.036 119.818
47.041 119.811
47.042 119.803
47.041 119.797
47.035 119.79
47.024 119.79
47.02 119.79
47.013 119.795
47.002 119.802
46.987 119.817
46.965 119.814
46.941 119.807
46.923 119.804
46.907 119.813
