segment Iran
29.472 50.63
29.467 50.637
29.463 50.64
29.458 50.64
29.45 50.637
29.446 50.64
29.46 50.612
29.465 50.609
29.469 50.611
29.485 50.604
29.488 50.606
29.491 50.61
29.483 50.614
29.474 50.626
29.472 50.63
segment Iran
29.342 50.356
29.34 50.361
29.336 50.361
29.318 50.349
29.298 50.342
29.297 50.338
29.303 50.338
29.325 50.348
29.333 50.348
29.338 50.351
29.342 50.356
segment Iran
29.289 50.676
29.287 50.684
29.283 50.686
29.28 50.684
29.274 50.675
29.287 50.674
29.289 50.676
segment Iran
29.269 50.287
29.272 50.291
29.274 50.3
29.267 50.316
29.261 50.337
29.258 50.339
29.253 50.338
29.238 50.331
29.22 50.334
29.212 50.331
29.209 50.327
29.208 50.322
29.208 50.314
29.241 50.299
29.255 50.298
29.264 50.291
29.267 50.286
29.269 50.287
segment Iran
29.273 50.667
29.273 50.669
29.272 50.671
29.26 50.673
29.255 50.672
29.254 50.668
29.255 50.666
29.258 50.665
29.273 50.667
segment Iran
29.181 50.644
29.158 50.647
29.158 50.643
29.16 50.643
29.177 50.64
29.181 50.644
segment Iran
29.104 50.689
29.105 50.691
29.101 50.696
29.085 50.707
29.084 50.703
29.091 50.696
29.104 50.689
segment Iran
29.075 50.759
29.075 50.775
29.073 50.775
29.069 50.772
29.07 50.762
29.075 50.759
segment Iran
29.003 50.882
29.003 50.874
29.009 50.871
29.026 50.871
29.035 50.876
29.039 50.874
29.056 50.873
29.062 50.869
29.066 50.869
29.071 50.873
29.072 50.878
29.07 50.885
29.065 50.892
29.062 50.892
29.049 50.889
29.041 50.893
29.027 50.893
29.016 50.9
29.006 50.889
29.005 50.884
29.003 50.882
segment Iran
28.981 50.865
28.985 50.865
28.991 50.867
28.993 50.87
28.992 50.886
28.99 50.887
28.988 50.884
28.981 50.865
segment Iran
27.913 51.414
27.907 51.424
27.89 51.44
27.879 51.453
27.875 51.454
27.865 51.463
27.857 51.468
27.853 51.467
27.85 51.463
27.845 51.461
27.844 51.456
27.85 51.45
27.856 51.448
27.861 51.442
27.872 51.438
27.883 51.435
27.909 51.415
27.913 51.414
segment Iran
26.788 53.298
26.792 53.283
26.791 53.27
26.799 53.234
26.803 53.219
26.805 53.211
26.816 53.181
26.824 53.168
26.837 53.154
26.844 53.149
26.846 53.149
26.849 53.152
26.85 53.164
26.848 53.186
26.844 53.199
26.835 53.234
26.828 53.271
26.828 53.29
26.824 53.298
26.825 53.326
26.823 53.336
26.819 53.356
26.815 53.364
26.805 53.38
26.801 53.382
26.799 53.379
26.795 53.352
26.795 53.316
26.789 53.304
26.788 53.298
segment Iran
26.791 53.408
26.791 53.402
26.793 53.4
26.797 53.397
26.799 53.398
26.797 53.411
26.794 53.413
26.791 53.408
segment Iran
26.66 53.642
26.66 53.633
26.662 53.621
26.669 53.612
26.669 53.604
26.671 53.597
26.672 53.597
26.679 53.591
26.687 53.588
26.692 53.589
26.695 53.592
26.698 53.598
26.698 53.603
26.692 53.626
26.691 53.643
26.685 53.653
26.683 53.663
26.681 53.665
26.671 53.66
26.663 53.65
26.66 53.642
segment Iran
26.498 53.995
26.51 53.936
26.518 53.916
26.524 53.908
26.533 53.9
26.534 53.9
26.552 53.893
26.566 53.908
26.572 53.918
26.577 53.932
26.578 53.944
26.576 53.959
26.569 54
26.567 54.009
26.564 54.018
26.55 54.018
26.538 54.024
26.531 54.03
26.525 54.041
26.521 54.043
26.509 54.04
26.502 54.034
26.5 54.028
26.502 54.007
26.498 53.995
segment Iran
26.252 54.509
26.254 54.505
26.267 54.498
26.283 54.486
26.298 54.478
26.3 54.478
26.305 54.48
26.311 54.486
26.317 54.495
26.32 54.502
26.32 54.509
26.318 54.517
26.311 54.526
26.299 54.533
26.292 54.535
26.283 54.534
26.263 54.526
26.256 54.521
26.253 54.516
26.252 54.509
segment Iran
26.116 54.432
26.123 54.432
26.127 54.435
26.125 54.439
26.122 54.442
26.116 54.439
26.116 54.432
segment Iran
25.894 54.542
25.899 54.522
25.899 54.52
25.9 54.498
25.902 54.494
25.906 54.491
25.912 54.491
25.916 54.494
25.919 54.511
25.923 54.517
25.924 54.527
25.929 54.543
25.92 54.546
25.904 54.549
25.896 54.548
25.894 54.546
25.894 54.542
segment Iran
27.15 56.557
27.154 56.546
27.157 56.546
27.156 56.561
27.154 56.564
27.151 56.562
27.15 56.557
segment Iran
27.148 56.632
27.15 56.624
27.152 56.624
27.149 56.639
27.148 56.632
segment Iran
27.148 56.606
27.146 56.599
27.148 56.586
27.15 56.582
27.152 56.582
27.148 56.606
segment Iran
27.034 56.47
27.033 56.445
27.043 56.421
27.048 56.415
27.059 56.413
27.07 56.42
27.074 56.418
27.079 56.42
27.089 56.436
27.095 56.441
27.105 56.444
27.105 56.447
27.096 56.451
27.092 56.456
27.091 56.463
27.093 56.476
27.084 56.481
27.075 56.495
27.067 56.497
27.059 56.495
27.05 56.489
27.045 56.491
27.042 56.488
27.04 56.479
27.034 56.47
segment Iran
27.09 56.817
27.088 56.809
27.097 56.8
27.101 56.797
27.104 56.797
27.097 56.806
27.098 56.81
27.092 56.817
27.09 56.817
segment Iran
27.023 56.856
27.025 56.85
27.034 56.839
27.037 56.837
27.04 56.838
27.03 56.849
27.026 56.857
27.023 56.856
segment Iran
27.007 56.871
27.007 56.868
27.013 56.862
27.016 56.864
27.015 56.868
27.013 56.871
27.008 56.874
27.007 56.871
segment Iran
26.912 55.922
26.92 55.934
26.917 55.94
26.918 55.942
26.923 55.941
26.925 55.943
26.931 55.951
26.937 55.953
26.939 55.957
26.94 55.966
26.949 55.974
26.954 55.995
26.954 56.012
26.958 56.022
26.962 56.036
26.962 56.037
26.968 56.044
26.968 56.049
26.966 56.058
26.976 56.08
26.983 56.087
26.984 56.12
26.989 56.133
26.989 56.138
26.985 56.142
26.987 56.145
26.996 56.145
26.998 56.147
26.996 56.152
26.991 56.163
26.988 56.188
26.994 56.195
26.995 56.199
26.991 56.215
26.978 56.232
26.975 56.25
26.971 56.26
26.959 56.273
26.957 56.273
26.951 56.275
26.944 56.273
26.935 56.268
26.93 56.262
26.928 56.255
26.927 56.217
26.925 56.202
26.92 56.183
26.915 56.169
26.909 56.16
26.898 56.154
26.882 56.146
26.876 56.148
26.845 56.132
26.84 56.128
26.832 56.106
26.82 56.101
26.814 56.092
26.811 56.087
26.805 56.076
26.803 56.074
26.794 56.078
26.79 56.076
26.783 56.068
26.775 56.049
26.765 56.033
26.759 56.022
26.751 56.014
26.737 55.986
26.731 55.973
26.716 55.967
26.706 55.957
26.699 55.947
26.693 55.927
26.693 55.916
26.697 55.909
26.716 55.903
26.728 55.891
26.728 55.89
26.742 55.859
26.742 55.852
26.725 55.818
26.701 55.787
26.695 55.775
26.693 55.77
26.688 55.753
26.687 55.733
26.693 55.708
26.693 55.692
26.689 55.681
26.682 55.669
26.662 55.642
26.658 55.637
26.646 55.611
26.645 55.595
26.642 55.584
26.635 55.57
