segment Cambodia
9.922 104.018
9.923 104.015
9.927 104.015
9.929 104.018
9.93 104.023
9.928 104.024
9.925 104.024
9.922 104.018
segment Cambodia
9.91 102.946
9.912 102.942
9.92 102.932
9.929 102.933
9.921 102.941
9.919 102.945
9.917 102.953
9.913 102.956
9.911 102.953
9.91 102.946
segment Cambodia
9.906 102.919
9.911 102.912
9.915 102.9
9.919 102.897
9.926 102.9
9.924 102.902
9.925 102.906
9.915 102.911
9.913 102.921
9.91 102.923
9.906 102.919
segment Cambodia
9.312 103.52
9.313 103.516
9.318 103.515
9.324 103.516
9.321 103.52
9.317 103.521
9.312 103.52
segment Cambodia
9.283 103.465
9.287 103.462
9.289 103.463
9.291 103.463
9.297 103.467
9.301 103.464
9.301 103.456
9.303 103.452
9.306 103.454
9.31 103.461
9.315 103.466
9.317 103.473
9.316 103.476
9.315 103.483
9.318 103.492
9.316 103.495
9.313 103.495
9.31 103.496
9.307 103.495
9.306 103.493
9.302 103.49
9.3 103.486
9.296 103.483
9.295 103.479
9.289 103.476
9.283 103.465
segment Cambodia
11.518 103.031
11.52 103.03
11.527 103.031
11.533 103.037
11.53 103.039
11.518 103.033
11.518 103.031
segment Cambodia
11.52 103
11.52 103.005
11.52 103.011
11.521 103.016
11.521 103.019
11.517 103.023
11.511 103.019
11.507 103.03
11.5 103.036
11.494 103.028
11.495 103.038
11.493 103.039
11.486 103.03
11.484 103.03
11.485 103.032
11.487 103.037
11.487 103.04
11.476 103.046
11.474 103.047
11.477 103.044
11.48 103.039
11.479 103.029
11.48 103.027
11.479 103.022
11.475 103.02
11.473 103.023
11.473 103.029
11.476 103.035
11.474 103.039
11.469 103.043
11.454 103.046
11.449 103.042
11.45 103.033
11.446 103.035
11.444 103.041
11.441 103.044
11.429 103.034
11.427 103.029
11.422 103.026
11.419 103.02
11.424 103.015
11.428 103.013
11.453 103.015
11.468 103.011
11.484 103.001
11.487 103
11.499 102.994
11.511 102.99
11.515 102.99
11.52 102.997
11.52 103
segment Cambodia
11.478 103.061
11.479 103.05
11.483 103.047
11.501 103.042
11.504 103.042
11.503 103.046
11.493 103.057
11.486 103.078
11.478 103.07
11.478 103.061
segment Cambodia
11.458 103.081
11.462 103.087
11.468 103.084
11.469 103.086
11.469 103.088
11.46 103.096
11.457 103.1
11.458 103.105
11.457 103.106
11.454 103.098
11.458 103.081
segment Cambodia
11.446 103.051
11.449 103.05
11.455 103.053
11.459 103.057
11.462 103.063
11.461 103.068
11.459 103.074
11.457 103.075
11.454 103.074
11.448 103.07
11.446 103.051
segment Cambodia
11.439 103.09
11.435 103.086
11.436 103.082
11.443 103.09
11.443 103.092
11.445 103.095
11.444 103.096
11.441 103.094
11.439 103.09
segment Cambodia
11.425 103.068
11.429 103.066
11.429 103.063
11.434 103.061
11.434 103.056
11.441 103.057
11.438 103.071
11.435 103.074
11.425 103.068
segment Cambodia
11.423 103.053
11.424 103.049
11.428 103.047
11.431 103.048
11.433 103.052
11.431 103.057
11.427 103.058
11.424 103.056
11.423 103.053
segment Cambodia
11.249 103
11.252 102.998
11.252 102.995
11.254 102.994
11.258 102.996
11.268 102.995
11.267 102.99
11.271 102.985
11.273 102.985
11.273 102.99
11.278 102.988
11.282 102.989
11.287 102.987
11.293 102.99
11.296 102.989
11.302 102.986
11.311 102.992
11.317 102.994
11.332 102.991
11.352 102.98
11.368 102.985
11.375 102.98
11.393 102.975
11.41 102.979
11.413 102.981
11.422 102.986
11.413 102.991
11.407 102.992
11.406 102.995
11.411 103
11.416 103.006
11.416 103.015
11.411 103.019
11.388 103.029
11.378 103.036
11.372 103.037
11.355 103.03
11.349 103.029
11.346 103.029
11.339 103.032
11.331 103.043
11.328 103.044
11.319 103.041
11.308 103.044
11.301 103.044
11.293 103.041
11.287 103.042
11.282 103.041
11.278 103.035
11.275 103.034
11.267 103.035
11.264 103.032
11.251 103.029
11.245 103.026
11.242 103.022
11.241 103.018
11.242 103.013
11.246 103.009
11.246 103.004
11.249 103
segment Cambodia
10.969 103.067
10.972 103.066
10.977 103.07
10.98 103.076
10.979 103.08
10.976 103.081
10.973 103.079
10.972 103.074
10.97 103.071
10.969 103.067
segment Cambodia
10.951 103.054
10.951 103.05
10.953 103.047
10.958 103.051
10.959 103.056
10.956 103.057
10.951 103.054
segment Cambodia
10.922 103.072
10.925 103.071
10.935 103.073
10.941 103.079
10.941 103.082
10.93 103.078
10.922 103.072
segment Cambodia
10.885 103.088
10.885 103.083
10.884 103.069
10.887 103.068
10.903 103.072
10.903 103.075
10.897 103.082
10.895 103.086
10.889 103.091
10.885 103.088
segment Cambodia
10.816 103.179
10.83 103.168
10.831 103.17
10.829 103.179
10.833 103.187
10.831 103.19
10.826 103.191
10.821 103.199
10.818 103.194
10.818 103.187
10.816 103.179
segment Cambodia
10.799 103.199
10.801 103.195
10.804 103.197
10.805 103.202
10.803 103.208
10.799 103.199
segment Cambodia
10.764 103.252
10.761 103.25
10.753 103.256
10.738 103.258
10.731 103.256
10.728 103.256
10.717 103.266
10.718 103.269
10.723 103.273
10.72 103.278
10.722 103.285
10.713 103.291
10.709 103.296
10.703 103.293
10.698 103.297
10.698 103.298
10.701 103.303
10.709 103.307
10.709 103.312
10.707 103.315
10.695 103.316
10.685 103.311
10.683 103.303
10.677 103.3
10.676 103.297
10.679 103.291
10.678 103.287
10.663 103.273
10.658 103.273
10.65 103.267
10.65 103.264
10.652 103.26
10.66 103.258
10.676 103.259
10.683 103.257
10.695 103.251
10.703 103.245
10.707 103.234
10.701 103.226
10.7 103.221
10.701 103.218
10.715 103.205
10.72 103.206
10.723 103.204
10.734 103.204
10.737 103.201
10.737 103.196
10.735 103.194
10.731 103.188
10.731 103.186
10.735 103.185
10.75 103.192
10.764 103.193
10.769 103.196
10.77 103.202
10.765 103.21
10.764 103.223
10.767 103.227
10.776 103.233
10.777 103.242
10.772 103.255
10.769 103.257
10.767 103.256
10.764 103.252
segment Cambodia
10.624 103.297
10.626 103.295
10.63 103.296
10.635 103.3
10.635 103.303
10.629 103.305
10.625 103.302
10.624 103.297
segment Cambodia
10.619 103.481
10.626 103.474
10.631 103.476
10.629 103.481
10.629 103.488
10.627 103.489
10.62 103.485
10.619 103.481
segment Cambodia
10.539 103.322
10.542 103.313
10.544 103.312
10.555 103.31
10.559 103.306
10.565 103.302
10.565 103.295
10.566 103.294
10.572 103.296
10.578 103.289
10.586 103.284
10.606 103.279
10.611 103.281
10.619 103.288
10.62 103.293
10.615 103.299
10.616 103.303
10.622 103.31
10.622 103.314
10.62 103.318
10.614 103.317
10.61 103.322
10.607 103.323
10.604 103.321
10.605 103.317
10.602 103.313
10.603 103.306
10.602 103.305
10.601 103.302
10.597 103.302
10.59 103.31
10.584 103.306
10.58 103.308
10.575 103.313
10.572 103.321
10.572 103.324
10.575 103.328
10.587 103.33
10.589 103.332
10.588 103.334
10.581 103.335
10.575 103.339
10.572 103.338
10.563 103.328
10.544 103.326
10.539 103.322
segment Cambodia
10.603 103.429
10.605 103.424
10.604 103.411
10.605 103.41
10.61 103.413
10.612 103.419
10.612 103.423
10.61 103.429
10.607 103.432
10.603 103.429
segment Cambodia
10.518 103.544
10.522 103.544
10.527 103.545
10.532 103.55
10.529 103.552
10.527 103.551
10.518 103.544
segment Cambodia
10.476 103.746
10.478 103.749
10.493 103.752
10.504 103.751
10.513 103.748
10.517 103.748
10.518 103.752
10.513 103.779
10.509 103.787
10.504 103.793
10.497 103.795
10.484 103.796
10.471 103.796
10.462 103.798
10.458 103.797
10.454 103.792
10.451 103.782
10.446 103.779
10.445 103.777
