#FaultID	MinisectionID	StartLat	StartLon	EndLat	EndLon	Rake	SlipRate(mm/y)	StdDev
7500	62	19.90905	-65.70479	19.909288	-65.67047	90.0	0.5943384142953111	0.05943384142953112
7500	63	19.909288	-65.67047	19.909885	-65.64033	90.0	0.6160818933677117	0.061608189336771174
7500	64	19.909885	-65.64033	19.907166	-65.592636	90.0	0.6423543817991332	0.06423543817991333
7500	65	19.907166	-65.592636	19.90437	-65.56828	90.0	0.6667313253887	0.06667313253887
7500	66	19.90437	-65.56828	19.901987	-65.52981	90.0	0.687998586677383	0.06879985866773831
7500	67	19.901987	-65.52981	19.900227	-65.48974	90.0	0.7145200335967696	0.07145200335967697
7500	68	19.900227	-65.48974	19.898905	-65.44923	90.0	0.7417102870898169	0.0741710287089817
7500	69	19.898905	-65.44923	19.896263	-65.40696	90.0	0.7696625140842839	0.07696625140842839
7500	70	19.896263	-65.40696	19.894503	-65.37261	90.0	0.795543320344587	0.0795543320344587
7500	71	19.894503	-65.37261	19.89274	-65.334305	90.0	0.82006989634986	0.08200698963498601
7500	72	19.89274	-65.334305	19.89098	-65.3048	90.0	0.8429671301586785	0.08429671301586786
7500	73	19.89098	-65.3048	19.890234	-65.28407	90.0	0.8599332259792374	0.08599332259792375
7500	74	19.890234	-65.28407	19.886135	-65.25725	90.0	0.8760990478104144	0.08760990478104144
7500	75	19.886135	-65.25725	19.880411	-65.22598	90.0	0.8960055789824962	0.08960055789824964
7500	76	19.880411	-65.22598	19.874247	-65.18987	90.0	0.9191186857713095	0.09191186857713096
7500	77	19.874247	-65.18987	19.868523	-65.15861	90.0	0.93	0.09300000000000001
7500	78	19.868523	-65.15861	19.86368	-65.129105	90.0	0.93	0.09300000000000001
7500	79	19.86368	-65.129105	19.859716	-65.10489	90.0	0.93	0.09300000000000001
7500	80	19.859716	-65.10489	19.858837	-65.099846	90.0	0.93	0.09300000000000001
7500	81	19.858837	-65.099846	19.856634	-65.06482	90.0	0.93	0.09300000000000001
7500	82	19.856634	-65.06482	19.85267	-65.017265	90.0	0.9341987255141344	0.09341987255141344
7500	83	19.85267	-65.017265	19.851349	-64.9882	90.0	0.9428964014853249	0.0942896401485325
7500	84	19.851349	-64.9882	19.848707	-64.95297	90.0	0.9501896577199788	0.09501896577199788
7500	85	19.848707	-64.95297	19.847397	-64.93396	90.0	0.956347450269827	0.09563474502698271
7500	86	19.847397	-64.93396	19.846506	-64.89221	90.0	0.9632327950248293	0.09632327950248293
7500	87	19.846506	-64.89221	19.846066	-64.86667	90.0	0.9708514589845663	0.09708514589845663
7500	88	19.846066	-64.86667	19.845184	-64.837166	90.0	0.9770841155907937	0.09770841155907938
7500	89	19.845184	-64.837166	19.844305	-64.80062	90.0	0.9845636525158514	0.09845636525158515
7500	90	19.844305	-64.80062	19.844427	-64.78988	90.0	0.989917924321916	0.09899179243219161
7500	91	19.844427	-64.78988	19.844305	-64.76011	90.0	0.9945034698193805	0.09945034698193805
7500	92	19.844305	-64.76011	19.845184	-64.724884	90.0	1.0018630888073092	0.10018630888073092
7500	93	19.845184	-64.724884	19.845913	-64.69184	90.0	1.0095946002494902	0.10095946002494904
7500	94	19.845913	-64.69184	19.846508	-64.66241	90.0	1.0166679735417503	0.10166679735417505
7500	95	19.846508	-64.66241	19.847397	-64.62054	90.0	1.0247403375536226	0.10247403375536226
7500	96	19.847397	-64.62054	19.840395	-64.55466	90.0	1.0369851664920262	0.10369851664920263
7500	97	19.840395	-64.55466	19.833384	-64.484535	90.0	1.052472079362541	0.10524720793625411
7500	98	19.833384	-64.484535	19.828318	-64.421425	90.0	1.067624404263802	0.1067624404263802
7500	99	19.828318	-64.421425	19.824812	-64.37468	90.0	1.0801033565817704	0.10801033565817704
7500	100	19.824812	-64.37468	19.821306	-64.320526	90.0	1.0915574311462295	0.10915574311462295
7500	101	19.821306	-64.320526	19.816204	-64.25661	90.0	1.1049656345646965	0.11049656345646966
7500	102	19.816204	-64.25661	19.816242	-64.19937	90.0	1.1574398122340306	0.11574398122340306
7500	103	19.816242	-64.19937	19.816242	-64.1573	90.0	1.2186852135396942	0.12186852135396942
7500	104	19.816242	-64.1573	19.816425	-64.09369	90.0	1.2838360117692906	0.12838360117692907
7500	105	19.816425	-64.09369	19.816204	-64.03379	90.0	1.359966960846534	0.1359966960846534
7500	106	19.816204	-64.03379	19.815714	-63.974754	90.0	1.4332782777174728	0.1433278277717473
7500	107	19.815714	-63.974754	19.81429	-63.91137	90.0	1.5087490937494081	0.15087490937494083
7500	108	19.81429	-63.91137	19.816021	-63.86914	90.0	1.5739144888446268	0.1573914488844627
7500	109	19.816021	-63.86914	19.816204	-63.842175	90.0	1.6166223467275997	0.16166223467275997
7500	110	19.816204	-63.842175	19.807878	-63.761097	90.0	1.683517032434112	0.16835170324341123
7500	111	19.807878	-63.761097	19.802181	-63.69415	90.0	1.7752425266623437	0.1775242526662344
