Directory,Region,Min Lat,Min Lon,Max Lat,Max Lon
north_america/Haiti.txt,Haiti,18.021032,-74.478584,20.087822,-71.61336
north_america/Navassa_Island.txt,Navassa Island,18.396704,-75.02823,18.420996,-75.0
north_america/St_Pierre.txt,St Pierre,46.753265,-56.42066,47.146286,-56.157368
north_america/St_Lucia.txt,St Lucia,13.704778,-61.07415,14.103245,-60.874203
north_america/Antigua.txt,Antigua,16.927221,-62.35241,17.729387,-61.659084
north_america/Bahamas.txt,Bahamas,20.916067,-79.62301,27.232027,-72.71159
north_america/Costa_Rica.txt,Costa Rica,5.499074,-87.09465,11.216818,-82.55599
north_america/Grenada.txt,Grenada,11.992374,-61.799976,12.319394,-61.569077
north_america/Aleutian.txt,Aleutian,51.349983,172.45468,53.005886,179.77849
north_america/Clipperton_Island.txt,Clipperton Island,10.28207,-109.23329,10.31345,-109.19932
north_america/El_Salvador.txt,El Salvador,13.148679,-90.12866,14.445067,-87.69216
north_america/Montserrat.txt,Montserrat,16.671007,-62.242584,16.81733,-62.14642
north_america/Trinidad.txt,Trinidad,10.036105,-61.92377,11.338343,-60.48955
north_america/Guadeloupe.txt,Guadeloupe,15.830973,-63.152767,18.130697,-61.0
north_america/Panama.txt,Panama,7.197906,-83.051445,9.644431,-77.17411
north_america/Guatemala.txt,Guatemala,13.737301,-92.24149,17.81522,-88.2232
north_america/Virgin_Islands.txt,Virgin Islands,17.681725,-65.08628,18.458143,-64.56518
north_america/Dominican_Rep.txt,Dominican Rep,17.47009,-72.00349,19.92986,-68.32
north_america/Belize.txt,Belize,15.8893,-89.224815,18.496557,-86.87445
north_america/Anguilla.txt,Anguilla,18.166815,-63.1729,18.303244,-62.93204
north_america/Canada.txt,Canada,41.708298,-141.0,83.11062,-52.63629
north_america/Cuba.txt,Cuba,19.828083,-84.95743,23.283781,-74.131775
north_america/Barbados.txt,Barbados,13.039844,-59.648922,13.327257,-59.420376
north_america/Nicaragua.txt,Nicaragua,10.707543,-87.69031,15.025909,-82.59207
north_america/Honduras.txt,Honduras,12.982411,-89.35079,16.510256,-83.1554
north_america/Mexico.txt,Mexico,14.532866,-118.45395,32.71676,-86.70339
north_america/Midway_Islands.txt,Midway Islands,25.752836,-178.3147,28.398392,-171.71892
north_america/Netherlands_Antilles.txt,Netherlands Antilles,11.973197,-70.0,12.580292,-68.19231
north_america/Bermuda.txt,Bermuda,32.24664,-64.89605,32.393833,-64.65199
north_america/Jamaica.txt,Jamaica,17.703554,-78.36664,18.526976,-76.18032
north_america/St_Vincent.txt,St Vincent,12.40671,-61.500973,13.377834,-61.11388
north_america/Greenland.txt,Greenland,59.777267,-73.263466,83.62742,-11.312319
north_america/Dominica.txt,Dominica,15.20169,-61.484108,15.631809,-61.244152
asia/Gaza_Strip.txt,Gaza Strip,31.223606,34.230457,31.594067,34.546272
asia/Cambodia.txt,Cambodia,9.283256,102.340004,14.686404,107.627716
asia/Malaysia.txt,Malaysia,0.855222,98.935036,7.363407,119.2675
asia/Iraq_Saudi_Arabia_Neutral_Zone.txt,Iraq-Saudi Arabia Neutral Zone,28.777838,44.718735,29.474958,46.557587
asia/Kazakhstan.txt,Kazakhstan,40.93633,46.491856,55.431812,87.31266
asia/Oman.txt,Oman,16.645761,51.88201,24.98312,59.83658
asia/Syria.txt,Syria,32.31068,35.727234,37.319145,42.38504
asia/North_Korea.txt,North Korea,37.59731,124.18864,43.006042,130.67487
asia/Armenia.txt,Armenia,38.83052,43.44978,41.301838,46.630035
asia/Latvia.txt,Latvia,55.668858,20.974266,58.082306,28.241163
asia/Mongolia.txt,Mongolia,41.56764,87.749664,52.154247,119.9243
asia/South_Korea.txt,South Korea,33.10611,125.08657,38.612442,129.58466
asia/Iran.txt,Iran,25.064087,44.047264,39.77722,63.31746
asia/Johnston_Atoll.txt,Johnston Atoll,16.72655,-169.54349,16.741133,-169.5171
asia/Iraq.txt,Iraq,29.103054,38.80408,37.37804,48.57591
asia/Laos.txt,Laos,13.910021,100.093056,22.500399,107.69702
asia/Nepal.txt,Nepal,26.356712,80.05628,30.433393,88.199326
asia/Spratly_Islands.txt,Spratly Islands,9.679463,114.02787,11.117983,115.84897
asia/Japan.txt,Japan,20.528774,122.938515,45.523136,145.82088
asia/Ukraine.txt,Ukraine,44.39042,22.128899,52.375374,40.21807
asia/Bahrain.txt,Bahrain,25.796856,50.38585,26.282597,50.66447
asia/India.txt,India,8.069007,67.390976,35.50421,97.4033
asia/Maldives.txt,Maldives,-0.692702,72.6839,7.098363,73.70618
asia/Burma_Myanmar.txt,Burma Myanmar,9.60036,92.18928,28.543259,101.17678
asia/Taiwan.txt,Taiwan,21.9018,119.30787,25.29826,122.00044
asia/Turkmenistan.txt,Turkmenistan,35.141094,52.441433,42.79555,66.6843
asia/Paracel_Islands.txt,Paracel Islands,15.775404,111.19325,15.789304,111.20874
asia/Yemen.txt,Yemen,11.71359,41.816048,19.00233,54.53054
asia/Afghanistan.txt,Afghanistan,29.377478,60.478443,38.483425,74.87943
asia/Singapore.txt,Singapore,1.164038,103.63828,1.471272,104.09004
asia/Hong_Kong.txt,Hong Kong,22.153242,113.83774,22.559788,114.434746
asia/Macau.txt,Macau,22.110674,113.528946,22.222342,113.59104
asia/Thailand.txt,Thailand,5.610009,97.34563,20.463186,105.63938
asia/Russia.txt,Russia,41.186623,19.788958,81.26332,190.99367
asia/Saudi_Arabia.txt,Saudi Arabia,15.614254,34.495686,32.221306,55.666588
asia/Vietnam.txt,Vietnam,8.408259,102.14821,23.388834,109.46464
asia/Aleutian180.txt,Aleutian180,51.349983,172.45468,53.005886,179.77849
asia/Pakistan.txt,Pakistan,23.694683,60.878597,37.09701,77.840904
asia/West_Bank.txt,West Bank,31.344109,34.883945,32.551567,35.575455
asia/China.txt,China,20.228483,73.5577,53.560856,134.77393
asia/Qatar.txt,Qatar,24.482944,50.744263,26.177586,52.427586
asia/Georgia_Country.txt,Georgia Country,41.038513,40.01024,43.58454,46.72136
asia/Jordan.txt,Jordan,29.185879,34.96001,33.37191,39.31893
asia/Kuwait.txt,Kuwait,28.524614,46.557587,30.095953,48.43147
asia/Kyrgyzstan.txt,Kyrgyzstan,39.172844,69.27662,43.238235,80.28318
asia/Bhutan.txt,Bhutan,26.707632,88.75972,28.323778,92.1252
asia/Sri_Lanka.txt,Sri Lanka,5.916833,79.65292,9.831354,81.88128
asia/Philippines.txt,Philippines,4.952925,116.931564,21.12062,126.60154
asia/Uzbekistan.txt,Uzbekistan,37.18433,55.996635,45.60519,73.13227
asia/United_Arab_Emirates.txt,United Arab Emirates,22.497065,51.113113,26.078848,56.375072
asia/Brunei.txt,Brunei,4.003095,114.07146,5.047173,115.35944
asia/Lebanon.txt,Lebanon,33.053856,35.11427,34.691406,36.63919
asia/Azerbaijan.txt,Azerbaijan,38.397045,45.0,41.90564,50.607845
asia/Bangladesh.txt,Bangladesh,20.585249,88.028336,26.631954,92.67366
asia/Israel.txt,Israel,29.496645,34.26801,33.28218,35.69001
asia/Tajikistan.txt,Tajikistan,36.674137,67.38713,41.042244,75.13722
south_america/Colombia.txt,Colombia,-4.230484,-79.047226,12.463308,-66.869835
south_america/Ecuador.txt,Ecuador,-4.998823,-92.01077,1.664773,-75.184586
south_america/Argentina.txt,Argentina,-55.061314,-73.57778,-21.781277,-53.591835
south_america/Falkland_Islands.txt,Falkland Islands,-52.90058,-61.345192,-51.014946,-57.712486
south_america/French_Guiana.txt,French Guiana,2.127094,-54.54251,5.776496,-51.61395
south_america/Surinam.txt,Surinam,1.831145,-58.086563,6.004546,-53.977493
south_america/Uruguay.txt,Uruguay,-34.980816,-58.442722,-30.082224,-53.073933
south_america/Bolivia.txt,Bolivia,-22.896133,-69.64076,-9.680567,-57.458096
south_america/Paraguay.txt,Paraguay,-27.608738,-62.647076,-19.29404,-54.259354
south_america/Venezuela.txt,Venezuela,0.743681,-73.37431,12.201903,-59.80378
south_america/Brazil.txt,Brazil,-33.750706,-73.985535,5.0,-34.790123
south_america/Guyana.txt,Guyana,1.17508,-61.39627,8.557567,-56.48025
south_america/Chile.txt,Chile,-55.979496,-75.71032,-17.507553,-66.41756
south_america/Peru.txt,Peru,-18.349728,-81.326744,-0.012977,-68.677986
us_complete/North_Carolina.txt,North Carolina,33.844517,-84.32187,36.588116,-75.45866
us_complete/Indiana.txt,Indiana,37.77174,-88.0585,41.76059,-84.78458
us_complete/Wyoming.txt,Wyoming,40.994747,-111.056885,45.0059,-104.05216
us_complete/Utah.txt,Utah,36.997967,-114.052956,42.001568,-109.04105
us_complete/Arizona.txt,Arizona,31.332176,-114.81399,37.00426,-109.04522
us_complete/Montana.txt,Montana,44.35822,-116.05,49.00139,-104.039566
us_complete/Kentucky.txt,Kentucky,36.497128,-89.57151,39.147457,-81.964966
us_complete/California.txt,California,32.534157,-124.40959,42.009518,-114.13442
us_complete/Kansas.txt,Kansas,36.993084,-102.05174,40.003162,-94.58993
us_complete/Delaware.txt,Delaware,38.45101,-75.78866,39.83901,-75.04894
us_complete/Florida.txt,Florida,24.5447,-87.63494,31.000889,-80.03136
us_complete/Pennsylvania.txt,Pennsylvania,39.7198,-80.51989,42.26986,-74.689514
us_complete/Iowa.txt,Iowa,40.3755,-96.6397,43.501194,-90.14006
us_complete/Mississippi.txt,Mississippi,30.173943,-91.65501,34.99605,-88.097885
us_complete/Illinois.txt,Illinois,36.9703,-91.51308,42.5083,-87.4965
us_complete/Texas.txt,Texas,25.837378,-106.645645,36.500706,-93.51641
