
segment New_Zealand
-45.29593 166.96964
-45.29086 166.9565
-45.290634 166.94806
-45.288704 166.94208
-45.283928 166.93681
-45.28064 166.93318
-45.26917 166.90807
-45.256077 166.8955
-45.250683 166.88501
-45.24167 166.8798
-45.233334 166.86185
-45.224922 166.86765
-45.21826 166.86774
-45.20915 166.88596
-45.191414 166.8955
-45.182583 166.90024
-45.178806 166.90681
-45.160442 166.9283
-45.156506 166.9362
-45.150074 166.94048
-45.140774 166.95122
-45.14571 166.9575
-45.151104 166.95953
-45.153614 166.96349
-45.156425 166.96448
-45.164616 166.96295
-45.17214 166.9576
-45.17671 166.94865
-45.182632 166.94345
-45.193016 166.94342
-45.195038 166.94342
-45.21475 166.95105
-45.23797 166.96416
-45.248188 166.979
-45.270657 166.98245
-45.280987 166.98654
-45.29126 166.99391
-45.294285 166.99033
-45.29378 166.9767
-45.29593 166.96964
segment New_Zealand
-45.297295 166.93953
-45.290745 166.92036
-45.288197 166.89037
-45.28104 166.87714
-45.274334 166.8847
-45.278286 166.89828
-45.27569 166.90117
-45.275917 166.90538
-45.28927 166.92705
-45.288757 166.93459
-45.290546 166.93797
-45.29436 166.94049
-45.297295 166.93953
segment New_Zealand
-45.57635 166.76976
-45.567303 166.78058
-45.566994 166.78749
-45.571835 166.78368
-45.577343 166.7752
-45.57635 166.76976
segment New_Zealand
-45.57192 166.63231
-45.57376 166.63339
-45.578556 166.63098
-45.584023 166.63295
-45.584896 166.62393
-45.581554 166.61983
-45.581505 166.61028
-45.578327 166.60934
-45.57663 166.6197
-45.57238 166.62398
-45.570454 166.62991
-45.57192 166.63231
segment New_Zealand
-45.589893 166.75285
-45.586376 166.75162
-45.579586 166.75761
-45.578415 166.76134
-45.585987 166.76115
-45.58925 166.75784
-45.589893 166.75285
segment New_Zealand
-45.691254 166.56293
-45.687775 166.54837
-45.684814 166.54478
-45.678482 166.54256
-45.665985 166.54498
-45.661663 166.54356
-45.655678 166.5416
-45.657166 166.53946
-45.66826 166.53653
-45.684055 166.52748
-45.69823 166.50615
-45.71529 166.48709
-45.73776 166.45032
-45.743286 166.43555
-45.7316 166.43529
-45.723537 166.43887
-45.702793 166.46559
-45.68848 166.47646
-45.6825 166.48831
-45.664894 166.50183
-45.66139 166.5088
-45.653755 166.51198
-45.64404 166.51082
-45.639458 166.5196
-45.638035 166.52234
-45.630157 166.52522
-45.62669 166.5289
-45.626286 166.53386
-45.63126 166.5405
-45.63991 166.54309
-45.64145 166.54587
-45.628677 166.5516
-45.62388 166.55609
-45.61366 166.57037
-45.612514 166.57443
-45.614494 166.58502
-45.606243 166.59349
-45.606045 166.5981
-45.61055 166.60872
-45.61073 166.6241
-45.6074 166.63431
-45.606846 166.6406
-45.605858 166.65184
-45.610386 166.65886
-45.603363 166.66064
-45.601837 166.6703
-45.609745 166.68022
-45.613552 166.69485
-45.619213 166.6975
-45.628048 166.70763
-45.65496 166.70819
-45.679276 166.71169
-45.687366 166.70847
-45.69876 166.71506
-45.706367 166.7155
-45.7274 166.70952
-45.75184 166.67392
-45.756596 166.65631
-45.754112 166.65298
-45.747574 166.65111
-45.74203 166.64648
-45.731537 166.64374
-45.724274 166.63924
-45.734898 166.6381
-45.743546 166.63252
-45.75124 166.61818
-45.75453 166.60728
-45.7536 166.59492
-45.756874 166.58371
-45.747047 166.56842
-45.742863 166.5676
-45.735672 166.57039
-45.733334 166.57419
-45.73303 166.58055
-45.736256 166.58478
-45.73987 166.59584
-45.736446 166.59624
-45.730648 166.58311
-45.72259 166.5788
-45.720512 166.55836
-45.71837 166.55302
-45.71396 166.56438
-45.71114 166.56732
-45.70521 166.56407
-45.703182 166.5607
-45.703983 166.5465
-45.698124 166.53241
-45.694614 166.53938
-45.6955 166.54681
-45.691254 166.56293
segment New_Zealand
-45.713478 166.5559
-45.708546 166.53383
-45.706837 166.54419
-45.711327 166.55844
-45.713478 166.5559
segment New_Zealand
-45.753174 166.81035
-45.749844 166.78314
-45.747467 166.7775
-45.74287 166.78163
-45.734188 166.77834
-45.732212 166.78413
-45.73015 166.78758
-45.721268 166.80241
-45.719418 166.81476
-45.720287 166.82648
-45.72636 166.84943
-45.72447 166.85686
-45.725 166.86664
-45.728935 166.87146
-45.73241 166.8678
-45.734627 166.87477
-45.736645 166.87389
-45.738506 166.86581
-45.74442 166.85202
-45.746136 166.84134
-45.752888 166.82614
-45.753174 166.81035
segment New_Zealand
-45.77548 166.49089
-45.773697 166.48387
-45.773933 166.47597
-45.772377 166.47285
-45.767242 166.4715
-45.75732 166.47397
-45.754784 166.4746
-45.75067 166.47902
-45.753654 166.48294
-45.75454 166.49039
-45.751965 166.49759
-45.75186 166.50778
-45.753906 166.51541
-45.74799 166.51643
-45.74446 166.52702
-45.745636 166.54364
-45.750797 166.55354
-45.755795 166.55658
-45.763733 166.52249
-45.77391 166.49962
-45.77548 166.49089
segment New_Zealand
-45.78249 166.60605
-45.7788 166.60582
-45.775356 166.6006
-45.77407 166.60341
-45.773537 166.62251
-45.771255 166.63098
-45.76199 166.6419
-45.76054 166.66112
-45.762676 166.66646
-45.760254 166.67657
-45.752735 166.69418
-45.748478 166.70845
-45.745884 166.7488
-45.746376 166.76187
-45.74773 166.7668
-45.74839 166.7692
-45.751686 166.76653
-45.750572 166.75877
-45.751984 166.75107
-45.762142 166.7312
-45.765137 166.71478
-45.773224 166.69908
-45.780975 166.65681
-45.77914 166.64455
-45.78249 166.60605
segment New_Zealand
-45.7645 166.58447
-45.76215 166.57948
-45.759148 166.58739
-45.75868 166.59532
-45.761803 166.59364
-45.76116 166.59044
-45.7645 166.58447
segment New_Zealand
-45.786457 166.5665
-45.78488 166.56306
-45.776276 166.56932
-45.776585 166.57881
-45.77501 166.58752
-45.780563 166.5882
-45.782276 166.58603
-45.78541 166.57648
-45.786457 166.5665
segment New_Zealand
-45.974648 166.63661
-45.97134 166.62679
-45.968166 166.62747
-45.969547 166.63985
-45.97224 166.64282
-45.974648 166.63661
segment New_Zealand
-46.013496 166.55135
-46.00906 166.54196
-46.005043 166.52792
-45.99608 166.53589
-45.99127 166.53612
-45.98366 166.55185
-45.981453 166.56561
-45.981762 166.57515
-45.98387 166.57588
-45.98762 166.57315
-46.013496 166.55135
segment New_Zealand
-46.03662 166.5338
-46.03401 166.52025
-46.031433 166.51526
-46.02205 166.52396
-46.022873 166.53441
-46.02635 166.53896
-46.03662 166.5338
segment New_Zealand
-46.068596 166.52246
-46.055046 166.4983
-46.050316 166.4959
-46.04693 166.49695
-46.041027 166.50623
-46.04028 166.50928
-46.04174 166.51472
-46.045574 166.52153
-46.04343 166.53235
-46.047455 166.53847
-46.04927 166.53001
-46.052563 166.52731
-46.06327 166.52573
-46.068596 166.52246
segment New_Zealand
-46.0954 166.68912
-46.104664 166.69466
-46.10773 166.692
-46.107002 166.68712
-46.09757 166.6845
-46.094627 166.67929
-46.088593 166.6823
-46.088673 166.6879
-46.0954 166.68912
segment New_Zealand
-46.14067 166.60295
-46.13845 166.60023
-46.134853 166.60164
-46.11916 166.59619
-46.114914 166.59833
-46.10249 166.6143
-46.100502 166.61983
-46.10171 166.64148
-46.105453 166.65097
-46.1118 166.65353
-46.12018 166.6473
-46.130054 166.62665
-46.134605 166.62183
-46.140263 166.60796
-46.14067 166.60295
segment New_Zealand
-46.455246 167.8427
-46.45105 167.83612
-46.446835 167.8342
-46.44865 167.82872
-46.44646 167.82594
-46.443794 167.82785
-46.442833 167.83192
-46.444607 167.84071
-46.443172 167.84451
-46.447495 167.84875
-46.448128 167.85268
-46.450397 167.85213
-46.454727 167.8464
-46.455246 167.8427
segment New_Zealand
-46.58345 166.89505
-46.574234 166.88142
-46.57246 166.88261
-46.570286 166.89784
-46.573887 166.90077
-46.577328 166.90073
-46.58345 166.89505
segment New_Zealand
-46.58283 168.44644
-46.58083 168.44229
-46.580776 168.4353
-46.57922 168.43079
-46.577003 168.43263
-46.57668 168.43599
-46.578876 168.44511
-46.57858 168.45479
-46.581104 168.45491
-46.58283 168.44644
segment New_Zealand
-47.11349 167.99232
-47.12241 167.99184
-47.125732 167.98917
-47.12691 167.9847
-47.131886 167.97784
-47.130608 167.96956
-47.136875 167.9609
-47.130264 167.9565
-47.12857 167.94926
-47.131348 167.94283
-47.13523 167.93385
-47.1483 167.92354
-47.14804 167.91248
-47.150513 167.90619
-47.164215 167.89986
-47.172573 167.88158
-47.17169 167.87729
-47.16706 167.871
-47.166504 167.86366
-47.17525 167.8645
-47.178085 167.8612
-47.17901 167.84598
-47.18649 167.83383
-47.186188 167.82713
-47.188793 167.81882
-47.18924 167.81339
-47.183815 167.79474
-47.178097 167.7899
-47.178207 167.78217
-47.182377 167.77806
-47.181114 167.7755
-47.18107 167.76439
-47.172474 167.76187
-47.172066 167.75787
-47.175655 167.74104
-47.17894 167.73265
-47.178802 167.7246
-47.17673 167.71942
-47.164303 167.71828
-47.15601 167.71237
-47.15112 167.70074
-47.15135 167.69568
-47.1593 167.69423
-47.160645 167.69208
-47.168484 167.67953
-47.16423 167.66684
-47.164776 167.66376
-47.172447 167.67107
-47.177235 167.6605
-47.179153 167.66234
-47.178516 167.66846
-47.18191 167.67249
-47.19285 167.67107
-47.20081 167.6548
-47.200546 167.64911
-47.19266 167.64215
-47.18892 167.64555
-47.185642 167.65395
-47.183266 167.65218
-47.183735 167.64742
-47.189262 167.63812
-47.18837 167.62263
-47.188103 167.61804
-47.190903 167.60431
-47.19346 167.60506
-47.19432 167.62852
-47.199863 167.63437
-47.20516 167.63486
-47.20849 167.6325
-47.20868 167.62675
-47.207188 167.62422
-47.203022 167.62834
-47.201134 167.62718
-47.20198 167.6207
-47.205364 167.61464
-47.209198 167.61325
-47.208187 167.60628
-47.213955 167.59729
-47.215645 167.59914
-47.2164 167.60545
-47.21929 167.60854
-47.223415 167.60846
-47.226887 167.59937
-47.228127 167.58173
-47.23103 167.57626
-47.233604 167.57141
-47.232307 167.56818
-47.22731 167.5643
-47.226444 167.55563
-47.229095 167.54863
-47.23456 167.55751
-47.24074 167.56227
-47.24115 167.57098
-47.231846 167.59752
-47.232563 167.61293
-47.23604 167.61864
-47.231205 167.63799
-47.229122 167.63751
-47.2277 167.63159
-47.22031 167.63536
-47.217457 167.64305
-47.217617 167.65144
-47.221363 167.65814
-47.223522 167.65524
-47.228058 167.65916
-47.234657 167.65312
-47.239895 167.6425
-47.24343 167.63474
-47.244274 167.63803
-47.241817 167.64938
-47.245945 167.65436
-47.249306 167.65268
-47.25067 167.64749
-47.26134 167.64037
-47.263496 167.6324
-47.262203 167.6194
-47.266533 167.6139
