,Elsinore,,,Garlock,,,"San Jacinto",,,"N. San Andreas",,,"S. San Andreas",,,"Hayward-Rodgers Creek",,,Calaveras,,,"San Gregorio Connected",,,"Greenville Connected",,,"Green Valley Connected",,,"Mount Diablo Thrust",,
,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg
5,0.0607968357452,0.26364734287569,0.13156146158619,0.04672308646058,0.14532850104157,0.07085604743208,0.17817275965326,0.68419654596446,0.38765514584113,0.06192806022342,0.44237358997848,0.21015017828199,0.24783058414268,0.99207588581382,0.80141741818053,0.15451260119175,0.86652984595954,0.44346722810133,0.14706659345064,0.95544783330802,0.5966878980125,0.04369203789276,0.12443446792371,0.08711755697918,0.02289727884205,0.06982894290793,0.04818481496454,0.05587232284469,0.16198921655666,0.11342907222966,0.02539336396551,0.07426043948676,0.05176136188937
5.25,0.0607968357452,0.26364734287569,0.13156146158619,0.04672308646058,0.14532850104157,0.07085604743208,0.17817275965326,0.68419654596446,0.38765514584113,0.06192806022342,0.44237358997848,0.21015017828199,0.24783058414268,0.99207588581382,0.80141741818053,0.15451260119175,0.86652984595954,0.44346722810133,0.14706659345064,0.95544783330802,0.5966878980125,0.04369203789276,0.12443446792371,0.08711755697918,0.02289727884205,0.06982894290793,0.04818481496454,0.05587232284469,0.16198921655666,0.11342907222966,0.02539336396551,0.07426043948676,0.05176136188937
5.5,0.0607968357452,0.26364734287569,0.13156146158619,0.04672308646058,0.14532850104157,0.07085604743208,0.17817275965326,0.68419654596446,0.38765514584113,0.06192806022342,0.44237358997848,0.21015017828199,0.24783058414268,0.99207588581382,0.80141741818053,0.15451260119175,0.86652984595954,0.44346722810133,0.14706659345064,0.91978887646228,0.57539926800585,0.04369203789276,0.12443446792371,0.08711755697918,0.02289727884205,0.06982894290793,0.04818481496454,0.05587232284469,0.16198921655666,0.11342907222966,0.02539336396551,0.07426043948676,0.05176136188937
5.75,0.0607968357452,0.26364734287569,0.13156146158619,0.04672308646058,0.14532850104157,0.07085604743208,0.17817275965326,0.68419654596446,0.38765514584113,0.06192806022342,0.44237358997848,0.21015017828199,0.24783058414268,0.98991515886453,0.7961524668275,0.15451260119175,0.86652984595954,0.44346722810133,0.14706659345064,0.79320819231667,0.47551817982743,0.04369203789276,0.12443446792371,0.08711755697918,0.02289727884205,0.06982894290793,0.04818481496454,0.05587232284469,0.16198921655666,0.11342907222966,0.02539336396551,0.07426043948676,0.05176136188937
6,0.0607968357452,0.26364734287569,0.13156146158619,0.04672308646058,0.14532850104157,0.07085604743208,0.17817275965326,0.68419654596446,0.38765514584113,0.06192806022342,0.44237358997848,0.21015017828199,0.24783058414268,0.9612178902927,0.69749338035547,0.15451260119175,0.86652984595954,0.44346722810133,0.10755121999924,0.73315396274396,0.31544970049584,0.04369203789276,0.12443446792371,0.08711755697918,0.02289727884205,0.06982894290793,0.04818481496454,0.05587232284469,0.16198921655666,0.11342907222966,0.02539336396551,0.07426043948676,0.05176136188937
6.25,0.0607968357452,0.26364734287569,0.13156146158619,0.04672308646058,0.14532850104157,0.07085604743208,0.17817275965326,0.68419654596446,0.38765514584113,0.06192806022342,0.44237358997848,0.21015017828199,0.24783058414268,0.95638015342462,0.62285069998209,0.15451260119175,0.86242367032399,0.44158594221451,0.07386964641758,0.56472092572718,0.25076168077405,0.04369203789276,0.12443446792371,0.08711755697918,0.02289727884205,0.06982894290793,0.04818481496454,0.05587232284469,0.16198921655666,0.11342907222966,0.02539336396551,0.07426043948676,0.05176136188937
6.5,0.0607968357452,0.26360533093423,0.1303185800502,0.04603615582956,0.14532850104157,0.07023779755,0.17720120606585,0.56858341164217,0.36120599532002,0.06192806022342,0.44237358997848,0.21015017828199,0.24783058414268,0.95581955510693,0.60390787330347,0.15451260119175,0.76975622728461,0.39324290315809,0.0227059330176,0.34671893198496,0.12995393539829,0.04369203789276,0.12443446792371,0.08711755697918,0.02289727884205,0.06982894290793,0.04818481496454,0.05587232284469,0.14438893161443,0.10565259630483,0.02175122073772,0.04346542684744,0.03540947616556
6.7,0.05147772272189,0.24577759525398,0.11436431823675,0.03027366874586,0.12266386312311,0.06058331340485,0.13582724277746,0.54250556846091,0.31306728254261,0.06192806022342,0.39385015153545,0.20602438872412,0.22197628870357,0.93622668054017,0.59222357464429,0.11828068531441,0.66862073680839,0.31124381487063,0.01466445016592,0.21651440356667,0.07440565379177,0.03809178148619,0.09190062978339,0.06903361232327,0.01752143087269,0.04090936417416,0.03105278077596,0.01177751435179,0.05763081684218,0.03367067131295,0.00168482068935,0.01287182083897,0.00689534707199
7,0.02544257876378,0.13851386431225,0.05882500113787,0.00402594194411,0.08753500488329,0.04111972600035,0.09895750926276,0.45552323877073,0.22671264033864,0.05569276521469,0.31303438337269,0.18572692184216,0.18160943898516,0.82043393229067,0.47292439079468,0.02586207546162,0.41290605227003,0.12103193211737,0,0.03366077403206,0.01163754849799,0.02854045800523,0.06363489082463,0.04863653790724,0.00083358874947,0.00951729640389,0.0047831853524,0,0.00207694892578,0.00090459063268,0,0,0
