lon,lat,az,bound,slab,depth
141.0864,10.946,261.8827,PA/PS,izu,8.072
141.2212,10.9909,259.2383,PA/PS,izu,7.799
141.3561,11.0358,256.594,PA/PS,izu,8.685
141.4909,11.0808,253.9497,PA/PS,izu,9.744
141.6258,11.1257,251.3054,PA/PS,izu,8.55
141.7789,11.1967,248.0084,PA/PS,izu,9.298
141.93200000000004,11.2678,244.7115,PA/PS,izu,9.892
142.1043,11.2924,253.2228,PA/PS,izu,9.651
142.2766,11.3171,261.7341,PA/PS,izu,10.025
142.377,11.3286,262.1412,PA/PS,izu,10.313
142.4773,11.3402,262.5482,PA/PS,izu,10.222
142.5777,11.3517,262.9552,PA/PS,izu,10.018
142.678,11.3632,263.3623,PA/PS,izu,9.672
142.7835,11.3766,263.0213,PA/PS,izu,9.67
142.8891,11.3899,262.6802,PA/PS,izu,9.028
142.9986,11.4174,259.1505,PA/PS,izu,9.699
143.108,11.4449,255.6208,PA/PS,izu,9.634
143.1199,11.4568,258.1556,PA/PS,izu,9.634
143.2121,11.4717,257.7735,PA/PS,izu,9.15
143.3043,11.4865,257.3914,PA/PS,izu,9.085
143.3965,11.5014,257.0093,PA/PS,izu,9.153
143.4888,11.5163,256.6273,PA/PS,izu,9.051
143.4888,11.5223,255.099,PA/PS,izu,9.051
143.5906,11.5596,253.7011,PA/PS,izu,8.918
143.6925,11.597,252.3033,PA/PS,izu,9.075
143.7944,11.6344,250.9055,PA/PS,izu,8.965
143.8962,11.6718,249.5076,PA/PS,izu,9.319
143.9791,11.7248,246.3601,PA/PS,izu,9.235
144.062,11.7777,243.2125,PA/PS,izu,9.14
144.1449,11.8306,240.065,PA/PS,izu,9.189
144.2279,11.8836,236.9174,PA/PS,izu,8.466
144.3257,11.9179,240.2593,PA/PS,izu,9.648
144.4235,11.9523,243.6011,PA/PS,izu,9.269
144.5213,11.9867,246.9429,PA/PS,izu,10.307
144.619,12.021,250.2848,PA/PS,izu,10.307
144.7536,12.0822,247.688,PA/PS,izu,9.982
144.8882,12.1434,245.0913,PA/PS,izu,9.181
145.0572,12.2077,246.9275,PA/PS,izu,9.23
145.2262,12.272,248.7638,PA/PS,izu,9.185
145.3288,12.3331,243.7122,PA/PS,izu,9.432
145.4313,12.3941,238.6606,PA/PS,izu,9.14
145.5611,12.5206,238.6606,PA/PS,izu,8.078
145.691,12.647,238.6606,PA/PS,izu,8.793
145.8235,12.7357,237.1895,PA/PS,izu,7.915
145.95600000000005,12.8245,235.7184,PA/PS,izu,9.892
146.0885,12.9133,234.2473,PA/PS,izu,9.976
146.221,13.002,232.7762,PA/PS,izu,9.621
146.31,13.0679,232.7762,PA/PS,izu,7.412
146.399,13.1339,232.7762,PA/PS,izu,6.991
146.488,13.1998,232.7762,PA/PS,izu,8.548
146.5769,13.2657,232.7762,PA/PS,izu,9.485
146.6519,13.3495,229.8591,PA/PS,izu,9.383
146.727,13.4333,226.942,PA/PS,izu,8.619
146.8021,13.517,224.0249,PA/PS,izu,8.142
146.8772,13.6008,221.1078,PA/PS,izu,8.708
146.9581,13.7546,217.6069,PA/PS,izu,8.296
147.0391,13.9084,214.1059,PA/PS,izu,9.098
147.12,14.0622,210.6049,PA/PS,izu,9.182
147.201,14.216,207.1039,PA/PS,izu,9.084
147.2337,14.3097,206.0466,PA/PS,izu,9.297
147.2663,14.4035,204.9893,PA/PS,izu,8.778
147.2989,14.4972,203.932,PA/PS,izu,9.144
147.3315,14.591,202.8747,PA/PS,izu,9.142
147.3641,14.6847,201.8174,PA/PS,izu,9.019
147.3967,14.7785,200.7601,PA/PS,izu,8.61
