lat,long,log10(Mo_nk),log10(Mo_zeng_b_bound),log10(Mo_zeng_orig),log10(Mo_abm)
31.6,-117.2,15.0069791906,14.5090949438,14.649,15.117
31.6,-117.1,15.0817792268,14.5977171194,14.789,15.119
31.6,-117,15.2344413513,14.655704954,14.862,15.027
31.6,-116.9,15.3664042775,14.6910018789,14.897,14.657
31.6,-116.8,15.5885070027,14.709269961,14.915,14.639
31.6,-116.7,15.1992064792,14.7314114659,14.929,14.826
31.6,-116.6,15.5805486521,14.7646617324,14.944,15.322
31.6,-116.5,15.2672421488,14.8092296601,14.959,15.564
31.6,-116.4,15.0466902214,14.8639767839,14.975,15.399
31.6,-116.3,15.0780215805,14.9253327226,14.992,15.417
31.6,-116.2,15.0776585491,14.9896500098,15.007,15.42
31.6,-116.1,15.0299921754,15.0487912738,15.015,15.363
31.6,-116,14.9124133804,15.0805904145,14.996,15.345
31.6,-115.9,14.9760747316,15.0701117828,14.953,15.294
31.6,-115.8,15.04719696,15.01148586,14.917,15.307
31.7,-117.5,14.9457540817,14.4432473369,14.897,14.762
31.7,-117.4,14.9773623049,14.5361289858,14.895,14.927
31.7,-117.3,14.9972727714,14.6244058676,14.651,15.131
31.7,-117.2,15.0735717283,14.6849530246,14.781,15.228
31.7,-117.1,14.9646979473,14.7236526608,14.862,15.219
31.7,-117,15.1326118505,14.7436351746,14.904,15.032
31.7,-116.9,15.2212577071,14.7472641693,14.923,14.855
31.7,-116.8,15.0281237151,14.7417108558,14.933,14.684
31.7,-116.7,14.7939090663,14.7418918692,14.944,15.221
31.7,-116.6,14.9522449936,14.7525094008,14.955,15.564
31.7,-116.5,15.040008636,14.7785925588,14.966,15.564
31.7,-116.4,15.1142439137,14.8231611113,14.979,15.403
31.7,-116.3,15.0429690734,14.8824562294,14.991,15.39
31.7,-116.2,15.0303973009,14.9497314523,15.004,15.332
31.7,-116.1,15.0098756337,15.021272014,15.016,15.336
31.7,-116,15.0462609802,15.0797960612,15.027,15.325
31.7,-115.9,15.0828930333,15.1132746925,15.021,15.31
31.7,-115.8,15.1262613189,15.1182978013,15.008,15.337
31.7,-115.7,15.0404836642,15.1153441959,15,15.334
