"Fault Model FM3.2",,,,,,,,,,,,,,,,,,,,
FID,Minisection,Name,ELon1,NLat1,ELon2,NLat2,CREEPS?,"ABM slip rate","ABM rake","NeoKinema slip rate","Neokinema rake","NeoKinema dip","Zeng slip rate","Zeng rake","Geologic rate (mm/yr)","Geologic lower bound (mm/yr)","Geologic upper bound (mm/yr)","Geo rake","Geo dip","Geo dip dir"
30,30.11,Hosgri,-121.046,35.4214,-121.064,35.4542,F,1.4627,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.12,Hosgri,-121.064,35.4542,-121.091,35.502,F,1.4793,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.13,Hosgri,-121.091,35.502,-121.158,35.6027,F,1.5978,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.14,Hosgri,-121.158,35.6027,-121.194,35.6523,F,1.6326,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.15,Hosgri,-121.194,35.6523,-121.241,35.7005,F,1.8641,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.16,Hosgri,-121.241,35.7005,-121.286,35.7437,F,1.9066,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.17,Hosgri,-121.286,35.7437,-121.319,35.7685,F,2.0527,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.18,Hosgri,-121.319,35.7685,-121.365,35.7917,F,2.2659,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.19,Hosgri,-121.365,35.7917,-121.418,35.8356,F,1.9958,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.2,Hosgri,-121.418,35.8356,-121.453,35.8623,F,2.0509,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.21,Hosgri,-121.453,35.8623,-121.494,35.8946,F,2.0246,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.22,Hosgri,-121.494,35.8946,-121.517,35.9287,F,1.539,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.23,Hosgri,-121.517,35.9287,-121.561,35.968,F,1.9355,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
30,30.24,Hosgri,-121.561,35.968,-121.727,36.1462,F,1.6207,180,1.223,180,80,1.4262,-161.1839,2.5,1,5,180,80,58.55
31,31.01,"San Juan",-120.3719,35.7928,-120.29537,35.6797,F,3.1682E-10,180,1.637,180,90,0.1,180,0.01,0,0.2,180,90,242.45
31,31.02,"San Juan",-120.29537,35.6797,-120.22916,35.50193,F,0.045957,180,1.637,180,90,0.1,180,0.01,0,0.2,180,90,242.45
31,31.03,"San Juan",-120.22916,35.50193,-120.12495,35.30454,F,5.7187E-06,180,1.637,180,90,0.1,180,0.01,0,0.2,180,90,242.45
31,31.04,"San Juan",-120.12495,35.30454,-120.08205,35.28247,F,2.9366E-10,180,1.637,180,90,0.1,180,0.01,0,0.2,180,90,242.45
31,31.05,"San Juan",-120.08205,35.28247,-119.96066,35.14761,F,9.7651E-10,180,1.637,180,90,0.1,180,0.01,0,0.2,180,90,242.45
32,32.01,"San Andreas (Parkfield)",-120.30005,35.751984,-120.56089,36.002647,T,28.35,180,27.932,180,90,27.4,180,35,26,39,180,90,49.94
34,34.01,"Cedar Mtn-Mahogany Mtn",-121.90136,41.52567,-121.94468,41.81986,F,0.058232,180,0.461,-87.1,60,0.47434,-108.4349,0.39,0.2,1,-90,60,76.69
34,34.02,"Cedar Mtn-Mahogany Mtn",-121.94468,41.81986,-121.96301,41.945267,F,0.058232,180,0.461,-87.1,60,0.47434,-108.4349,0.39,0.2,1,-90,60,76.69
34,34.03,"Cedar Mtn-Mahogany Mtn",-121.96301,41.945267,-122.1163,42.198574,F,0.20356,180,0.461,-87.1,60,0.47434,-108.4349,0.39,0.2,1,-90,60,76.69
37,37.01,"Hat Creek-McArthur-Mayfield",-121.63309,41.451073,-121.43314,41.108364,F,0.19032,180,0.568,-88.1,60,0.59135,-108.7413,0.6,0.2,1,-90,60,253.68
37,37.02,"Hat Creek-McArthur-Mayfield",-121.43314,41.108364,-121.439804,40.93453,F,1.8395,0,0.568,-88.1,60,0.59135,-108.7413,0.6,0.2,1,-90,60,253.68
37,37.03,"Hat Creek-McArthur-Mayfield",-121.439804,40.93453,-121.37315,40.616653,F,1.9816,0,0.568,-88.1,60,0.59135,-108.7413,0.6,0.2,1,-90,60,253.68
37,37.04,"Hat Creek-McArthur-Mayfield",-121.37315,40.616653,-121.29094,40.56274,F,1.83,0,0.568,-88.1,60,0.59135,-108.7413,0.6,0.2,1,-90,60,253.68
38,38.01,"Robinson Creek",-119.31708,38.20659,-119.30286,38.23859,F,0.5328,-90,0.704,-75.9,50,0.61351,-70.9744,0.5,0.2,1,-90,50,117.6
38,38.02,"Robinson Creek",-119.30286,38.23859,-119.30463,38.26348,F,0.52381,-90,0.704,-75.9,50,0.61351,-70.9744,0.5,0.2,1,-90,50,117.6
38,38.03,"Robinson Creek",-119.30463,38.26348,-119.23174,38.3346,F,0.5279,-90,0.704,-75.9,50,0.61351,-70.9744,0.5,0.2,1,-90,50,117.6
42,42.01,"Round Valley",-118.59922,37.242435,-118.61618,37.251324,F,3.0241,-169.93,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.02,"Round Valley",-118.61618,37.251324,-118.635124,37.264668,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.03,"Round Valley",-118.635124,37.264668,-118.641106,37.27861,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.04,"Round Valley",-118.641106,37.27861,-118.63881,37.301506,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.05,"Round Valley",-118.63881,37.301506,-118.62761,37.32666,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.06,"Round Valley",-118.62761,37.32666,-118.61513,37.34512,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.07,"Round Valley",-118.61513,37.34512,-118.61499,37.357403,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.08,"Round Valley",-118.61499,37.357403,-118.629715,37.382484,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.09,"Round Valley",-118.629715,37.382484,-118.64251,37.397526,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
42,42.1,"Round Valley",-118.64251,37.397526,-118.65061,37.40476,F,2.462,-134.63,0.725,-89.1,50,0.69893,-109.2127,0.6,0.2,1,-90,50,70.36
