ENTRY DATE,WG SITE ID,WG REF ID,SENSE OF MOTION
2006/10/26 14:33:50,6,13451,LL-R
2006/10/26 14:33:53,7,13499,RL-R
2006/10/26 14:34:26,17,13545,RL-N
2006/10/26 14:34:36,20,13578,LL-R
2006/10/26 14:34:38,21,13579,LL-R
2006/10/26 14:34:46,23,13566,RL-N
2006/10/26 14:34:47,23,13566,RL-N
2006/10/26 14:35:03,28,13549,RL-R
2006/10/26 14:35:09,30,13567,RL-N
2006/10/26 14:35:10,30,13567,RL-N
2006/10/26 14:35:16,31,13505,N-RL
2006/10/26 14:35:38,38,13569,R
2006/10/26 14:36:01,44,13491,RL
2006/10/26 14:38:23,44,13491,RL
2006/10/26 14:36:27,53,13548,RL-R
2006/10/26 14:36:36,56,13546,RL-N
2006/10/26 14:36:39,57,13547,RL-N
2006/10/26 14:36:56,62,13509,R
2006/10/26 14:37:17,68,13455,R-LL
2006/10/26 14:37:18,68,13455,R-LL
2006/10/26 14:37:39,74,13507,RL-N
2006/10/26 14:37:45,76,13452,R-LL
2006/10/26 14:37:34,73,13463,RL-R
2006/10/26 14:38:07,82,13464,R-RL
2006/10/26 14:39:35,78,13454,LL-R
2006/10/26 14:37:51,78,13454,R-LL
2006/10/26 14:38:04,78,13454,R
2006/10/26 14:38:02,78,13454,RL-R
2006/10/26 14:37:54,79,13458,R-LL
2006/10/26 14:38:30,89,13504,N-RL
2006/10/26 14:51:55,277,13695,R
2006/10/26 14:46:16,191,7230,RL-R
2006/10/26 14:46:19,192,7230,RL-R
2006/10/26 14:44:24,169,11308,RL-R
2006/10/26 14:45:06,175,10964,RL
2006/10/26 14:53:06,177,13621,RL
2006/10/26 14:45:32,181,10602,RL-R
2006/10/26 14:45:47,186,10595,RL
2006/10/26 14:43:13,150,13602,RL
2006/10/26 14:43:16,151,7262,RL
2006/10/26 14:43:19,152,7671,RL
2006/10/26 14:43:21,153,11543,RL
2006/10/26 14:43:24,153,11543,RL
2006/10/26 14:43:25,153,13603,RL
2006/10/26 14:43:28,153,13603,RL
2006/10/26 14:43:30,153,13603,RL
2006/10/26 14:43:33,154,11534,RL
2006/10/26 14:43:35,155,7024,RL
2006/10/26 14:43:37,155,7024,RL
2006/10/26 14:43:40,156,12713,RL-N
2006/10/26 14:43:43,157,7481,RL
2006/10/26 14:43:46,158,11657,R-RL
2006/10/26 14:43:48,158,11657,R-RL
2006/10/26 14:43:53,159,10014,LL
2006/10/26 14:43:08,149,7676,RL
2006/10/26 14:43:10,149,7676,RL
2006/10/26 14:44:02,162,11753,LL-R
2006/10/26 14:44:08,164,7551,RL
2006/10/26 14:44:57,165,10957,RL
2006/10/26 14:44:59,165,10957,RL
2006/10/26 14:45:01,165,10957,RL
2006/10/26 14:44:14,166,7532,RL
2006/10/26 14:41:43,138,13559,R-LL
2006/10/26 14:42:47,143,7096,RL
2006/10/26 14:42:50,144,7027,RL
2006/10/26 14:42:53,145,10689,RL
2006/10/26 14:42:55,145,10689,RL
2006/10/26 14:42:58,146,10697,RL
2006/10/26 14:43:00,146,10697,RL
2006/10/26 14:43:02,147,13601,RL
2006/10/26 14:41:15,130,13508,N-RL
2006/10/26 14:39:59,109,13450,R-LL
2006/10/26 14:40:09,111,13465,R-RL
2006/10/26 14:40:20,113,13537,RL-N
2006/10/26 14:39:17,102,13570,R
2006/10/26 14:39:20,103,13571,R
2006/10/26 14:39:33,106,13577,RL-R
2006/10/26 14:40:11,106,13577,RL-R
2006/10/26 14:39:06,99,13558,R-LL
2006/10/26 14:39:09,99,13558,R-LL
2006/10/26 14:39:12,100,13560,R-LL
