ENTRY DATE,WG_FAULT_ID,WG SITE ID
2006/10/26 14:55:02,117,329
2006/10/26 14:55:05,117,330
2006/10/26 14:55:08,117,331
2006/10/26 14:55:11,112,332
2006/10/26 14:55:13,253,333
2006/10/26 14:55:17,253,334
2006/10/26 14:54:47,115,324
2006/10/26 14:54:51,115,325
2006/10/26 14:54:54,115,326
2006/10/26 14:54:57,117,327
2006/10/26 14:55:00,117,328
2006/10/26 14:54:14,225,316
2006/10/26 14:54:17,225,317
2006/10/26 14:54:19,225,318
2006/10/26 14:54:23,225,319
2006/10/26 14:54:25,225,320
2006/10/26 14:54:33,77,321
2006/10/26 14:54:34,77,321
2006/10/26 14:54:37,77,322
2006/10/26 14:54:38,77,322
2006/10/26 14:54:44,79,323
2006/10/26 14:54:42,79,323
2006/10/26 14:54:00,183,311
2006/10/26 14:54:03,183,312
2006/10/26 14:54:05,225,313
2006/10/26 14:54:08,225,314
2006/10/26 14:54:11,225,315
2006/10/26 14:53:40,247,303
2006/10/26 14:53:42,289,304
2006/10/26 14:53:45,181,305
2006/10/26 14:53:47,181,306
2006/10/26 14:53:50,181,307
2006/10/26 14:53:53,181,308
2006/10/26 14:53:55,181,309
2006/10/26 14:53:58,183,310
2006/10/26 14:53:23,247,297
2006/10/26 14:53:26,247,298
2006/10/26 14:53:29,247,299
2006/10/26 14:53:31,247,300
2006/10/26 14:53:34,247,301
2006/10/26 14:53:36,247,302
2006/10/26 14:53:17,247,295
2006/10/26 14:53:19,247,296
2006/10/26 14:33:42,293,3
2006/10/26 14:33:45,7,4
2006/10/26 14:33:36,211,1
2006/10/26 14:33:39,293,2
2006/10/26 14:33:47,86,5
2006/10/26 14:40:17,93,5
2006/10/26 14:38:28,87,5
2006/10/26 14:33:50,108,6
2006/10/26 14:37:55,236,6
2006/10/26 14:33:53,284,7
2006/10/26 14:33:56,12,8
2006/10/26 14:33:58,29,8
2006/10/26 14:34:01,99,9
2006/10/26 14:34:04,282,10
2006/10/26 14:38:41,119,10
2006/10/26 14:34:07,282,11
2006/10/26 14:34:10,282,12
2006/10/26 14:34:13,102,13
2006/10/26 14:34:17,56,14
2006/10/26 14:34:20,111,15
2006/10/26 14:34:23,103,16
2006/10/26 14:34:26,50,17
2006/10/26 14:34:29,125,18
2006/10/26 14:34:32,247,19
2006/10/26 14:34:36,152,20
2006/10/26 14:34:38,152,21
2006/10/26 14:34:41,341,22
2006/10/26 14:34:46,170,23
2006/10/26 14:34:47,170,23
2006/10/26 14:40:04,172,23
2006/10/26 14:40:06,97,23
2006/10/26 14:34:50,67,24
2006/10/26 14:34:53,97,25
2006/10/26 14:34:56,57,26
2006/10/26 14:35:00,298,27
2006/10/26 14:35:03,109,28
2006/10/26 14:35:06,3,29
2006/10/26 14:35:09,170,30
2006/10/26 14:35:10,170,30
2006/10/26 14:35:12,172,30
2006/10/26 14:35:14,97,30
2006/10/26 14:35:16,245,31
2006/10/26 14:35:19,234,32
2006/10/26 14:35:22,234,33
2006/10/26 14:35:24,234,33
2006/10/26 14:35:27,341,34
2006/10/26 14:35:30,235,35
2006/10/26 14:35:33,235,36
2006/10/26 14:35:35,74,37
2006/10/26 14:35:38,116,38
2006/10/26 14:35:43,118,39
2006/10/26 14:39:39,85,40
2006/10/26 14:39:43,89,40
2006/10/26 14:39:47,86,40
2006/10/26 14:39:50,84,40
2006/10/26 14:35:46,88,40
2006/10/26 14:39:41,85,41
2006/10/26 14:39:45,89,41
2006/10/26 14:39:48,86,41
2006/10/26 14:39:51,84,41
2006/10/26 14:35:48,88,41
2006/10/26 14:35:51,341,42
2006/10/26 14:35:56,67,43
2006/10/26 14:36:01,296,44
2006/10/26 14:38:23,295,44
2006/10/26 14:36:04,4,45
2006/10/26 14:36:07,301,46
2006/10/26 14:36:09,301,47
2006/10/26 14:36:12,301,48
2006/10/26 14:36:16,301,49
2006/10/26 14:36:18,6,50
2006/10/26 14:36:21,114,51
2006/10/26 14:36:24,235,52
2006/10/26 14:36:27,109,53
2006/10/26 14:51:16,109,53
2006/10/26 14:36:30,67,54
2006/10/26 14:36:33,27,55
2006/10/26 14:36:36,244,56
2006/10/26 14:36:39,244,57
2006/10/26 14:36:42,69,58
2006/10/26 14:36:44,69,58
2006/10/26 14:36:47,69,59
2006/10/26 14:36:51,57,60
2006/10/26 14:36:54,69,61
2006/10/26 14:39:53,230,62
2006/10/26 14:36:56,116,62
2006/10/26 14:36:59,191,63
2006/10/26 14:41:05,247,63
2006/10/26 14:37:02,191,64
2006/10/26 14:37:05,220,65
2006/10/26 14:37:07,220,65
2006/10/26 14:37:10,30,66
2006/10/26 14:37:14,101,67
2006/10/26 14:37:17,226,68
2006/10/26 14:37:18,226,68
2006/10/26 14:37:22,295,69
2006/10/26 14:37:25,123,70
2006/10/26 14:37:28,301,71
2006/10/26 14:37:36,46,74
2006/10/26 14:37:39,46,74
2006/10/26 14:37:42,192,75
2006/10/26 14:37:45,226,76
2006/10/26 14:37:34,109,73
2006/10/26 14:37:48,220,77
2006/10/26 14:37:58,236,80
2006/10/26 14:38:48,10,81
2006/10/26 14:38:07,239,82
2006/10/26 14:38:10,79,83
2006/10/26 14:39:35,152,78
2006/10/26 14:37:51,226,78
2006/10/26 14:38:04,238,78
2006/10/26 14:38:02,109,78
2006/10/26 14:37:54,226,79
2006/10/26 14:38:13,67,84
2006/10/26 14:38:16,27,85
2006/10/26 14:38:19,287,86
2006/10/26 14:38:22,295,87
2006/10/26 14:38:26,283,88
2006/10/26 14:38:30,245,89
2006/10/26 14:52:31,232,287
2006/10/26 14:52:35,283,288
2006/10/26 14:52:37,301,289
2006/10/26 14:52:40,168,290
2006/10/26 14:52:43,287,291
2006/10/26 14:52:45,285,292
2006/10/26 14:52:49,285,292
2006/10/26 14:52:47,295,293
2006/10/26 14:53:14,80,294
2006/10/26 14:52:15,118,282
2006/10/26 14:52:19,118,283
2006/10/26 14:52:23,232,284
2006/10/26 14:52:25,232,285
2006/10/26 14:52:28,232,286
2006/10/26 14:52:09,118,280
2006/10/26 14:52:13,118,281
2006/10/26 14:51:51,109,276
2006/10/26 14:51:54,58,277
2006/10/26 14:51:55,58,277
2006/10/26 14:51:57,58,277
2006/10/26 14:52:00,152,278
2006/10/26 14:51:44,109,274
2006/10/26 14:51:47,109,275
2006/10/26 14:52:04,152,279
2006/10/26 14:51:19,109,266
2006/10/26 14:51:23,109,267
2006/10/26 14:51:26,109,268
2006/10/26 14:51:28,109,269
2006/10/26 14:51:32,109,270
2006/10/26 14:51:34,109,271
2006/10/26 14:51:38,109,272
2006/10/26 14:51:41,109,273
2006/10/26 14:50:55,109,259
