WG SITE ID,WG REF ID,PREF END TIME
4,13585,1982
1,13581,2000
2,13530,1987
9,13532,1995
10,13495,1986
10,13495,1986
11,13497,1981
12,13498,1985
14,13479,1972
15,13457,1991
16,13542,1984
17,13545,1987
18,13562,1996
19,13519,1994
20,13578,2000
21,13579,2000
22,13511,1982
23,13566,1989
23,13566,1989
23,13566,1989
23,13566,1989
24,13469,1984
25,13568,1086
26,13478,1986
27,13539,1977
28,13549,1995
29,13565,1999
30,13567,1987
30,13567,1987
30,13567,1987
30,13567,1987
31,13505,1972
32,13515,1997
33,13514,1992
35,13517,1973
36,13516,1961
37,13576,1994
38,13569,1987
39,13544,1979
41,13502,1990
41,13502,1990
41,13502,1990
41,13502,1990
41,13502,1990
42,13528,1978
43,13474,1989
44,13491,1979
45,13556,1996
46,13483,1986
47,13484,1986
48,13485,1986
50,13584,1982
51,13564,1998
52,13518,1973
55,13468,1989
56,13546,1979
57,13547,1990
59,13553,1993
60,13480,1989
61,13552,1993
62,13509,1996
65,13586,1994
65,13586,1994
67,13529,1970
68,13455,1997
69,13492,1977
71,13487,1992
73,13463,1994
78,13454,1965
78,13454,1965
85,13476,1986
86,13481,1982
87,13489,1979
88,13496,1982
138,13559,1992
140,13493,1989
141,13486,2004
132,13541,1986
132,13541,1986
133,13535,1981
133,13535,1981
134,13534,1967
126,13527,1981
128,13467,1999
130,13508,1980
131,13490,1982
120,13524,1994
121,13526,1994
123,13531,1986
124,13460,1988
125,13472,1983
114,13473,1990
115,13475,1999
116,13477,1989
117,13494,1980
119,13582,1999
108,13503,1997
109,13450,1989
111,13465,1982
112,13561,1982
102,13570,1993
103,13571,1996
97,13554,1986
97,13554,1986
98,13557,1986
99,13558,1981
99,13558,1981
100,13560,1988
101,13563,1982
91,13510,1979
93,13536,1993
95,13550,1978
