ENTRY DATE,WG SITE ID,WG REF ID,MEASURED COMPONENT OF SLIP
2006/10/26 14:53:06,177,13621,C
2006/10/26 14:43:13,150,13602,C
2006/10/26 14:43:16,151,7262,C
2006/10/26 14:43:19,152,7671,C
2006/10/26 14:43:21,153,11543,C
2006/10/26 14:43:24,153,11543,C
2006/10/26 14:43:25,153,13603,C
2006/10/26 14:43:28,153,13603,C
2006/10/26 14:43:30,153,13603,C
2006/10/26 14:43:33,154,11534,C
2006/10/26 14:43:35,155,7024,C
2006/10/26 14:43:37,155,7024,C
2006/10/26 14:43:40,156,12713,C
2006/10/26 14:43:43,157,7481,C
2006/10/26 14:43:10,149,7676,C
2006/10/26 14:44:05,163,10842,C
2006/10/26 14:44:08,164,7551,C
2006/10/26 14:44:14,166,7532,C
