segment Malawi
-9.449 33.08
-9.454 33.096
-9.463 33.104
-9.464 33.111
-9.475 33.121
-9.48 33.123
-9.483 33.127
-9.483 33.135
-9.49 33.143
-9.495 33.153
-9.494 33.17
-9.498 33.174
-9.497 33.187
-9.506 33.197
-9.508 33.202
-9.509 33.21
-9.503 33.221
-9.496 33.225
-9.494 33.229
-9.493 33.238
-9.489 33.245
-9.489 33.252
-9.486 33.256
-9.488 33.261
-9.498 33.268
-9.501 33.282
-9.499 33.287
-9.492 33.292
-9.493 33.301
-9.488 33.308
-9.489 33.313
-9.491 33.317
-9.49 33.325
-9.492 33.33
-9.503 33.34
-9.508 33.348
-9.518 33.354
-9.522 33.358
-9.523 33.362
-9.524 33.371
-9.536 33.383
-9.536 33.389
-9.539 33.393
-9.543 33.395
-9.549 33.398
-9.558 33.41
-9.569 33.419
-9.578 33.423
-9.587 33.423
-9.593 33.419
-9.597 33.423
-9.6 33.429
-9.604 33.43
-9.613 33.44
-9.62 33.46
-9.619 33.465
-9.622 33.474
-9.625 33.489
-9.62 33.498
-9.627 33.513
-9.627 33.52
-9.622 33.525
-9.622 33.531
-9.618 33.532
-9.614 33.542
-9.591 33.553
-9.591 33.572
-9.587 33.577
-9.583 33.582
-9.581 33.588
-9.581 33.593
-9.588 33.598
-9.59 33.605
-9.597 33.614
-9.598 33.622
-9.606 33.629
-9.602 33.646
-9.602 33.651
-9.608 33.661
-9.609 33.669
-9.608 33.675
-9.608 33.685
-9.61 33.69
-9.611 33.692
-9.618 33.702
-9.6 33.714
-9.59 33.723
-9.587 33.73
-9.585 33.739
-9.583 33.755
-9.583 33.764
-9.588 33.776
-9.604 33.791
-9.605 33.791
-9.607 33.803
-9.621 33.815
-9.629 33.816
-9.637 33.828
-9.638 33.836
-9.642 33.843
-9.645 33.847
-9.656 33.858
-9.658 33.862
-9.677 33.888
-9.685 33.899
-9.691 33.917
-9.695 33.919
-9.703 33.914
-9.709 33.921
-9.707 33.931
-9.712 33.939
-9.706 33.943
-9.705 33.944
-9.678 33.95
-9.669 33.954
-9.664 33.955
-9.643 33.957
-9.627 33.967
-9.622 33.967
-9.605 33.959
-9.601 33.959
-9.598 33.956
-9.597 33.956
-9.581 33.946
-9.572 33.945
-9.548 33.954
-9.546 33.955
-9.528 33.965
-9.511 33.986
-9.495 34.014
-9.495 34.015
-9.492 34.036
-9.496 34.043
-9.506 34.053
-9.507 34.054
-9.512 34.058
-9.521 34.062
-9.524 34.067
-9.527 34.076
-9.543 34.092
-9.549 34.103
-9.558 34.112
-9.581 34.136
-9.586 34.138
-9.59 34.145
-9.597 34.155
-9.607 34.166
-9.612 34.175
-9.638 34.196
-9.642 34.204
-9.675 34.238
-9.682 34.246
-9.684 34.247
-9.687 34.248
-9.71 34.27
-9.74 34.306
-9.756 34.319
-9.766 34.325
-9.771 34.327
-9.787 34.331
-9.795 34.336
-9.806 34.345
-9.819 34.362
-9.865 34.394
-9.868 34.396
-9.901 34.429
-9.931 34.453
-9.941 34.458
-9.95 34.471
-9.959 34.478
-9.961 34.481
-9.967 34.489
-9.972 34.493
-9.976 34.502
-9.983 34.507
-9.994 34.51
-10 34.514
-10.001 34.514
-10.016 34.524
-10.048 34.536
-10.052 34.539
-10.057 34.535
-10.061 34.535
-10.064 34.539
-10.08 34.53
-10.093 34.52
-10.098 34.517
-10.101 34.518
-10.103 34.521
-10.113 34.521
-10.114 34.521
-10.122 34.528
-10.133 34.534
-10.144 34.536
-10.158 34.542
-10.158 34.543
-10.167 34.548
-10.175 34.551
-10.188 34.555
-10.209 34.556
-10.231 34.553
-10.255 34.558
-10.262 34.565
-10.271 34.568
-10.293 34.571
-10.296 34.57
-10.304 34.568
-10.308 34.57
-10.325 34.559
-10.327 34.56
-10.346 34.556
-10.353 34.552
-10.382 34.548
-10.388 34.542
-10.415 34.542
-10.416 34.542
-10.42 34.546
-10.441 34.551
-10.445 34.553
-10.439 34.563
-10.444 34.569
-10.448 34.571
-10.454 34.568
-10.457 34.568
-10.462 34.574
-10.467 34.576
-10.472 34.575
-10.48 34.571
-10.498 34.553
-10.505 34.549
-10.51 34.547
-10.517 34.558
-10.52 34.561
-10.522 34.558
-10.522 34.548
-10.528 34.553
-10.536 34.556
-10.549 34.555
-10.556 34.559
-10.564 34.566
-10.582 34.594
-10.589 34.598
-10.589 34.595
-10.59 34.592
-10.591 34.592
-10.605 34.587
-10.625 34.598
-10.631 34.607
-10.639 34.611
-10.645 34.611
-10.661 34.62
-10.673 34.622
-10.681 34.625
-10.699 34.619
-10.706 34.616
-10.717 34.622
-10.721 34.63
-10.729 34.638
-10.748 34.649
-10.758 34.652
-10.769 34.65
-10.776 34.647
-10.786 34.645
-10.811 34.65
-10.815 34.65
-10.832 34.648
-10.844 34.643
-10.856 34.642
-10.879 34.646
-10.896 34.641
-10.908 34.649
-10.912 34.65
-10.916 34.646
-10.92 34.646
-10.929 34.642
-10.931 34.641
-10.94 34.64
-10.947 34.636
-10.961 34.621
-10.974 34.615
-10.981 34.609
-10.99 34.604
-11.008 34.601
-11.031 34.603
-11.043 34.607
-11.044 34.607
-11.049 34.611
-11.05 34.613
-11.048 34.62
-11.051 34.625
-11.053 34.635
-11.068 34.638
-11.069 34.636
-11.064 34.63
-11.068 34.629
-11.074 34.634
-11.08 34.637
-11.089 34.631
-11.095 34.633
-11.102 34.628
-11.106 34.629
-11.114 34.633
-11.118 34.633
-11.119 34.638
-11.119 34.639
-11.122 34.64
-11.126 34.646
-11.131 34.662
-11.141 34.686
-11.151 34.698
-11.159 34.704
-11.174 34.711
-11.182 34.724
-11.191 34.731
-11.198 34.733
-11.213 34.738
-11.224 34.747
-11.232 34.751
-11.243 34.76
-11.26 34.763
-11.262 34.766
-11.262 34.773
-11.265 34.777
-11.272 34.785
-11.28 34.789
-11.283 34.791
-11.29 34.788
-11.292 34.786
-11.291 34.781
-11.294 34.779
-11.298 34.776
-11.303 34.776
-11.312 34.778
-11.319 34.783
-11.326 34.783
-11.321 34.796
-11.321 34.805
-11.332 34.834
-11.349 34.869
-11.355 34.883
-11.366 34.891
-11.368 34.898
-11.378 34.91
-11.402 34.922
-11.415 34.926
-11.429 34.928
-11.449 34.931
-11.483 34.936
-11.516 34.949
-11.53 34.947
-11.538 34.948
-11.55 34.954
-11.571 34.958
-11.574 34.883
-11.572 34.855
-11.573 34.852
-11.574 34.847
-11.576 34.812
-11.578 34.75
-11.58 34.739
-11.579 34.724
-11.579 34.715
-11.581 34.704
-11.583 34.643
-11.609 34.643
-11.628 34.64
-11.662 34.634
-11.749 34.603
-11.766 34.597
-11.804 34.582
-11.826 34.57
-11.866 34.554
-11.966 34.513
-11.982 34.504
-12.001 34.493
-12.037 34.476
-12.097 34.451
-12.16 34.425
-12.198 34.415
-12.217 34.413
-12.255 34.408
-12.293 34.409
-12.343 34.413
-12.35 34.414
-12.367 34.417
-12.432 34.434
-12.466 34.445
-12.475 34.448
-12.513 34.456
-12.528 34.463
-12.547 34.468
-12.588 34.478
-12.617 34.485
-12.664 34.498
-12.707 34.518
-12.71 34.519
-12.73 34.524
-12.753 34.525
-12.768 34.524
-12.809 34.511
-12.818 34.511
-12.831 34.509
-12.836 34.508
-12.849 34.508
-12.89 34.517
-12.927 34.532
-12.947 34.536
-12.953 34.537
-12.965 34.538
-13.029 34.55
-13.047 34.552
-13.063 34.551
-13.077 34.546
-13.081 34.544
-13.098 34.541
-13.148 34.537
-13.157 34.539
-13.202 34.539
-13.249 34.539
-13.277 34.536
-13.302 34.531
-13.327 34.524
-13.337 34.521
-13.358 34.524
-13.367 34.527
-13.374 34.533
-13.378 34.538
-13.389 34.545
-13.389 34.549
-13.403 34.561
-13.429 34.577
-13.433 34.579
-13.472 34.595
-13.482 34.604
-13.482 34.677
-13.482 34.679
-13.481 34.684
-13.479 34.759
-13.48 34.806
-13.481 34.837
-13.479 34.848
-13.479 34.861
-13.487 34.875
-13.528 34.915
-13.564 34.949
-13.611 35
-13.617 35.006
-13.651 35.043
-13.667 35.057
-13.675 35.068
-13.688 35.082
-13.707 35.097
-13.805 35.17
-13.808 35.173
-13.846 35.204
-13.856 35.209
-13.881 35.231
-13.907 35.254
-13.95 35.291
-13.956 35.3
-13.969 35.308
-13.996 35.331
-14.002 35.338
-14.014 35.351
-14.02 35.353
-14.098 35.422
-14.167 35.484
-14.189 35.495
-14.199 35.498
-14.222 35.507
-14.245 35.517
-14.265 35.529
-14.306 35.564
-14.404 35.646
-14.502 35.728
-14.553 35.771
-14.555 35.774
-14.563 35.779
-14.582 35.797
-14.598 35.811
-14.669 35.87
-14.683 35.871
-14.704 35.87
-14.724 35.868
-14.73 35.87
-14.831 35.87
-14.89 35.87
-14.892 35.888
-14.891 35.917
-14.91 35.908
-15 35.867
-15.025 35.855
-15.141 35.802
-15.166 35.79
-15.262 35.813
-15.361 35.838
-15.374 35.843
-15.374 35.842
-15.383 35.844
-15.395 35.847
-15.418 35.854
-15.432 35.855
-15.507 35.847
-15.525 35.845
-15.548 35.845
-15.633 35.837
-15.758 35.826
-15.828 35.82
-15.884 35.817
-15.896 35.816
-15.925 35.813
-15.946 35.804
-15.976 35.803
-15.984 35.805
-15.993 35.815
-16 35.813
-16.001 35.814
-16.008 35.818
-16.014 35.82
-16.024 35.819
-16.031 35.814
-16.04 35.799
-16.046 35.784
-16.05 35.779
-16.058 35.768
-16.063 35.768
-16.069 35.764
-16.075 35.754
-16.073 35.745
-16.082 35.726
-16.092 35.71
-16.102 35.709
-16.099 35.696
-16.103 35.688
-16.099 35.681
-16.102 35.662
-16.111 35.643
-16.113 35.63
-16.122 35.624
-16.126 35.619
-16.126 35.608
-16.133 35.593
-16.13 35.584
-16.127 35.58
-16.128 35.575
-16.134 35.572
-16.129 35.564
-16.124 35.56
-16.123 35.557
-16.135 35.555
-16.138 35.552
-16.139 35.545
-16.144 35.542
-16.153 35.546
-16.161 35.541
-16.162 35.534
-16.161 35.529
-16.167 35.525
-16.166 35.521
-16.155 35.503
-16.145 35.499
-16.142 35.493
-16.138 35.486
-16.132 35.484
-16.125 35.486
-16.121 35.485
-16.118 35.477
-16.118 35.457
-16.113 35.447
-16.114 35.429
-16.118 35.42
-16.129 35.404
-16.137 35.398
-16.146 35.393
-16.152 35.387
-16.156 35.377
-16.155 35.374
-16.178 35.348
-16.189 35.343
-16.196 35.331
-16.201 35.323
-16.207 35.314
-16.209 35.311
-16.213 35.308
-16.221 35.307
-16.227 35.301
-16.23 35.297
-16.237 35.293
-16.251 35.295
-16.268 35.299
-16.293 35.289
-16.302 35.286
-16.319 35.28
-16.324 35.28
-16.34 35.287
-16.345 35.296
-16.349 35.298
-16.355 35.297
-16.362 35.292
-16.364 35.289
-16.367 35.287
-16.379 35.275
-16.387 35.272
-16.397 35.264
-16.407 35.262
-16.433 35.264
-16.444 35.262
-16.455 35.263
-16.459 35.264
-16.47 35.262
-16.482 35.255
-16.492 35.246
-16.494 35.23
-16.496 35.222
-16.499 35.213
-16.508 35.205
-16.516 35.213
-16.52 35.207
-16.518 35.195
-16.524 35.187
-16.529 35.181
-16.542 35.179
-16.547 35.173
-16.55 35.162
-16.558 35.149
-16.569 35.147
-16.586 35.154
-16.597 35.155
-16.604 35.157
-16.608 35.161
-16.608 35.169
-16.62 35.167
-16.624 35.178
-16.637 35.192
-16.638 35.197
-16.637 35.201
-16.643 35.208
-16.653 35.215
-16.653 35.22
-16.651 35.225
-16.652 35.229
-16.655 35.23
-16.666 35.232
-16.674 35.238
-16.677 35.239
-16.681 35.242
-16.68 35.251
-16.681 35.255
-16.686 35.258
-16.692 35.261
-16.695 35.267
-16.7 35.27
-16.706 35.279
-16.715 35.285
-16.732 35.282
-16.743 35.286
-16.75 35.283
-16.759 35.289
-16.772 35.295
-16.785 35.292
-16.795 35.294
-16.808 35.305
-16.817 35.306
-16.821 35.309
-16.828 35.312
-16.834 35.311
-16.844 35.304
-16.854 35.304
-16.868 35.295
-16.874 35.287
-16.885 35.283
-16.888 35.28
-16.894 35.277
-16.898 35.285
-16.901 35.286
-16.909 35.281
-16.926 35.273
-16.944 35.267
-16.948 35.275
-16.954 35.27
-16.961 35.27
-16.961 35.272
-16.958 35.28
-16.965 35.286
-16.962 35.297
-16.973 35.298
-16.984 35.304
-17.001 35.296
-17.011 35.294
-17.022 35.295
-17.032 35.293
-17.038 35.296
-17.051 35.297
-17.054 35.295
-17.061 35.297
-17.059 35.303
-17.058 35.309
-17.06 35.313
-17.067 35.306
-17.079 35.308
-17.096 35.303
-17.102 35.305
-17.119 35.304
-17.122 35.301
-17.124 35.294
-17.124 35.285
-17.124 35.271
-17.124 35.231
-17.124 35.217
-17.124 35.194
-17.123 35.142
-17.125 35.107
-17.123 35.094
-17.113 35.089
-17.112 35.087
-17.107 35.082
-17.105 35.079
-17.1 35.08
-17.096 35.083
-17.086 35.103
-17.08 35.099
-17.075 35.089
-17.063 35.074
-17.052 35.063
-17.038 35.059
-17.021 35.063
-17.01 35.059
-17.001 35.058
-16.997 35.063
-16.988 35.078
-16.977 35.106
-16.975 35.114
-16.968 35.131
-16.962 35.14
-16.949 35.146
-16.941 35.15
-16.939 35.156
-16.942 35.163
-16.936 35.167
-16.928 35.167
-16.913 35.165
-16.885 35.152
-16.876 35.15
-16.867 35.151
-16.863 35.155
-16.853 35.161
-16.841 35.16
-16.832 35.156
-16.826 35.147
-16.823 35.134
-16.815 35.116
-16.815 35.109
-16.818 35.097
-16.819 35.072
-16.826 35.068
-16.828 35.064
-16.826 35.052
-16.823 35.039
-16.818 35.034
-16.804 35.027
-16.799 35.012
-16.798 35.008
-16.794 35.001
-16.794 35
-16.793 34.996
-16.781 34.992
-16.747 34.983
-16.748 34.975
-16.742 34.969
-16.743 34.969
-16.738 34.961
-16.74 34.956
-16.744 34.939
-16.744 34.924
-16.735 34.92
-16.724 34.919
-16.713 34.915
-16.698 34.915
-16.692 34.912
-16.689 34.894
-16.686 34.88
-16.679 34.874
-16.677 34.866
-16.674 34.861
-16.655 34.858
-16.644 34.858
-16.634 34.858
-16.618 34.853
-16.61 34.846
-16.605 34.837
-16.605 34.831
-16.602 34.821
-16.596 34.817
-16.592 34.804
-16.585 34.793
-16.586 34.781
-16.582 34.779
-16.578 34.779
-16.563 34.786
-16.554 34.785
-16.548 34.781
-16.54 34.771
-16.53 34.77
-16.518 34.759
-16.511 34.758
-16.509 34.736
-16.5 34.718
-16.497 34.708
-16.5 34.695
-16.5 34.687
-16.491 34.679
-16.478 34.675
-16.466 34.678
-16.455 34.678
-16.444 34.669
-16.443 34.664
-16.451 34.653
-16.423 34.619
-16.411 34.594
-16.398 34.585
-16.39 34.584
-16.374 34.589
-16.361 34.589
-16.346 34.573
-16.338 34.572
-16.329 34.574
-16.321 34.573
-16.314 34.564
-16.293 34.538
-16.283 34.53
-16.282 34.529
-16.281 34.522
-16.286 34.512
-16.298 34.5
-16.294 34.49
-16.284 34.47
-16.273 34.459
-16.27 34.453
-16.271 34.446
-16.265 34.432
-16.262 34.431
-16.254 34.423
-16.235 34.422
-16.231 34.42
-16.219 34.418
-16.218 34.411
-16.212 34.407
-16.192 34.405
-16.185 34.4
-16.172 34.4
-16.166 34.404
-16.162 34.404
-16.144 34.393
-16.128 34.393
-16.124 34.394
-16.112 34.399
-16.105 34.407
-16.08 34.421
-16.062 34.437
-16.059 34.436
-16.055 34.427
-16.051 34.425
-16.045 34.426
-16.04 34.425
-16.033 34.419
-16.025 34.404
-16.016 34.384
-16.015 34.384
-16.001 34.374
-16 34.373
-15.989 34.369
-15.967 34.363
-15.961 34.355
-15.96 34.337
-15.957 34.331
-15.956 34.33
-15.95 34.327
-15.938 34.322
-15.926 34.304
-15.925 34.299
-15.929 34.289
-15.928 34.282
-15.917 34.271
-15.916 34.262
-15.908 34.254
-15.898 34.252
-15.893 34.254
-15.887 34.263
-15.885 34.262
-15.879 34.254
-15.864 34.261
-15.848 34.251
-15.841 34.25
-15.832 34.256
-15.821 34.259
-15.811 34.268
-15.794 34.272
-15.786 34.278
-15.779 34.287
-15.778 34.288
-15.758 34.303
-15.74 34.343
-15.739 34.354
-15.735 34.365
-15.727 34.373
-15.715 34.378
-15.709 34.384
-15.706 34.384
-15.683 34.389
-15.681 34.399
-15.67 34.407
-15.666 34.415
-15.657 34.425
-15.655 34.433
-15.648 34.431
-15.623 34.431
-15.617 34.433
-15.611 34.439
-15.61 34.441
-15.606 34.454
-15.593 34.454
-15.571 34.44
-15.559 34.442
-15.54 34.442
-15.523 34.437
-15.499 34.427
-15.475 34.426
-15.466 34.43
-15.462 34.435
-15.462 34.44
-15.467 34.455
-15.467 34.46
-15.464 34.464
-15.449 34.459
-15.433 34.466
-15.424 34.472
-15.419 34.481
-15.417 34.483
-15.414 34.485
-15.41 34.492
-15.41 34.505
-15.399 34.515
-15.388 34.519
-15.367 34.518
-15.357 34.52
-15.348 34.524
-15.345 34.53
-15.34 34.534
-15.328 34.54
-15.329 34.543
-15.332 34.547
-15.335 34.55
-15.335 34.556
-15.322 34.573
-15.31 34.572
-15.305 34.574
-15.295 34.586
-15.281 34.598
-15.267 34.604
-15.251 34.599
-15.243 34.601
-15.239 34.601
-15.235 34.601
-15.225 34.593
-15.211 34.589
-15.206 34.581
-15.2 34.579
-15.185 34.583
-15.168 34.58
-15.162 34.581
-15.152 34.578
-15.135 34.576
-15.126 34.572
-15.123 34.572
-15.11 34.574
-15.098 34.586
-15.088 34.59
-15.085 34.584
-15.086 34.576
-15.083 34.573
-15.063 34.577
-15.049 34.585
-15.041 34.6
-15.038 34.602
-15.028 34.602
-15.018 34.604
-15.007 34.615
-15.002 34.616
-15 34.616
-14.997 34.615
-14.992 34.611
-14.983 34.608
-14.957 34.589
-14.916 34.576
-14.905 34.572
-14.897 34.564
-14.89 34.561
-14.881 34.563
-14.868 34.572
-14.861 34.574
-14.854 34.572
-14.849 34.573
-14.822 34.57
-14.815 34.574
-14.81 34.579
-14.804 34.578
-14.8 34.577
-14.795 34.575
-14.779 34.564
-14.767 34.559
-14.751 34.543
-14.742 34.541
-14.739 34.538
-14.713 34.531
-14.708 34.525
-14.691 34.518
-14.684 34.516
-14.674 34.52
-14.668 34.529
-14.652 34.535
-14.642 34.545
-14.639 34.544
-14.633 34.54
-14.6 34.537
-14.589 34.534
-14.584 34.529
-14.582 34.525
-14.582 34.523
-14.569 34.52
-14.56 34.516
-14.553 34.508
-14.55 34.493
-14.537 34.485
-14.529 34.473
-14.521 34.469
-14.51 34.457
-14.49 34.447
-14.489 34.447
-14.469 34.441
-14.462 34.436
-14.455 34.424
-14.429 34.415
-14.416 34.399
-14.4 34.388
-14.395 34.374
-14.394 34.373
-14.39 34.368
-14.389 34.359
-14.398 34.34
-14.4 34.331
-14.4 34.304
-14.407 34.288
-14.413 34.28
-14.424 34.271
-14.43 34.261
-14.43 34.259
-14.429 34.25
-14.426 34.24
-14.427 34.23
-14.434 34.22
-14.44 34.203
-14.436 34.183
-14.438 34.163
-14.442 34.134
-14.446 34.108
-14.45 34.093
-14.457 34.086
-14.463 34.083
-14.478 34.082
-14.485 34.074
-14.481 34.047
-14.482 34.032
-14.481 34.029
-14.475 33.96
-14.473 33.948
-14.465 33.937
-14.469 33.924
-14.474 33.918
-14.474 33.91
-14.476 33.906
-14.491 33.88
-14.511 33.879
-14.511 33.874
-14.504 33.865
-14.504 33.856
-14.511 33.845
-14.539 33.816
-14.542 33.814
-14.543 33.805
-14.532 33.792
-14.522 33.769
-14.496 33.743
-14.488 33.729
-14.491 33.72
-14.498 33.711
-14.499 33.71
-14.522 33.706
-14.534 33.701
-14.548 33.702
-14.572 33.713
-14.576 33.707
-14.581 33.705
-14.592 33.691
-14.605 33.68
-14.604 33.679
-14.583 33.645
-14.57 33.638
-14.563 33.631
-14.555 33.627
-14.544 33.63
-14.532 33.63
-14.508 33.619
-14.505 33.616
-14.501 33.613
-14.485 33.596
-14.479 33.586
-14.478 33.573
-14.471 33.565
-14.454 33.557
-14.452 33.554
-14.436 33.545
-14.427 33.537
-14.421 33.526
-14.42 33.525
-14.419 33.515
-14.403 33.481
-14.397 33.474
-14.378 33.464
-14.361 33.448
-14.345 33.447
-14.338 33.443
-14.328 33.438
-14.308 33.424
-14.297 33.419
-14.29 33.419
-14.28 33.414
-14.27 33.406
-14.25 33.397
-14.234 33.382
-14.229 33.381
-14.225 33.379
