segment Madagascar
-13.402 48.297
-13.401 48.292
-13.404 48.29
-13.408 48.288
-13.408 48.286
-13.403 48.285
-13.401 48.278
-13.402 48.276
-13.406 48.277
-13.408 48.275
-13.409 48.271
-13.402 48.27
-13.4 48.266
-13.402 48.264
-13.413 48.263
-13.417 48.259
-13.402 48.238
-13.4 48.232
-13.393 48.226
-13.391 48.22
-13.387 48.217
-13.386 48.215
-13.394 48.212
-13.4 48.213
-13.403 48.212
-13.402 48.207
-13.399 48.204
-13.388 48.197
-13.387 48.194
-13.383 48.192
-13.378 48.193
-13.376 48.191
-13.375 48.186
-13.368 48.185
-13.358 48.188
-13.353 48.188
-13.352 48.186
-13.356 48.184
-13.353 48.181
-13.349 48.182
-13.347 48.178
-13.339 48.183
-13.325 48.178
-13.315 48.18
-13.311 48.18
-13.302 48.179
-13.3 48.181
-13.301 48.186
-13.3 48.188
-13.285 48.192
-13.28 48.196
-13.275 48.196
-13.275 48.19
-13.272 48.185
-13.274 48.181
-13.27 48.173
-13.265 48.179
-13.262 48.179
-13.262 48.171
-13.258 48.168
-13.255 48.171
-13.252 48.175
-13.251 48.184
-13.247 48.188
-13.25 48.195
-13.25 48.196
-13.256 48.197
-13.261 48.205
-13.269 48.21
-13.275 48.211
-13.276 48.214
-13.272 48.222
-13.266 48.227
-13.266 48.231
-13.268 48.234
-13.273 48.234
-13.274 48.236
-13.274 48.243
-13.268 48.259
-13.262 48.26
-13.246 48.252
-13.235 48.249
-13.234 48.249
-13.229 48.249
-13.22 48.244
-13.216 48.244
-13.212 48.25
-13.201 48.257
segment Madagascar
-13.291 48.152
-13.293 48.163
-13.289 48.17
-13.289 48.173
-13.293 48.174
-13.3 48.172
-13.305 48.169
-13.315 48.157
-13.319 48.146
-13.315 48.145
-13.301 48.144
-13.293 48.149
-13.291 48.152
segment Madagascar
-13.373 48.508
-13.373 48.503
-13.367 48.5
-13.365 48.493
-13.361 48.487
-13.346 48.474
-13.33 48.47
-13.319 48.463
-13.319 48.458
-13.31 48.455
-13.305 48.455
-13.303 48.459
-13.301 48.466
-13.3 48.468
-13.301 48.483
-13.308 48.486
-13.315 48.496
-13.319 48.494
-13.326 48.495
-13.327 48.49
-13.334 48.482
-13.342 48.482
-13.355 48.494
-13.354 48.501
-13.362 48.516
-13.365 48.514
-13.366 48.51
-13.373 48.508
segment Madagascar
