segment Namibia
-17.889 19.704
-17.889 19.709
-17.887 19.712
-17.885 19.711
-17.882 19.705
-17.879 19.705
-17.877 19.707
-17.881 19.713
-17.882 19.721
-17.884 19.724
-17.894 19.728
-17.897 19.734
-17.905 19.736
-17.911 19.743
-17.914 19.749
-17.914 19.757
-17.911 19.764
-17.907 19.768
-17.894 19.772
-17.893 19.778
-17.891 19.781
-17.891 19.782
-17.881 19.791
-17.877 19.797
-17.875 19.816
-17.876 19.825
-17.885 19.85
-17.885 19.875
-17.882 19.891
-17.874 19.902
-17.866 19.913
-17.866 19.92
-17.879 19.956
-17.893 19.968
-17.893 19.971
-17.89 19.998
-17.892 20
-17.902 20.016
-17.904 20.027
-17.901 20.039
-17.891 20.06
-17.895 20.084
-17.905 20.096
-17.908 20.099
-17.912 20.108
-17.912 20.114
-17.908 20.122
-17.906 20.129
-17.904 20.133
-17.891 20.153
-17.889 20.165
-17.882 20.17
-17.883 20.183
-17.887 20.192
-17.886 20.202
-17.891 20.216
-17.891 20.222
-17.889 20.227
-17.889 20.233
-17.896 20.241
-17.893 20.248
-17.891 20.25
-17.889 20.252
-17.883 20.253
-17.88 20.257
-17.873 20.26
-17.87 20.268
-17.87 20.277
-17.879 20.288
-17.88 20.291
-17.879 20.294
-17.869 20.301
-17.866 20.309
-17.865 20.317
-17.868 20.327
-17.874 20.335
-17.887 20.35
-17.888 20.352
-17.899 20.37
-17.899 20.373
-17.897 20.377
-17.897 20.39
-17.901 20.394
-17.901 20.402
-17.906 20.41
-17.909 20.417
-17.91 20.44
-17.917 20.453
-17.922 20.458
-17.935 20.463
-17.936 20.463
-17.948 20.472
-17.949 20.482
-17.953 20.493
-17.959 20.504
-17.968 20.514
-17.979 20.535
-17.983 20.548
-17.982 20.567
-17.983 20.581
-17.976 20.593
-17.978 20.596
-17.975 20.605
-17.983 20.611
-17.985 20.615
-17.978 20.617
-17.977 20.62
-17.982 20.634
-17.978 20.646
-17.985 20.658
-17.989 20.671
-17.993 20.679
-18.005 20.687
-18.007 20.688
-18.017 20.706
-18.017 20.71
-18.013 20.715
-18.016 20.723
-18.014 20.73
-18.007 20.743
-18.008 20.751
-18.01 20.753
-18.02 20.752
-18.024 20.754
-18.025 20.761
-18.022 20.769
-18.029 20.783
-18.028 20.79
-18.03 20.796
-18.041 20.812
-18.042 20.818
-18.042 20.838
-18.039 20.847
-18.037 20.859
-18.034 20.868
-18.027 20.869
-18.022 20.865
-18.015 20.87
-18.009 20.871
-18.006 20.878
-18.006 20.889
-18.006 20.891
-17.994 20.894
-17.994 20.898
-17.986 20.929
-17.978 20.936
-17.967 20.944
-17.955 20.981
-17.961 21
-17.956 21.034
-17.955 21.037
-17.956 21.051
-17.954 21.059
-17.947 21.067
-17.947 21.072
-17.951 21.102
-17.95 21.107
-17.939 21.116
-17.938 21.118
-17.938 21.123
-17.941 21.132
-17.942 21.138
-17.939 21.143
-17.938 21.151
-17.935 21.157
-17.935 21.165
-17.938 21.178
-17.936 21.185
-17.933 21.204
-17.932 21.22
-17.939 21.23
-17.948 21.237
-17.955 21.242
-17.961 21.258
-17.967 21.269
-17.968 21.276
-17.966 21.279
-17.967 21.285
-17.975 21.297
-17.976 21.309
-17.978 21.311
-17.985 21.322
-17.986 21.339
-17.986 21.357
-17.99 21.367
-17.998 21.376
-18.005 21.378
-18.009 21.382
-18.01 21.407
-18.014 21.417
-18.024 21.427
-18.024 21.442
-17.739 22.929
-17.639 23.428
-17.619 23.521
-17.482 24.215
-17.478 24.237
-17.478 24.247
-17.485 24.266
-17.488 24.289
-17.494 24.315
-17.498 24.326
-17.499 24.333
-17.499 24.34
-17.491 24.352
-17.488 24.36
-17.485 24.382
-17.478 24.388
-17.476 24.393
-17.477 24.406
-17.478 24.416
-17.486 24.426
-17.489 24.459
-17.492 24.474
-17.496 24.48
-17.503 24.488
-17.504 24.492
-17.524 24.498
-17.534 24.505
-17.545 24.51
-17.548 24.515
-17.549 24.522
-17.542 24.536
-17.537 24.543
-17.543 24.56
-17.541 24.582
-17.543 24.602
-17.54 24.608
-17.531 24.618
-17.521 24.632
-17.52 24.655
-17.515 24.665
-17.508 24.683
-17.508 24.69
-17.507 24.692
-17.5 24.713
-17.5 24.721
-17.508 24.732
-17.509 24.74
-17.512 24.745
-17.521 24.75
-17.523 24.753
-17.522 24.759
-17.519 24.765
-17.517 24.77
-17.518 24.775
-17.519 24.778
-17.529 24.783
-17.534 24.789
-17.537 24.805
-17.537 24.812
-17.529 24.821
-17.526 24.826
-17.527 24.834
-17.534 24.849
-17.536 24.866
-17.533 24.88
-17.535 24.883
-17.545 24.888
-17.551 24.895
-17.556 24.905
-17.559 24.914
-17.559 24.919
-17.556 24.926
-17.549 24.931
-17.548 24.935
-17.551 24.939
-17.567 24.945
-17.57 24.95
-17.57 24.959
-17.561 24.966
-17.558 24.971
-17.567 24.982
-17.596 25
-17.599 25.004
-17.592 25.018
-17.591 25.036
-17.599 25.044
-17.617 25.041
-17.622 25.044
-17.624 25.049
-17.618 25.056
-17.619 25.059
-17.627 25.065
-17.634 25.068
-17.64 25.072
-17.64 25.075
-17.66 25.086
-17.66 25.091
-17.654 25.094
-17.652 25.099
-17.658 25.104
-17.67 25.101
-17.671 25.102
-17.677 25.105
-17.69 25.103
-17.704 25.096
-17.707 25.099
-17.705 25.112
-17.696 25.122
-17.696 25.128
-17.7 25.132
-17.709 25.127
-17.712 25.128
-17.712 25.133
-17.708 25.14
-17.709 25.146
-17.713 25.154
-17.717 25.158
-17.721 25.158
-17.726 25.158
-17.735 25.156
-17.741 25.159
-17.751 25.172
-17.767 25.183
-17.773 25.193
-17.774 25.203
-17.77 25.21
-17.771 25.216
-17.771 25.227
-17.788 25.257
-17.792 25.254
-17.793 25.243
-17.791 25.215
-17.781 25.163
-17.782 25.158
-17.785 25.154
-17.805 25.147
-17.811 25.142
-17.812 25.139
-17.812 25.136
-17.807 25.132
-17.808 25.126
-17.812 25.122
-17.814 25.122
-17.823 25.12
-17.829 25.113
-17.836 25.099
-17.844 25.069
-17.838 25.061
-17.836 25.052
-17.832 25.05
-17.83 25.051
-17.829 25.059
-17.825 25.062
-17.82 25.06
-17.812 25.05
-17.811 25.045
-17.813 25.043
-17.826 25.029
-17.837 25.01
-17.837 25.004
-17.834 25.001
-17.825 25.009
-17.82 25.009
-17.818 25.006
-17.818 25.002
-17.82 25
-17.83 24.991
-17.831 24.988
-17.826 24.979
-17.823 24.977
-17.817 24.98
-17.814 24.977
-17.812 24.969
-17.81 24.968
-17.807 24.966
-17.804 24.966
-17.799 24.979
-17.794 24.982
-17.792 24.981
-17.79 24.977
-17.79 24.97
-17.793 24.961
-17.797 24.954
-17.81 24.948
-17.814 24.937
-17.813 24.912
-17.821 24.908
-17.828 24.902
-17.832 24.896
-17.835 24.881
-17.845 24.873
-17.841 24.861
-17.841 24.856
-17.845 24.848
-17.846 24.839
-17.852 24.832
-17.856 24.82
-17.856 24.813
-17.857 24.807
-17.861 24.805
-17.867 24.808
-17.871 24.806
-17.872 24.8
-17.877 24.796
-17.877 24.792
-17.873 24.79
-17.878 24.785
-17.877 24.78
-17.874 24.776
-17.875 24.771
-17.876 24.769
-17.879 24.771
-17.883 24.777
-17.885 24.777
-17.886 24.771
