segment Mozam
-25.866 32.721
-25.86 32.716
-25.846 32.713
-25.838 32.715
-25.826 32.728
-25.827 32.73
-25.833 32.732
-25.859 32.727
-25.863 32.725
-25.866 32.721
segment Mozam
-25.938 32.689
-25.935 32.685
-25.925 32.69
-25.921 32.696
-25.914 32.701
-25.91 32.706
-25.91 32.71
-25.937 32.693
-25.938 32.689
segment Mozam
-26.074 32.955
-26.071 32.954
-26.058 32.956
-26.051 32.949
-26.05 32.949
-26.034 32.944
-26.028 32.939
-26.026 32.934
-26.024 32.924
-26.019 32.922
-26.018 32.919
-26.029 32.914
-26.034 32.917
-26.033 32.923
-26.036 32.925
-26.041 32.927
-26.047 32.925
-26.052 32.92
-26.056 32.908
-26.055 32.904
-26.052 32.903
-26.04 32.906
-26.036 32.906
-26.024 32.906
-26.015 32.909
-25.998 32.923
-25.988 32.94
-25.987 32.945
-26.001 32.954
-26 32.958
-25.995 32.961
-25.987 32.972
-25.971 32.979
-25.969 32.981
-25.969 32.983
-25.969 32.995
-25.971 32.997
-26.008 32.975
-26.056 32.968
-26.065 32.965
-26.072 32.961
-26.074 32.955
segment Mozam
-25.97 32.909
-25.969 32.918
-25.97 32.924
-25.978 32.917
-25.979 32.913
-25.97 32.909
segment Mozam
-20.513 34.648
-20.515 34.646
-20.517 34.642
-20.516 34.635
-20.513 34.633
-20.505 34.632
-20.485 34.636
-20.485 34.638
-20.5 34.647
-20.513 34.648
segment Mozam
-20.522 34.733
-20.528 34.74
-20.532 34.742
-20.537 34.74
-20.551 34.727
-20.55 34.723
-20.542 34.716
-20.539 34.708
-20.533 34.702
-20.528 34.7
-20.524 34.703
-20.521 34.706
-20.518 34.722
-20.522 34.733
segment Mozam
-19.689 34.658
-19.687 34.652
-19.681 34.646
-19.675 34.644
-19.667 34.646
-19.668 34.651
-19.684 34.665
-19.687 34.664
-19.689 34.658
segment Mozam
-19.733 34.684
-19.727 34.679
-19.72 34.676
-19.715 34.676
-19.713 34.678
-19.719 34.683
-19.727 34.685
-19.732 34.685
-19.733 34.684
segment Mozam
-19.736 34.676
-19.734 34.672
-19.728 34.668
-19.719 34.665
-19.715 34.665
-19.714 34.669
-19.722 34.671
-19.734 34.677
-19.736 34.676
segment Mozam
-19.747 34.765
-19.736 34.745
-19.733 34.738
-19.731 34.712
-19.728 34.709
-19.726 34.711
-19.728 34.729
-19.727 34.742
-19.731 34.752
-19.735 34.757
-19.745 34.767
-19.747 34.765
segment Mozam
-19.741 34.685
-19.751 34.705
-19.753 34.704
-19.754 34.7
-19.752 34.694
-19.741 34.685
segment Mozam
-19.801 34.776
-19.778 34.763
-19.768 34.753
-19.762 34.751
-19.759 34.752
-19.759 34.755
-19.775 34.767
-19.786 34.77
-19.798 34.776
-19.801 34.776
segment Mozam
-19.797 34.814
-19.795 34.809
-19.776 34.793
-19.774 34.795
-19.774 34.799
-19.787 34.812
-19.794 34.816
-19.797 34.814
segment Mozam
-19.875 34.753
-19.871 34.759
-19.87 34.763
-19.875 34.766
-19.879 34.766
-19.883 34.763
-19.881 34.755
-19.88 34.752
-19.875 34.753
segment Mozam
-21.796 35.452
-21.791 35.447
-21.769 35.435
-21.749 35.437
-21.723 35.431
-21.717 35.432
-21.711 35.441
-21.705 35.444
-21.7 35.444
-21.697 35.445
-21.662 35.435
-21.656 35.435
-21.641 35.452
-21.63 35.46
-21.621 35.464
-21.609 35.465
-21.585 35.463
-21.563 35.46
-21.55 35.469
-21.535 35.473
-21.524 35.482
-21.519 35.477
-21.516 35.479
-21.515 35.482
-21.518 35.486
-21.534 35.496
-21.54 35.497
-21.551 35.496
-21.558 35.496
-21.575 35.498
-21.589 35.494
-21.629 35.489
-21.635 35.493
-21.654 35.496
-21.67 35.49
-21.681 35.488
-21.694 35.485
-21.707 35.48
-21.748 35.46
-21.756 35.458
-21.779 35.462
-21.791 35.461
-21.795 35.457
-21.796 35.452
segment Mozam
-21.624 35.335
-21.621 35.333
-21.616 35.334
