segment Swaziland
-26.835 32.134
-26.832 32.128
-26.83 32.119
-26.821 32.112
-26.814 32.112
-26.811 32.109
-26.807 32.1
-26.811 32.082
-26.812 32.071
-26.814 32.066
-26.815 32.054
-26.811 32.04
-26.811 32.014
-26.825 32.01
-26.833 32.011
-26.852 32.007
-26.894 32.002
-26.914 32.001
-26.926 31.998
-26.97 31.992
-26.975 31.99
-26.985 31.99
-27.024 31.986
-27.061 31.983
-27.07 31.984
-27.113 31.981
-27.134 31.982
-27.164 31.98
-27.182 31.98
-27.219 31.979
-27.258 31.977
-27.286 31.977
-27.303 31.975
-27.317 31.975
-27.316 31.898
-27.317 31.828
-27.316 31.785
-27.317 31.777
-27.316 31.704
-27.314 31.694
-27.316 31.686
-27.316 31.664
-27.316 31.656
-27.316 31.624
-27.315 31.619
-27.316 31.611
-27.315 31.566
-27.316 31.537
-27.315 31.502
-27.312 31.494
-27.311 31.485
-27.308 31.481
-27.304 31.469
-27.3 31.464
-27.296 31.445
-27.28 31.396
-27.274 31.376
-27.27 31.366
-27.265 31.352
-27.264 31.344
-27.257 31.329
-27.252 31.315
-27.252 31.304
-27.249 31.299
-27.247 31.292
-27.244 31.29
-27.225 31.232
-27.225 31.225
-27.219 31.213
-27.213 31.192
-27.208 31.18
-27.2 31.158
-27.194 31.15
-27.186 31.142
-27.183 31.142
-27.14 31.105
-27.137 31.101
-27.118 31.085
-27.097 31.068
-27.085 31.052
-27.071 31.035
-27.029 30.989
-27.024 30.987
-27.015 30.976
-27.001 30.97
-26.992 30.968
-26.969 30.981
-26.959 30.985
-26.95 30.987
-26.932 30.986
-26.916 30.981
-26.905 30.973
-26.903 30.968
-26.894 30.951
-26.882 30.938
-26.858 30.917
-26.847 30.911
-26.833 30.909
-26.819 30.904
-26.794 30.904
-26.79 30.902
-26.806 30.882
-26.815 30.876
-26.826 30.862
-26.834 30.847
-26.838 30.842
-26.841 30.832
-26.84 30.824
-26.826 30.812
-26.776 30.804
-26.76 30.803
-26.72 30.798
-26.696 30.798
-26.673 30.796
-26.605 30.796
-26.59 30.794
-26.565 30.796
-26.558 30.798
-26.531 30.803
-26.479 30.814
-26.474 30.817
-26.445 30.821
-26.427 30.83
-26.418 30.833
-26.41 30.841
-26.391 30.855
-26.374 30.869
-26.359 30.878
-26.339 30.886
-26.322 30.897
-26.305 30.915
-26.297 30.921
-26.285 30.934
-26.259 30.967
-26.234 30.982
-26.232 30.985
-26.209 30.997
-26.204 30.998
-26.197 31.004
-26.167 31.019
-26.147 31.03
-26.12 31.045
-26.095 31.059
-26.087 31.066
-26.067 31.073
-26.061 31.078
-26.043 31.085
-26.021 31.099
-26.01 31.103
-26.01 31.104
-25.985 31.118
-25.96 31.125
-25.949 31.126
-25.924 31.134
-25.92 31.134
-25.907 31.143
-25.895 31.161
-25.885 31.172
-25.833 31.239
-25.817 31.261
-25.809 31.269
-25.778 31.29
-25.762 31.305
-25.75 31.314
-25.744 31.32
-25.743 31.329
-25.738 31.343
-25.735 31.36
-25.735 31.37
-25.729 31.381
-25.726 31.395
-25.726 31.404
-25.724 31.41
-25.721 31.416
-25.72 31.425
-25.752 31.475
-25.761 31.489
-25.775 31.513
-25.782 31.519
-25.781 31.523
-25.792 31.54
-25.794 31.548
-25.798 31.555
-25.806 31.562
-25.838 31.612
-25.843 31.618
-25.849 31.626
-25.85 31.631
-25.868 31.661
-25.908 31.724
-25.926 31.755
-25.942 31.779
-25.949 31.789
-25.954 31.795
-25.964 31.815
-25.971 31.827
-25.978 31.837
-25.999 31.87
-25.993 31.882
-25.986 31.893
-25.987 31.898
-25.976 31.925
-25.96 31.963
-25.957 31.969
-25.952 31.982
-25.968 31.991
-25.99 32.004
-25.998 32.029
-25.997 32.029
-26.002 32.051
-26.005 32.057
-26.006 32.065
-26.009 32.07
-26.009 32.078
-26.011 32.088
-26.072 32.097
-26.099 32.099
-26.157 32.106
-26.166 32.108
-26.192 32.102
-26.194 32.101
-26.211 32.096
-26.218 32.097
-26.244 32.091
-26.312 32.075
-26.364 32.077
-26.389 32.079
-26.399 32.08
-26.409 32.08
-26.432 32.089
-26.486 32.114
-26.514 32.127
-26.536 32.137
-26.557 32.137
-26.628 32.136
-26.642 32.137
-26.671 32.135
-26.688 32.135
-26.707 32.136
-26.721 32.137
-26.726 32.135
-26.821 32.133
-26.835 32.134
