segment Botswana
-20.713 27.732
-20.727 27.726
-20.752 27.734
-20.758 27.734
-20.764 27.732
-20.772 27.729
-20.781 27.727
-20.795 27.732
-20.803 27.722
-20.821 27.719
-20.834 27.715
-20.849 27.713
-20.856 27.708
-20.865 27.698
-20.88 27.69
-20.885 27.689
-20.904 27.701
-20.907 27.703
-20.913 27.703
-20.931 27.691
-20.936 27.689
-20.942 27.689
-20.948 27.693
-20.959 27.707
-20.968 27.712
-20.982 27.704
-20.988 27.701
-20.998 27.706
-21.002 27.704
-21.012 27.691
-21.015 27.689
-21.032 27.7
-21.04 27.703
-21.048 27.7
-21.058 27.688
-21.062 27.686
-21.066 27.686
-21.079 27.695
-21.088 27.698
-21.1 27.701
-21.107 27.705
-21.113 27.712
-21.119 27.723
-21.124 27.727
-21.134 27.731
-21.143 27.744
-21.152 27.749
-21.155 27.753
-21.159 27.771
-21.162 27.775
-21.17 27.782
-21.173 27.784
-21.178 27.791
-21.182 27.813
-21.2 27.815
-21.214 27.828
-21.244 27.853
-21.271 27.866
-21.286 27.881
-21.29 27.882
-21.303 27.901
-21.311 27.904
-21.312 27.904
-21.32 27.913
-21.338 27.918
-21.355 27.916
-21.363 27.917
-21.38 27.935
-21.405 27.949
-21.414 27.958
-21.419 27.96
-21.424 27.959
-21.43 27.954
-21.434 27.956
-21.443 27.968
-21.449 27.973
-21.456 27.975
-21.461 27.974
-21.464 27.971
-21.466 27.964
-21.469 27.959
-21.474 27.958
-21.479 27.961
-21.482 27.965
-21.482 27.977
-21.486 27.982
-21.49 27.985
-21.494 27.983
-21.506 27.97
-21.514 27.967
-21.524 27.976
-21.525 27.983
-21.52 27.996
-21.521 28
-21.525 28
-21.529 27.994
-21.534 27.993
-21.549 28.001
-21.562 28.01
-21.573 28.016
-21.58 28.024
-21.582 28.03
-21.58 28.05
-21.582 28.068
-21.588 28.078
-21.586 28.11
-21.589 28.119
-21.591 28.129
-21.594 28.138
-21.597 28.146
-21.599 28.162
-21.602 28.177
-21.611 28.2
-21.61 28.213
-21.603 28.226
-21.602 28.258
-21.598 28.265
-21.598 28.267
-21.598 28.277
-21.603 28.328
-21.606 28.336
-21.613 28.348
-21.614 28.355
-21.609 28.361
-21.607 28.367
-21.625 28.391
-21.635 28.405
-21.639 28.428
-21.643 28.451
-21.651 28.457
-21.652 28.466
-21.659 28.479
-21.667 28.49
-21.668 28.498
-21.665 28.515
-21.659 28.528
-21.646 28.541
-21.644 28.546
-21.646 28.554
-21.645 28.559
-21.64 28.564
-21.632 28.567
-21.63 28.571
-21.631 28.581
-21.634 28.589
-21.646 28.603
-21.648 28.619
-21.648 28.62
-21.654 28.632
