segment Zimbabwe
-15.637 30.272
-15.639 30.273
-15.646 30.287
-15.645 30.318
-15.647 30.337
-15.65 30.344
-15.65 30.359
-15.647 30.366
-15.637 30.39
-15.623 30.413
-15.618 30.418
-15.621 30.422
-15.628 30.425
-15.684 30.426
-15.703 30.425
-15.718 30.425
-15.731 30.423
-15.747 30.425
-15.829 30.424
-15.903 30.424
-15.917 30.422
-15.929 30.424
-15.955 30.424
-15.981 30.423
-16 30.425
-16 30.5
-16 30.6
-16 30.7
-16 30.8
-16 30.9
-16 30.913
-16 30.922
-16.011 30.942
-16.016 30.95
-16.028 30.955
-16.039 30.957
-16.049 30.966
-16.059 30.982
-16.057 30.998
-16.049 31.011
-16.045 31.02
-16.028 31.029
-16.019 31.031
-16.013 31.054
-16.008 31.061
-16 31.064
-16.007 31.07
-16.016 31.072
-16.008 31.087
-16 31.103
-15.996 31.102
-15.982 31.14
-15.989 31.151
-15.99 31.178
-16 31.185
-16.001 31.186
-16.004 31.19
-16.005 31.202
-16.008 31.215
-16.002 31.235
-16.002 31.237
-16 31.245
-16.001 31.247
-16.008 31.247
-16.01 31.25
-16.01 31.268
-16.02 31.283
-16.025 31.301
-16.027 31.307
-16.037 31.317
-16.048 31.334
-16.053 31.339
-16.069 31.342
-16.08 31.349
-16.091 31.364
-16.103 31.373
-16.116 31.387
-16.127 31.394
-16.137 31.405
-16.132 31.421
-16.135 31.427
-16.141 31.431
-16.151 31.428
-16.156 31.431
-16.154 31.446
-16.153 31.446
-16.154 31.456
-16.159 31.466
-16.157 31.481
-16.171 31.499
-16.177 31.52
-16.184 31.545
-16.191 31.588
-16.19 31.61
-16.19 31.618
-16.197 31.635
-16.198 31.656
-16.202 31.692
-16.207 31.703
-16.228 31.733
-16.231 31.743
-16.237 31.758
-16.237 31.771
-16.256 31.786
-16.258 31.791
-16.258 31.798
-16.268 31.801
-16.27 31.803
-16.272 31.809
-16.277 31.816
-16.282 31.818
-16.295 31.815
-16.294 31.825
-16.299 31.83
-16.308 31.831
-16.313 31.836
-16.308 31.84
-16.31 31.848
-16.318 31.852
-16.319 31.858
-16.324 31.863
-16.326 31.873
-16.333 31.883
-16.332 31.883
-16.336 31.894
-16.348 31.902
-16.368 31.906
-16.373 31.911
-16.381 31.909
-16.387 31.91
-16.398 31.907
-16.413 31.913
-16.423 31.957
-16.429 31.979
-16.433 32.001
-16.437 32.012
-16.439 32.027
-16.442 32.038
-16.442 32.044
-16.439 32.114
-16.438 32.146
-16.437 32.185
-16.435 32.232
-16.434 32.274
-16.435 32.285
-16.44 32.307
-16.445 32.322
-16.448 32.336
-16.449 32.344
-16.452 32.348
-16.47 32.412
-16.481 32.441
-16.486 32.455
-16.496 32.476
-16.499 32.488
-16.537 32.576
-16.543 32.589
-16.547 32.596
-16.559 32.625
-16.592 32.691
-16.6 32.709
-16.603 32.712
-16.605 32.712
-16.632 32.71
-16.641 32.71
-16.651 32.707
-16.669 32.704
