segment Gambia
13.117 -16.738
13.114 -16.742
13.112 -16.744
13.11 -16.745
13.107 -16.745
13.095 -16.74
13.076 -16.743
13.07 -16.746
13.066 -16.751
13.064 -16.756
13.069 -16.762
13.075 -16.778
13.078 -16.782
13.088 -16.786
13.097 -16.785
13.117 -16.779
13.123 -16.779
13.126 -16.78
13.139 -16.785
13.151 -16.795
13.163 -16.798
13.179 -16.795
13.191 -16.796
13.23 -16.794
13.244 -16.796
13.248 -16.797
13.254 -16.799
13.261 -16.804
13.271 -16.816
13.278 -16.818
13.285 -16.818
13.306 -16.814
13.313 -16.814
13.33 -16.824
13.334 -16.825
13.338 -16.823
13.342 -16.815
13.346 -16.812
13.357 -16.812
13.362 -16.813
13.37 -16.81
13.377 -16.803
13.397 -16.766
13.408 -16.755
13.419 -16.747
13.438 -16.74
13.443 -16.737
13.452 -16.733
13.458 -16.726
13.472 -16.705
13.486 -16.69
13.489 -16.685
13.489 -16.68
13.486 -16.675
13.476 -16.671
13.471 -16.667
13.468 -16.662
13.472 -16.638
13.472 -16.625
13.459 -16.586
13.455 -16.58
13.443 -16.575
13.437 -16.577
13.434 -16.581
13.434 -16.586
13.435 -16.59
13.44 -16.595
13.438 -16.603
13.432 -16.61
13.427 -16.613
13.405 -16.607
13.399 -16.605
13.394 -16.603
13.381 -16.595
13.349 -16.582
13.339 -16.585
13.332 -16.582
13.329 -16.577
13.322 -16.575
13.316 -16.573
13.307 -16.567
13.297 -16.556
13.292 -16.546
13.29 -16.538
13.29 -16.52
13.287 -16.506
13.285 -16.497
13.283 -16.485
13.279 -16.47
13.276 -16.467
13.273 -16.465
13.269 -16.455
13.277 -16.388
13.273 -16.384
13.271 -16.384
13.269 -16.366
13.288 -16.341
13.289 -16.335
13.288 -16.329
13.284 -16.325
13.285 -16.322
13.293 -16.316
13.298 -16.306
13.315 -16.255
13.318 -16.239
13.326 -16.232
13.331 -16.23
13.359 -16.227
13.364 -16.225
13.39 -16.186
13.408 -16.167
13.425 -16.157
13.427 -16.154
13.426 -16.148
13.419 -16.135
13.409 -16.105
13.405 -16.078
13.404 -16.072
13.406 -16.063
13.418 -16.04
13.418 -16.028
13.414 -15.999
13.413 -15.995
13.414 -15.983
13.418 -15.973
13.418 -15.966
13.42 -15.938
13.422 -15.896
13.424 -15.888
13.44 -15.874
13.443 -15.869
13.443 -15.861
13.442 -15.852
13.44 -15.846
13.435 -15.834
13.434 -15.822
13.434 -15.816
13.435 -15.79
13.442 -15.749
13.452 -15.72
13.455 -15.712
13.459 -15.706
13.46 -15.705
13.471 -15.697
13.476 -15.691
13.479 -15.683
13.476 -15.673
13.447 -15.642
13.445 -15.638
13.442 -15.631
13.443 -15.628
13.442 -15.624
13.445 -15.615
13.446 -15.611
13.457 -15.596
13.467 -15.59
13.471 -15.59
13.475 -15.586
13.491 -15.586
13.501 -15.598
13.482 -15.612
13.476 -15.62
13.476 -15.629
13.479 -15.635
13.501 -15.66
13.503 -15.667
13.503 -15.679
13.502 -15.687
13.497 -15.697
13.467 -15.753
13.461 -15.764
13.456 -15.784
13.455 -15.816
13.463 -15.863
13.454 -15.902
13.453 -15.918
13.454 -15.919
13.452 -15.921
13.452 -15.93
13.45 -15.949
13.446 -15.962
13.44 -16.016
13.439 -16.074
13.437 -16.082
13.437 -16.091
13.436 -16.1
13.439 -16.108
13.445 -16.115
13.448 -16.12
13.449 -16.133
13.452 -16.153
13.45 -16.156
13.443 -16.165
13.437 -16.177
13.432 -16.195
13.427 -16.203
13.424 -16.199
13.422 -16.199
13.411 -16.22
13.408 -16.223
13.404 -16.226
13.398 -16.236
13.389 -16.241
13.357 -16.282
13.348 -16.301
13.345 -16.305
13.342 -16.311
13.335 -16.319
13.336 -16.325
13.341 -16.332
13.342 -16.339
13.341 -16.346
13.33 -16.386
13.326 -16.416
13.328 -16.423
13.333 -16.433
13.348 -16.454
13.352 -16.464
13.353 -16.466
13.355 -16.48
13.353 -16.513
13.358 -16.517
13.365 -16.515
13.384 -16.501
13.398 -16.495
13.427 -16.495
13.438 -16.497
13.457 -16.507
13.463 -16.514
13.466 -16.522
13.477 -16.552
13.482 -16.559
13.488 -16.56
13.498 -16.556
13.521 -16.544
13.533 -16.542
13.551 -16.541
13.559 -16.543
13.567 -16.546
13.575 -16.555
13.582 -16.558
13.589 -16.56
13.589 -16.522
13.589 -16.453
13.59 -16.444
13.588 -16.437
13.588 -16.393
13.588 -16.339
13.587 -16.335
13.588 -16.317
13.588 -16.264
13.589 -16.137
13.588 -16.135
13.587 -16.132
13.588 -16.05
13.587 -16.05
13.587 -16.03
13.587 -16.007
13.587 -15.997
13.588 -15.99
13.587 -15.974
13.587 -15.899
13.586 -15.878
13.585 -15.832
13.586 -15.749
13.587 -15.619
13.587 -15.583
13.586 -15.55
13.587 -15.534
13.586 -15.516
13.588 -15.51
13.587 -15.49
13.587 -15.481
13.611 -15.48
13.642 -15.472
13.681 -15.458
13.695 -15.449
13.698 -15.447
13.71 -15.438
13.735 -15.414
13.758 -15.381
13.762 -15.369
13.77 -15.355
13.772 -15.345
13.777 -15.323
13.777 -15.307
13.773 -15.284
13.752 -15.243
13.752 -15.236
13.754 -15.222
13.768 -15.188
13.779 -15.167
13.795 -15.143
13.813 -15.108
13.821 -15.094
13.826 -15.08
13.827 -15.071
13.822 -15.05
13.808 -15.019
13.808 -15.014
13.803 -15
13.799 -14.987
13.796 -14.981
13.796 -14.973
13.801 -14.947
13.798 -14.922
13.798 -14.911
13.793 -14.893
13.779 -14.863
13.767 -14.84
13.76 -14.832
13.748 -14.817
13.739 -14.809
13.721 -14.8
13.694 -14.793
13.667 -14.791
13.662 -14.789
13.65 -14.779
13.646 -14.775
13.635 -14.76
13.623 -14.739
13.614 -14.719
13.613 -14.709
13.616 -14.7
13.631 -14.679
13.637 -14.668
13.64 -14.663
13.647 -14.644
13.654 -14.616
13.653 -14.616
13.654 -14.6
13.655 -14.6
13.654 -14.581
13.651 -14.566
13.641 -14.546
13.635 -14.533
13.621 -14.514
13.608 -14.5
13.596 -14.491
13.544 -14.471
13.529 -14.46
13.517 -14.447
13.503 -14.427
13.482 -14.391
13.476 -14.383
13.47 -14.369
13.461 -14.348
13.457 -14.333
13.457 -14.314
13.476 -14.247
13.477 -14.245
13.483 -14.233
