segment Djibouti
11.491 42.69
11.501 42.688
11.505 42.682
11.507 42.669
11.51 42.665
11.513 42.667
11.519 42.66
11.523 42.66
11.528 42.664
11.529 42.673
11.538 42.683
11.542 42.685
11.541 42.689
11.539 42.692
11.538 42.697
11.546 42.711
11.547 42.719
11.549 42.721
11.553 42.729
11.556 42.745
11.562 42.752
11.561 42.773
11.566 42.786
11.569 42.79
11.577 42.794
11.584 42.804
11.584 42.809
11.582 42.813
11.583 42.821
11.582 42.825
11.583 42.829
11.587 42.834
11.587 42.836
11.583 42.841
11.583 42.848
11.585 42.851
11.592 42.849
11.594 42.85
11.593 42.853
11.589 42.856
11.588 42.859
11.584 42.861
11.587 42.865
11.587 42.867
11.582 42.869
11.581 42.872
11.583 42.878
11.582 42.887
11.587 42.905
11.588 42.912
11.587 42.92
11.59 42.929
11.591 42.936
11.593 42.959
11.591 42.964
11.586 42.969
11.59 42.976
11.586 42.991
11.591 43
11.595 43.007
11.595 43.013
11.598 43.033
11.596 43.042
11.591 43.05
11.59 43.055
11.592 43.059
11.599 43.064
11.599 43.072
11.594 43.086
11.59 43.094
11.581 43.099
11.581 43.105
11.586 43.118
11.591 43.134
11.598 43.147
11.601 43.149
11.602 43.149
11.605 43.149
11.607 43.146
11.607 43.134
11.61 43.133
11.612 43.136
11.613 43.137
11.616 43.147
11.612 43.154
11.609 43.158
11.604 43.159
11.598 43.156
11.593 43.157
11.582 43.163
11.572 43.173
11.541 43.184
11.535 43.186
11.52 43.198
11.518 43.201
11.518 43.215
11.505 43.233
11.5 43.237
11.484 43.241
11.473 43.249
11.47 43.255
11.055 43
11.043 42.997
11.022 42.986
10.984 42.962
10.985 42.952
10.978 42.911
10.978 42.868
10.977 42.858
10.975 42.853
10.976 42.841
10.978 42.835
10.98 42.829
10.986 42.796
10.988 42.791
10.995 42.789
11.017 42.788
11.029 42.785
11.064 42.765
11.071 42.757
11.072 42.746
11.065 42.736
11.061 42.728
11.059 42.718
11.06 42.711
11.053 42.698
11.054 42.693
11.063 42.683
11.071 42.678
11.071 42.663
11.077 42.656
11.078 42.656
11.08 42.654
11.088 42.641
11.089 42.632
11.085 42.625
11.07 42.611
11.063 42.599
11.064 42.592
11.051 42.56
11.047 42.544
11.038 42.512
11.033 42.499
11.001 42.459
10.996 42.449
10.986 42.435
10.98 42.424
10.983 42.405
10.989 42.395
10.996 42.373
10.997 42.356
10.997 42.35
10.991 42.338
10.989 42.325
10.99 42.313
10.991 42.309
10.985 42.289
10.969 42.271
10.966 42.233
10.96 42.207
10.964 42.2
10.97 42.197
10.974 42.196
10.977 42.189
10.977 42.176
10.974 42.163
10.976 42.155
10.977 42.143
10.971 42.127
10.968 42.122
10.966 42.113
10.959 42.099
10.958 42.081
10.956 42.079
10.951 42.076
10.927 42.07
10.923 42.067
10.924 42.031
10.922 42.027
10.921 42.017
10.916 42.003
10.92 41.992
10.926 41.982
10.927 41.979
10.928 41.975
10.917 41.968
10.911 41.958
10.91 41.949
10.913 41.945
10.928 41.94
10.935 41.943
10.939 41.942
10.942 41.927
10.943 41.901
10.947 41.886
10.959 41.841
10.959 41.816
10.962 41.811
10.968 41.811
10.969 41.798
10.973 41.791
10.982 41.789
10.988 41.79
10.996 41.793
10.999 41.797
11.009 41.8
11.063 41.804
11.1 41.802
11.12 41.803
11.204 41.809
11.246 41.81
11.248 41.81
11.261 41.809
11.318 41.808
11.362 41.802
11.372 41.8
11.397 41.795
11.473 41.775
11.487 41.773
11.495 41.775
11.505 41.776
11.532 41.784
11.544 41.791
11.553 41.791
11.596 41.804
11.617 41.807
11.62 41.807
11.63 41.805
11.691 41.826
11.707 41.829
11.728 41.837
11.733 41.845
11.734 41.847
11.748 41.877
11.75 41.887
11.755 41.892
11.782 41.897
11.787 41.901
11.803 41.935
11.805 41.938
11.82 41.961
11.834 41.978
11.866 42
11.879 42.004
11.892 42.013
11.9 42.018
11.912 42.024
11.934 42.041
11.976 42.067
12.002 42.093
12.005 42.096
12.034 42.113
12.039 42.118
12.068 42.134
12.073 42.14
12.073 42.149
12.077 42.152
12.095 42.156
12.104 42.159
12.114 42.163
12.128 42.17
12.143 42.185
12.177 42.206
12.209 42.223
12.211 42.225
12.234 42.24
12.255 42.258
12.292 42.304
12.295 42.309
12.301 42.314
12.305 42.317
12.343 42.33
12.352 42.33
12.372 42.337
12.413 42.367
12.422 42.374
12.433 42.385
12.439 42.386
12.45 42.394
12.51 42.449
12.517 42.455
12.524 42.464
12.525 42.475
12.523 42.483
12.517 42.491
12.501 42.53
12.498 42.535
12.492 42.54
12.49 42.548
12.481 42.56
12.476 42.567
12.452 42.591
12.443 42.604
12.436 42.61
12.433 42.61
12.415 42.632
12.403 42.642
12.396 42.652
12.39 42.66
12.387 42.665
12.377 42.67
12.362 42.688
12.36 42.696
12.371 42.7
12.384 42.72
12.385 42.739
12.392 42.748
12.395 42.749
12.408 42.757
12.415 42.77
12.417 42.792
12.426 42.811
12.433 42.818
12.443 42.822
12.454 42.822
12.456 42.819
12.468 42.813
12.47 42.809
12.474 42.8
12.478 42.797
12.503 42.796
12.511 42.805
12.525 42.816
12.534 42.819
12.537 42.823
12.538 42.837
12.541 42.841
12.55 42.846
12.549 42.856
12.55 42.858
12.574 42.857
12.582 42.862
12.588 42.861
12.591 42.872
12.596 42.874
12.6 42.873
12.608 42.87
12.624 42.888
12.624 42.894
12.617 42.908
12.617 42.919
12.618 42.92
12.654 42.986
12.652 42.997
12.658 43
12.662 43.01
12.705 43.114
12.707 43.135
