segment Senegal
14.662 -17.47
14.659 -17.469
14.655 -17.466
14.651 -17.469
14.65 -17.474
14.655 -17.478
14.661 -17.48
14.662 -17.47
segment Senegal
13.914 -16.758
13.915 -16.761
13.918 -16.762
13.925 -16.762
13.927 -16.758
13.921 -16.756
13.914 -16.758
segment Senegal
13.813 -16.651
13.821 -16.635
13.827 -16.619
13.828 -16.611
13.827 -16.607
13.824 -16.605
13.819 -16.605
13.814 -16.608
13.806 -16.618
13.775 -16.666
13.776 -16.667
13.788 -16.658
13.793 -16.657
13.781 -16.671
13.782 -16.673
13.786 -16.674
13.801 -16.665
13.813 -16.651
segment Senegal
13.654 -16.649
13.658 -16.652
13.673 -16.652
13.692 -16.65
13.69 -16.647
13.668 -16.642
13.658 -16.644
13.654 -16.649
segment Senegal
13.636 -16.661
13.641 -16.67
13.653 -16.681
13.66 -16.685
13.663 -16.683
13.663 -16.678
13.648 -16.668
13.643 -16.66
13.638 -16.656
13.636 -16.658
13.636 -16.661
segment Senegal
16.062 -16.506
16.063 -16.502
16.073 -16.494
16.077 -16.485
16.076 -16.475
16.08 -16.472
16.085 -16.465
16.086 -16.459
16.086 -16.456
16.09 -16.453
16.093 -16.451
16.097 -16.451
16.102 -16.443
16.106 -16.441
16.109 -16.443
16.12 -16.455
16.124 -16.455
16.135 -16.45
16.143 -16.45
16.148 -16.453
16.154 -16.451
16.158 -16.45
16.179 -16.451
16.188 -16.447
16.209 -16.436
16.212 -16.432
16.22 -16.414
16.221 -16.408
16.215 -16.4
16.214 -16.392
16.219 -16.384
16.221 -16.383
16.236 -16.371
16.256 -16.363
16.271 -16.351
16.278 -16.353
16.293 -16.365
16.306 -16.368
16.332 -16.357
16.337 -16.353
16.337 -16.343
16.339 -16.341
16.356 -16.332
16.362 -16.331
16.385 -16.334
16.398 -16.332
16.407 -16.324
16.408 -16.315
16.411 -16.311
16.446 -16.308
16.456 -16.306
16.468 -16.3
16.474 -16.288
16.478 -16.285
16.488 -16.284
16.497 -16.285
16.508 -16.283
16.514 -16.278
16.514 -16.276
16.518 -16.275
16.519 -16.271
16.525 -16.263
16.527 -16.251
16.527 -16.241
16.524 -16.233
16.516 -16.219
16.515 -16.211
16.517 -16.189
16.524 -16.179
16.529 -16.172
16.532 -16.169
16.544 -16.16
16.548 -16.154
16.553 -16.139
16.557 -16.116
16.556 -16.112
16.551 -16.103
16.546 -16.099
16.54 -16.097
16.529 -16.099
16.525 -16.098
16.521 -16.097
16.511 -16.08
16.494 -16.061
16.483 -16.055
16.479 -16.051
16.478 -16.045
16.486 -16.028
16.499 -16.013
16.502 -16.003
16.502 -15.999
16.502 -15.993
16.489 -15.97
16.488 -15.956
16.504 -15.935
16.515 -15.912
16.518 -15.897
16.518 -15.886
16.517 -15.877
16.514 -15.866
16.513 -15.863
16.508 -15.86
16.494 -15.858
16.499 -15.845
16.507 -15.832
16.508 -15.823
16.508 -15.808
16.498 -15.788
16.496 -15.777
16.493 -15.761
16.492 -15.742
16.49 -15.73
16.475 -15.706
16.475 -15.701
16.482 -15.694
16.487 -15.655
16.489 -15.646
16.492 -15.636
16.497 -15.629
16.501 -15.628
16.506 -15.629
16.518 -15.634
16.526 -15.632
16.53 -15.626
16.532 -15.599
16.526 -15.584
16.525 -15.584
16.519 -15.573
16.517 -15.562
16.516 -15.55
16.522 -15.531
16.526 -15.521
16.529 -15.516
16.531 -15.515
16.531 -15.514
16.535 -15.511
16.537 -15.511
16.549 -15.52
16.559 -15.522
16.571 -15.516
16.575 -15.508
16.581 -15.489
