segment Zambia
-12.16 29.809
-12.156 29.807
-12.156 29.802
-12.16 29.794
-12.161 29.784
-12.16 29.775
-12.16 29.762
-12.164 29.756
-12.175 29.739
-12.189 29.723
-12.19 29.723
-12.196 29.71
-12.203 29.685
-12.207 29.667
-12.208 29.646
-12.207 29.633
-12.193 29.596
-12.192 29.588
-12.193 29.575
-12.2 29.565
-12.205 29.559
-12.216 29.539
-12.223 29.513
-12.227 29.506
-12.239 29.489
-12.242 29.488
-12.243 29.485
-12.249 29.48
-12.273 29.468
-12.29 29.464
-12.307 29.46
-12.322 29.456
-12.333 29.456
-12.341 29.459
-12.349 29.465
-12.378 29.481
-12.394 29.496
-12.397 29.5
-12.398 29.528
-12.402 29.534
-12.407 29.537
-12.422 29.537
-12.429 29.536
-12.444 29.527
-12.456 29.516
-12.47 29.499
-12.47 29.489
-12.472 29.483
-12.471 29.475
-12.464 29.463
-12.454 29.445
-12.439 29.413
-12.433 29.404
-12.417 29.378
-12.413 29.366
-12.412 29.355
-12.418 29.333
-12.417 29.314
-12.413 29.302
-12.409 29.296
-12.403 29.295
-12.396 29.297
-12.389 29.296
-12.379 29.284
-12.37 29.275
-12.364 29.267
-12.366 29.257
-12.374 29.243
-12.375 29.233
-12.372 29.213
-12.371 29.191
-12.374 29.175
-12.378 29.169
-12.385 29.156
-12.388 29.146
-12.395 29.129
-12.394 29.12
-12.385 29.114
-12.379 29.107
-12.379 29.103
-12.382 29.098
-12.386 29.088
-12.389 29.066
-12.389 29.059
-12.385 29.047
-12.375 29.036
-12.365 29.03
-12.356 29.028
-12.349 29.024
-12.337 29.015
-12.326 29.008
-12.323 29.005
-12.318 29.004
-12.303 29.002
-12.287 28.999
-12.269 28.984
-12.232 28.962
-12.212 28.947
-12.199 28.935
-12.179 28.911
-12.156 28.882
-12.149 28.868
-12.138 28.856
-12.128 28.847
-12.11 28.838
-12.101 28.832
-12.074 28.805
-12.062 28.786
-12.055 28.778
-12.046 28.774
-12.032 28.771
-12.017 28.764
-12.006 28.764
-11.995 28.764
-11.99 28.759
-11.984 28.749
-11.985 28.741
-11.99 28.731
-11.991 28.721
-11.99 28.714
-11.984 28.7
-11.97 28.676
-11.962 28.665
-11.957 28.656
-11.952 28.64
-11.946 28.633
-11.94 28.629
-11.917 28.618
-11.913 28.615
-11.911 28.611
-11.91 28.599
-11.912 28.584
-11.911 28.577
-11.905 28.57
-11.901 28.564
-11.9 28.546
-11.897 28.537
-11.888 28.522
-11.879 28.504
-11.859 28.502
-11.857 28.501
-11.842 28.493
-11.833 28.489
-11.827 28.482
-11.826 28.474
-11.83 28.458
-11.832 28.442
-11.831 28.439
-11.821 28.436
-11.807 28.437
