segment Comoro
-12.247 44.379
-12.235 44.348
-12.234 44.343
-12.235 44.336
-12.236 44.332
-12.236 44.319
-12.205 44.261
-12.199 44.243
-12.19 44.233
-12.184 44.221
-12.179 44.215
-12.173 44.211
-12.169 44.204
-12.166 44.207
-12.163 44.215
-12.166 44.227
-12.168 44.234
-12.178 44.244
-12.184 44.274
-12.18 44.279
-12.181 44.284
-12.191 44.29
-12.192 44.293
-12.193 44.298
-12.194 44.308
-12.191 44.31
-12.191 44.313
-12.187 44.316
-12.188 44.318
-12.191 44.319
-12.191 44.326
-12.184 44.335
-12.185 44.349
-12.18 44.374
-12.167 44.39
-12.155 44.4
-12.155 44.402
-12.156 44.409
-12.154 44.413
-12.149 44.416
-12.127 44.422
-12.12 44.43
-12.117 44.431
-12.113 44.431
-12.107 44.428
-12.1 44.419
-12.094 44.417
-12.089 44.421
-12.078 44.445
-12.07 44.454
segment Comoro
-12.265 43.726
-12.265 43.729
-12.282 43.748
-12.285 43.755
-12.286 43.763
-12.288 43.767
-12.294 43.769
-12.296 43.772
-12.305 43.787
-12.312 43.793
-12.317 43.8
-12.317 43.803
-12.315 43.808
-12.318 43.811
-12.317 43.816
-12.321 43.82
-12.324 43.83
-12.329 43.832
-12.33 43.835
-12.337 43.848
-12.341 43.85
-12.342 43.853
-12.35 43.855
-12.361 43.865
-12.368 43.866
-12.374 43.863
-12.38 43.866
-12.381 43.862
-12.382 43.861
-12.384 43.863
-12.387 43.862
-12.388 43.861
-12.381 43.852
-12.375 43.832
-12.375 43.821
-12.371 43.815
-12.37 43.815
-12.374 43.811
-12.373 43.809
-12.37 43.81
-12.368 43.808
-12.366 43.785
-12.361 43.777
-12.362 43.773
-12.365 43.771
-12.374 43.77
-12.364 43.764
-12.354 43.751
-12.353 43.747
-12.358 43.74
-12.362 43.741
-12.364 43.739
-12.358 43.731
-12.358 43.724
-12.357 43.72
-12.359 43.717
-12.364 43.716
-12.361 43.709
-12.359 43.707
-12.354 43.707
-12.352 43.702
-12.354 43.699
-12.351 43.695
-12.352 43.692
-12.352 43.69
-12.353 43.684
-12.355 43.682
-12.356 43.68
-12.354 43.674
-12.356 43.67
-12.349 43.665
-12.349 43.662
-12.353 43.655
-12.346 43.654
-12.345 43.659
-12.34 43.661
-12.324 43.656
-12.318 43.651
-12.314 43.644
-12.315 43.637
-12.312 43.633
-12.315 43.631
-12.314 43.628
-12.307 43.63
-12.296 43.628
-12.292 43.627
-12.289 43.622
-12.286 43.62
-12.282 43.62
-12.279 43.616
-12.274 43.619
-12.267 43.617
-12.254 43.622
-12.25 43.626
-12.251 43.636
-12.244 43.641
-12.243 43.645
-12.245 43.649
-12.243 43.65
-12.243 43.654
-12.249 43.656
-12.251 43.658
-12.248 43.669
-12.25 43.67
-12.251 43.68
-12.254 43.683
-12.254 43.685
-12.254 43.691
-12.262 43.704
-12.265 43.712
-12.266 43.722
-12.265 43.726
segment Comoro
-12.413 43.702
-12.396 43.699
-12.389 43.696
-12.386 43.698
-12.384 43.702
-12.387 43.705
-12.39 43.703
-12.394 43.702
-12.409 43.705
-12.413 43.702
segment Comoro
-12.397 43.667
-12.411 43.668
-12.414 43.667
-12.407 43.662
-12.399 43.662
-12.395 43.658
-12.39 43.668
-12.392 43.669
-12.397 43.667
segment Comoro
-12.4 43.656
-12.402 43.655
-12.403 43.648
-12.405 43.644
-12.404 43.643
-12.403 43.643
-12.394 43.654
-12.395 43.657
-12.4 43.656
segment Comoro
-12.408 43.714
-12.402 43.711
-12.397 43.71
-12.396 43.711
-12.406 43.716
-12.408 43.714
