segment Libya
32.839 22.444
32.834 22.453
32.822 22.471
32.81 22.491
32.809 22.502
32.805 22.51
32.806 22.526
32.803 22.533
32.802 22.557
32.799 22.564
32.79 22.57
32.785 22.584
32.775 22.603
32.776 22.632
32.776 22.647
32.773 22.652
32.766 22.657
32.759 22.663
32.755 22.674
32.746 22.712
32.731 22.759
32.723 22.794
32.723 22.795
32.722 22.804
32.705 22.849
32.693 22.867
32.692 22.879
32.685 22.892
32.683 22.902
32.679 22.91
32.678 22.917
32.673 22.924
32.673 22.929
32.672 22.935
32.67 22.952
32.664 22.961
32.662 22.966
32.66 22.99
32.654 23.007
32.657 23.02
32.657 23.033
32.65 23.059
32.645 23.065
32.646 23.082
32.642 23.088
32.64 23.099
32.637 23.105
32.636 23.111
32.629 23.121
32.617 23.127
32.609 23.126
32.606 23.125
32.583 23.11
32.583 23.103
32.579 23.1
32.572 23.099
32.543 23.108
32.538 23.107
32.534 23.102
32.531 23.101
32.521 23.108
32.517 23.108
32.499 23.124
32.493 23.13
32.485 23.133
32.484 23.143
32.473 23.149
32.47 23.155
32.462 23.156
32.455 23.16
32.45 23.156
32.448 23.152
32.439 23.15
32.431 23.146
32.429 23.141
32.424 23.14
32.413 23.142
32.399 23.14
32.394 23.136
32.393 23.132
32.394 23.127
32.405 23.116
32.406 23.114
32.409 23.116
32.406 23.128
32.407 23.131
32.409 23.131
32.422 23.116
32.431 23.111
32.434 23.107
32.434 23.1
32.43 23.098
32.424 23.101
32.421 23.1
32.42 23.093
32.418 23.094
32.411 23.102
32.401 23.108
32.396 23.107
32.38 23.098
32.363 23.087
32.356 23.087
32.341 23.092
32.328 23.102
32.322 23.111
32.312 23.147
32.311 23.154
32.313 23.164
32.309 23.17
32.301 23.175
32.296 23.193
32.291 23.2
32.29 23.205
32.283 23.211
32.28 23.21
32.277 23.213
32.276 23.217
32.271 23.223
32.264 23.227
32.256 23.227
32.25 23.229
32.247 23.232
32.228 23.243
32.21 23.26
32.204 23.275
32.207 23.286
32.207 23.293
32.204 23.298
32.188 23.306
32.163 23.324
32.16 23.326
32.159 23.331
32.164 23.333
32.167 23.329
32.177 23.325
32.178 23.324
32.194 23.322
32.206 23.312
32.212 23.31
32.217 23.311
32.219 23.315
32.22 23.32
32.219 23.331
32.212 23.347
32.211 23.353
32.213 23.365
