Scenario	Station	Time Step (sec)	Units	JB Distance (km)	Closest Distance (km)	Vs30	Lon	Lat
1	s0000	0.025	cm/s/s	9.2986	34.062	415	-118.4309	34.0625
1	s0001	0.025	cm/s/s	8.9166	34.078	270	-118.4194	34.0778
1	s0002	0.025	cm/s/s	8.5994	34.093	560	-118.4079	34.093
1	s0003	0.025	cm/s/s	8.2878	34.108	760	-118.3964	34.1083
1	s0004	0.025	cm/s/s	7.9714	34.124	560	-118.3849	34.1235
1	s0005	0.025	cm/s/s	8.3051	34.038	270	-118.424	34.0377
1	s0006	0.025	cm/s/s	7.3949	34.053	415	-118.4125	34.053
1	s0007	0.025	cm/s/s	6.9358	34.068	270	-118.401	34.0682
1	s0008	0.025	cm/s/s	6.6238	34.083	270	-118.3895	34.0835
1	s0009	0.025	cm/s/s	6.3078	34.099	760	-118.378	34.0987
1	s0010	0.025	cm/s/s	5.9949	34.114	760	-118.3665	34.114
1	s0011	0.025	cm/s/s	5.6878	34.129	415	-118.3551	34.1292
1	s0012	0.025	cm/s/s	5.3752	34.145	270	-118.3436	34.1445
1	s0013	0.025	cm/s/s	5.0632	34.16	270	-118.3321	34.1598
1	s0014	0.025	cm/s/s	8.2125	34.013	415	-118.4171	34.013
1	s0015	0.025	cm/s/s	6.7232	34.028	415	-118.4056	34.0282
1	s0016	0.025	cm/s/s	5.5606	34.043	415	-118.3941	34.0435
1	s0017	0.025	cm/s/s	4.9598	34.059	270	-118.3826	34.0587
1	s0018	0.025	cm/s/s	4.6481	34.074	270	-118.3711	34.074
1	s0019	0.025	cm/s/s	4.3309	34.089	270	-118.3596	34.0892
1	s0020	0.025	cm/s/s	4.0272	34.104	760	-118.3482	34.1045
1	s0021	0.025	cm/s/s	3.7112	34.12	415	-118.3367	34.1197
1	s0022	0.025	cm/s/s	3.3992	34.135	415	-118.3252	34.135
1	s0023	0.025	cm/s/s	3.0829	34.15	760	-118.3137	34.1502
1	s0024	0.025	cm/s/s	2.7703	34.166	270	-118.3022	34.1655
1	s0025	0.025	cm/s/s	9.0518	33.988	270	-118.4102	33.9882
1	s0026	0.025	cm/s/s	7.1919	34.003	270	-118.3987	34.0034
1	s0027	0.025	cm/s/s	5.4244	34.019	270	-118.3872	34.0187
1	s0028	0.025	cm/s/s	3.8956	34.034	270	-118.3757	34.0339
1	s0029	0.025	cm/s/s	2.9856	34.049	415	-118.3642	34.0492
1	s0030	0.025	cm/s/s	2.6761	34.064	415	-118.3528	34.0644
1	s0031	0.025	cm/s/s	2.3645	34.08	415	-118.3413	34.0797
1	s0032	0.025	cm/s/s	2.0481	34.095	270	-118.3298	34.0949
1	s0033	0.025	cm/s/s	1.7352	34.11	415	-118.3183	34.1102
1	s0034	0.025	cm/s/s	1.4193	34.125	415	-118.3068	34.1254
1	s0035	0.025	cm/s/s	1.1073	34.141	415	-118.2953	34.1407
1	s0036	0.025	cm/s/s	0.79	34.156	270	-118.2838	34.1559
1	s0037	0.025	cm/s/s	8.6181	33.979	270	-118.3918	33.9786
1	s0038	0.025	cm/s/s	6.6289	33.994	415	-118.3803	33.9939
1	s0039	0.025	cm/s/s	4.6596	34.009	415	-118.3688	34.0091
1	s0040	0.025	cm/s/s	2.7251	34.024	270	-118.3573	34.0244
1	s0041	0.025	cm/s/s	1.0948	34.04	415	-118.3459	34.0396
1	s0042	0.025	cm/s/s	0.7005	34.055	415	-118.3344	34.0549
1	s0043	0.025	cm/s/s	0.3884	34.07	415	-118.3229	34.0702
1	s0044	0.025	cm/s/s	0.0721	34.085	415	-118.3114	34.0854
1	s0045	0.025	cm/s/s	0	34.101	270	-118.2999	34.1007
1	s0046	0.025	cm/s/s	0	34.116	760	-118.2884	34.1159
1	s0047	0.025	cm/s/s	0	34.131	270	-118.277	34.1312
1	s0048	0.025	cm/s/s	0	34.146	415	-118.2655	34.1464
1	s0049	0.025	cm/s/s	0	34.162	415	-118.254	34.1617
1	s0050	0.025	cm/s/s	8.6295	33.969	415	-118.3734	33.9691
1	s0051	0.025	cm/s/s	6.6445	33.984	415	-118.3619	33.9844
1	s0052	0.025	cm/s/s	4.6743	34	415	-118.3504	33.9996
1	s0053	0.025	cm/s/s	2.6961	34.015	270	-118.339	34.0149
1	s0054	0.025	cm/s/s	0.7259	34.03	415	-118.3275	34.0301
1	s0055	0.025	cm/s/s	0	34.045	415	-118.316	34.0454
1	s0056	0.025	cm/s/s	0	34.061	415	-118.3045	34.0606
1	s0057	0.025	cm/s/s	0	34.076	415	-118.293	34.0759
1	s0058	0.025	cm/s/s	0	34.091	415	-118.2815	34.0911
1	s0059	0.025	cm/s/s	0	34.106	415	-118.2701	34.1064
1	s0060	0.025	cm/s/s	0	34.122	415	-118.2586	34.1216
1	s0061	0.025	cm/s/s	0	34.137	415	-118.2471	34.1369
1	s0062	0.025	cm/s/s	0	34.152	415	-118.2356	34.1521
1	s0063	0.025	cm/s/s	8.9343	33.96	415	-118.355	33.9596
1	s0064	0.025	cm/s/s	6.9676	33.975	415	-118.3436	33.9748
1	s0065	0.025	cm/s/s	4.9864	33.99	270	-118.3321	33.9901
1	s0066	0.025	cm/s/s	3.0161	34.005	270	-118.3206	34.0053
1	s0067	0.025	cm/s/s	1.0354	34.021	270	-118.3091	34.0206
1	s0068	0.025	cm/s/s	0	34.036	270	-118.2976	34.0358
1	s0069	0.025	cm/s/s	0	34.051	415	-118.2861	34.0511
1	s0070	0.025	cm/s/s	0	34.066	415	-118.2747	34.0663
1	s0071	0.025	cm/s/s	0	34.082	415	-118.2632	34.0816
1	s0072	0.025	cm/s/s	0	34.097	415	-118.2517	34.0968
1	s0073	0.025	cm/s/s	0	34.112	415	-118.2402	34.1121
1	s0074	0.025	cm/s/s	0	34.127	415	-118.2287	34.1274
1	s0075	0.025	cm/s/s	0	34.143	415	-118.2172	34.1426
1	s0076	0.025	cm/s/s	9.2464	33.95	415	-118.3367	33.9501
1	s0077	0.025	cm/s/s	7.2762	33.965	415	-118.3252	33.9653
1	s0078	0.025	cm/s/s	5.2959	33.981	270	-118.3137	33.9806
1	s0079	0.025	cm/s/s	3.3243	33.996	270	-118.3022	33.9958
1	s0080	0.025	cm/s/s	1.344	34.011	270	-118.2907	34.0111
1	s0081	0.025	cm/s/s	0	34.026	270	-118.2792	34.0263
1	s0082	0.025	cm/s/s	0	34.042	270	-118.2678	34.0416
1	s0083	0.025	cm/s/s	0	34.057	415	-118.2563	34.0568
1	s0084	0.025	cm/s/s	0	34.072	415	-118.2448	34.0721
1	s0085	0.025	cm/s/s	0	34.087	270	-118.2333	34.0873
1	s0086	0.025	cm/s/s	0	34.103	415	-118.2218	34.1026
1	s0087	0.025	cm/s/s	0	34.118	415	-118.2103	34.1178
1	s0088	0.025	cm/s/s	0	34.133	415	-118.1988	34.1331
1	s0089	0.025	cm/s/s	7.5857	33.956	415	-118.3068	33.9558
1	s0090	0.025	cm/s/s	5.6146	33.971	270	-118.2953	33.971
1	s0091	0.025	cm/s/s	3.6339	33.986	270	-118.2838	33.9863
1	s0092	0.025	cm/s/s	1.6636	34.001	270	-118.2723	34.0015
1	s0093	0.025	cm/s/s	0	34.017	270	-118.2609	34.0168
1	s0094	0.025	cm/s/s	0	34.032	270	-118.2494	34.032
1	s0095	0.025	cm/s/s	0	34.047	270	-118.2379	34.0473
1	s0096	0.025	cm/s/s	0	34.062	270	-118.2264	34.0625
1	s0097	0.025	cm/s/s	0	34.078	415	-118.2149	34.0778
1	s0098	0.025	cm/s/s	0	34.093	415	-118.2034	34.093
1	s0099	0.025	cm/s/s	0	34.108	415	-118.192	34.1083
1	s0100	0.025	cm/s/s	0	34.124	415	-118.1805	34.1235
1	s0101	0.025	cm/s/s	7.9045	33.946	415	-118.2884	33.9462
1	s0102	0.025	cm/s/s	5.9241	33.961	270	-118.2769	33.9615
1	s0103	0.025	cm/s/s	3.953	33.977	270	-118.2654	33.9767
1	s0104	0.025	cm/s/s	1.9758	33.992	270	-118.254	33.992
1	s0105	0.025	cm/s/s	0.0055	34.007	270	-118.2425	34.0072
1	s0106	0.025	cm/s/s	0	34.022	270	-118.231	34.0225
1	s0107	0.025	cm/s/s	0	34.038	415	-118.2195	34.0378
1	s0108	0.025	cm/s/s	0	34.053	415	-118.208	34.053
1	s0109	0.025	cm/s/s	0	34.068	415	-118.1965	34.0683
1	s0110	0.025	cm/s/s	0	34.083	415	-118.1851	34.0835
1	s0111	0.025	cm/s/s	0	34.099	415	-118.1736	34.0988
1	s0112	0.025	cm/s/s	0	34.114	415	-118.1621	34.114
1	s0113	0.025	cm/s/s	8.214	33.937	415	-118.27	33.9367
1	s0114	0.025	cm/s/s	6.2362	33.952	270	-118.2586	33.952
1	s0115	0.025	cm/s/s	4.266	33.967	270	-118.2471	33.9672
1	s0116	0.025	cm/s/s	2.2857	33.982	270	-118.2356	33.9825
1	s0117	0.025	cm/s/s	0.3141	33.998	270	-118.2241	33.9977
1	s0118	0.025	cm/s/s	0	34.013	270	-118.2126	34.013
1	s0119	0.025	cm/s/s	0	34.028	415	-118.2011	34.0282
1	s0120	0.025	cm/s/s	0	34.043	415	-118.1897	34.0435
1	s0121	0.025	cm/s/s	0	34.059	415	-118.1782	34.0587
1	s0122	0.025	cm/s/s	0	34.074	415	-118.1667	34.074
1	s0123	0.025	cm/s/s	0	34.089	415	-118.1552	34.0892
1	s0124	0.025	cm/s/s	0	34.104	415	-118.1437	34.1045
1	s0125	0.025	cm/s/s	0	34.12	415	-118.1322	34.1197
1	s0126	0.025	cm/s/s	8.5261	33.927	270	-118.2517	33.9272
1	s0127	0.025	cm/s/s	6.5545	33.942	270	-118.2402	33.9424
1	s0128	0.025	cm/s/s	4.5742	33.958	270	-118.2287	33.9577
1	s0129	0.025	cm/s/s	2.604	33.973	270	-118.2172	33.9729
1	s0130	0.025	cm/s/s	0.6227	33.988	270	-118.2057	33.9882
1	s0131	0.025	cm/s/s	0	34.003	270	-118.1942	34.0034
1	s0132	0.025	cm/s/s	0	34.019	270	-118.1828	34.0187
1	s0133	0.025	cm/s/s	0	34.034	415	-118.1713	34.0339
1	s0134	0.025	cm/s/s	0	34.049	415	-118.1598	34.0492
1	s0135	0.025	cm/s/s	0	34.064	415	-118.1483	34.0644
1	s0136	0.025	cm/s/s	0	34.08	415	-118.1368	34.0797
1	s0137	0.025	cm/s/s	0	34.095	415	-118.1253	34.095
1	s0138	0.025	cm/s/s	0	34.11	415	-118.1139	34.1102
1	s0139	0.025	cm/s/s	8.8457	33.918	270	-118.2333	33.9176
1	s0140	0.025	cm/s/s	6.8644	33.933	270	-118.2218	33.9329
1	s0141	0.025	cm/s/s	4.8837	33.948	270	-118.2103	33.9482
1	s0142	0.025	cm/s/s	2.9126	33.963	270	-118.1988	33.9634
1	s0143	0.025	cm/s/s	0.9322	33.979	270	-118.1873	33.9787
1	s0144	0.025	cm/s/s	0	33.994	270	-118.1759	33.9939
1	s0145	0.025	cm/s/s	0	34.009	415	-118.1644	34.0092
1	s0146	0.025	cm/s/s	0	34.024	415	-118.1529	34.0244
1	s0147	0.025	cm/s/s	0	34.04	415	-118.1414	34.0397
1	s0148	0.025	cm/s/s	0	34.055	415	-118.1299	34.0549
1	s0149	0.025	cm/s/s	0	34.07	415	-118.1184	34.0702
1	s0150	0.025	cm/s/s	0	34.085	415	-118.107	34.0854
1	s0151	0.025	cm/s/s	0	34.101	415	-118.0955	34.1007
1	s0152	0.025	cm/s/s	7.9489	33.908	270	-118.2149	33.9081
1	s0153	0.025	cm/s/s	6.4711	33.923	270	-118.2034	33.9234
1	s0154	0.025	cm/s/s	5.2028	33.939	270	-118.1919	33.9386
1	s0155	0.025	cm/s/s	3.2256	33.954	270	-118.1805	33.9539
1	s0156	0.025	cm/s/s	1.2545	33.969	270	-118.169	33.9691
1	s0157	0.025	cm/s/s	0	33.984	270	-118.1575	33.9844
1	s0158	0.025	cm/s/s	0	34	415	-118.146	33.9996
1	s0159	0.025	cm/s/s	0	34.015	415	-118.1345	34.0149
1	s0160	0.025	cm/s/s	0	34.03	415	-118.123	34.0301
1	s0161	0.025	cm/s/s	0	34.045	415	-118.1115	34.0454
1	s0162	0.025	cm/s/s	0	34.061	415	-118.1001	34.0606
1	s0163	0.025	cm/s/s	0	34.076	270	-118.0886	34.0759
1	s0164	0.025	cm/s/s	0	34.091	270	-118.0771	34.0911
