EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-AmSam-Crustal-beta-proslab-1973.RData
Calculation start and end,Fri Jul 10 10:47:49 2026,Fri Jul 10 10:53:54 2026
Region name,AmSam-Crustal
Version,beta-proslab-1973
Catalog type,Prob
b mean,1.3
b sigma,0.0575
max n sigma b,3
delta,0.1
M1,5
Mmax,7.6
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog, from ../catalogs/amsam_beta_nomantle_separated_reclassified 1.csv
n epochs,3
t start,t end,Mc
1973,1994.5,5.5
1994.5,2010,5.3
2010,2026,5.2
type of rate model,average
epoch weights,0.4056604,0.2924528,0.3018868
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,10.5,1.3
0.025,7.88,1.41
0.16,9.04,1.36
0.5,10.4,1.3
0.84,11.9,1.24
0.975,13.7,1.19
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,10.5,1.29
0.025,7.88,1.35
0.16,9.04,1.33
0.5,10.4,1.3
0.84,11.9,1.27
0.975,13.7,1.25
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,20104,8221.2,12207,18447,27893,41667
2.6,14828,6242.6,9162.3,13675,20418,30133
2.7,10939,4741,6876.3,10140,14946,21802
2.8,8070.7,3601.5,5160,7517.5,10942,15767
2.9,5955.7,2736.6,3872.7,5571.9,8010.7,11408
3,4395.7,2078.3,2905.7,4130,5866,8255.8
3.1,3244.8,1578.6,2181.1,3062.6,4297,5976.1
3.2,2395.7,1198.8,1637,2269.5,3146.9,4331.9
3.3,1769.1,910.07,1228.6,1682.3,2303.7,3133.6
3.4,1306.6,691.09,921.87,1246.7,1686.8,2269.2
3.5,965.15,524.33,691.36,924.04,1235.3,1642.8
3.6,713.07,397.85,518.65,685.02,904.91,1190.4
3.7,526.91,301.98,389.05,507.75,662.86,862.37
3.8,389.42,228.93,291.76,376.37,485.68,625.19
3.9,287.85,173.47,218.89,278.98,355.94,453.44
4,212.81,131.41,164.18,206.88,260.96,328.95
4.1,157.36,99.537,123.06,153.41,191.29,238.61
4.2,116.38,75.419,92.201,113.74,140.25,173.35
4.3,86.085,57.064,69.079,84.333,102.88,125.94
4.4,63.687,43.142,51.747,62.523,75.498,91.442
4.5,47.125,32.599,38.748,46.338,55.421,66.446
4.6,34.876,24.589,29.002,34.33,40.699,48.349
4.7,25.815,18.544,21.69,25.448,29.905,35.214
4.8,19.111,13.953,16.219,18.864,21.977,25.68
4.9,14.151,10.493,12.119,13.985,16.166,18.746
5,10.48,7.8786,9.042,10.368,11.902,13.701
5.1,7.7623,5.9068,6.7423,7.6896,8.7725,10.043
5.2,5.7505,4.416,5.0226,5.7019,6.4726,7.3708
5.3,4.2608,3.2935,3.7374,4.2273,4.7815,5.4218
5.4,3.1576,2.4471,2.7764,3.1345,3.5377,3.9943
5.5,2.3404,1.8175,2.0597,2.3236,2.6205,2.953
5.6,1.735,1.3451,1.5257,1.7231,1.9438,2.1886
5.7,1.2864,0.99316,1.1286,1.2776,1.4439,1.6277
5.8,0.954,0.73132,0.83385,0.94731,1.0738,1.2129
5.9,0.70759,0.53766,0.61548,0.70243,0.79983,0.90629
6,0.52492,0.39429,0.45363,0.5207,0.5962,0.67899
6.1,0.38947,0.28887,0.33403,0.38597,0.44485,0.50939
6.2,0.28902,0.21113,0.2457,0.28616,0.3322,0.38287
6.3,0.21452,0.15414,0.18066,0.21212,0.24824,0.28832
6.4,0.15924,0.11244,0.13277,0.15729,0.18572,0.21744
6.5,0.11823,0.08198,0.097507,0.11657,0.13897,0.16411
6.6,0.087799,0.059656,0.071595,0.086377,0.10403,0.12397
6.7,0.06521,0.04338,0.052544,0.064018,0.077885,0.093691
6.8,0.048441,0.03152,0.038542,0.047452,0.058348,0.070843
6.9,0.035991,0.022889,0.028261,0.035175,0.043716,0.053627
7,0.026745,0.016611,0.020723,0.026073,0.032763,0.040601
7.1,0.019877,0.012056,0.015192,0.019322,0.024569,0.030742
7.2,0.014776,0.0087435,0.011134,0.014322,0.018429,0.023305
7.3,0.010986,0.0063367,0.0081587,0.010618,0.013824,0.017681
