Source 8.CH.3              
0.7318999871612379 0.3175 15.0 8.0 5.0
132.93 42.85
134.86 41.82
129.73 38.38
128.15 40.35
132.93 42.85
Source 8.CH.4              
0.7318999871612379 0.5169 15.0 7.8 5.0
132.14 43.97
132.98 42.89
129.99 41.33
129.32 42.38
132.14 43.97
Source 8.CH.5              
0.7318999871612379 0.295 15.0 7.5 5.0
130.71 44.83
131.75 43.75
129.32 42.41
128.37 43.58
130.71 44.83
Source 8.CH.6              
1.3268130716626245 0.0032 15.0 6.5 5.0
128.48 56.21
132.17 57.85
133.99 57.14
129.78 55.52
128.48 56.21
Source 8.CH.7              
1.3268130716626245 0.0231 15.0 6.0 5.0
124.01 54.31
125.14 55.57
134.38 52.96
133.29 51.75
124.01 54.31
Source 8.CH.8              
1.3268130716626245 0.0026 15.0 6.0 5.0
118.16 50.78
116.21 51.78
120.41 54.03
122.49 53.26
118.16 50.78
Source 8.CH.9              
1.3268130716626245 0.0194 15.0 6.8 5.0
138.78 51.37
132.27 47.97
130.93 49.26
137.39 52.7
138.78 51.37
Source 8.CH.10             
1.3268130716626245 0.0389 15.0 6.5 5.0
131.52 48.69
132.21 48.02
126.29 43.68
125.47 44.24
131.52 48.69
Source 8.CH.11             
1.3268130716626245 0.0385 15.0 6.5 5.0
123.3 41.36
122.59 41.78
125.49 44.23
126.31 43.66
123.3 41.36
Source 8.CH.12             
1.3268130716626245 0.0635 15.0 6.5 5.0
122.59 41.79
123.29 41.37
120.74 39.28
120.0 39.66
122.59 41.79
Source 8.CH.13             
1.3268130716626245 0.1148 15.0 7.8 5.0
123.09 41.18
123.68 40.76
122.56 39.8
121.9 40.21
123.09 41.18
Source 8.CH.14             
1.3268130716626245 0.0295 15.0 5.8 5.0
127.07 49.67
127.89 49.32
126.81 47.87
125.94 48.22
127.07 49.67
Source 8.CH.15             
1.3268130716626245 0.0325 15.0 6.5 5.0
125.55 45.95
127.5 48.16
128.37 47.81
126.51 45.6
125.55 45.95
Source 8.CH.16             
1.3268130716626245 0.0396 15.0 7.0 5.0
125.86 44.86
125.31 44.47
123.07 45.88
123.41 46.34
125.86 44.86
Source 8.CH.19             
1.3268130716626245 0.0109 15.0 6.0 5.0
124.15 48.27
123.55 47.43
120.99 48.87
121.73 49.63
124.15 48.27
Source 8.CH.20             
1.3268130716626245 0.0522 15.0 7.0 5.0
117.85 41.1
119.93 43.7
121.09 43.73
119.19 41.07
117.85 41.1
Source 8.CH.21             
1.3268130716626245 0.0101 15.0 5.5 5.0
115.47 47.96
117.14 49.53
117.88 49.41
115.94 47.65
115.47 47.96
Source 8.CH.410            
1.3268130716626245 0.0712 15.0 7.3 5.0
121.9 40.21
122.64 39.74
121.65 38.89
120.77 39.3
121.9 40.21
Source 8.CH.22             
1.0819999693303157 0.0417 15.0 6.9 5.0
126.45 41.61
126.84 41.22
124.2 39.3
123.76 39.66
126.45 41.61
Source 8.CH.23             
1.0819999693303157 0.0134 15.0 6.5 5.0
124.96 39.0
125.76 39.29
126.78 37.69
125.96 37.37
124.96 39.0
Source 8.CH.25             
1.0819999693303157 0.0231 15.0 6.5 5.0
129.0 36.56
129.26 36.2
127.63 35.6
127.39 36.0
129.0 36.56
Source 8.CH.26             
1.0819999693303157 0.0142 15.0 6.8 5.0
126.96 35.18
129.39 36.05
129.63 35.6
127.19 34.73
126.96 35.18
Source 8.CH.27             
1.0819999693303157 0.0128 15.0 6.0 5.0
129.39 35.41
129.69 35.18
127.72 33.94
127.37 34.17
129.39 35.41
Source 8.CH.28             
1.0819999693303157 0.0201 15.0 7.3 5.0
128.91 38.26
129.8 38.21
129.63 36.85
128.74 36.9
128.91 38.26
Source 8.CH.29             
1.0819999693303157 0.0035 15.0 6.0 5.0
125.96 33.34
126.65 33.81
127.0 33.57
126.33 33.02
