"shapeid","x","y"
"0","-122.777864968","39.8381656886"
"0","-122.712783108","39.7966306564"
"0","-122.686223454","39.7796803712"
"0","-122.557772047","39.6947824625"
"0","-122.431428423","39.6007197842"
"0","-122.293758473","39.5087323652"
"0","-122.16697123","39.4359569248"
"0","-122.061206307","39.3810458432"
"0","-122.001905935","39.3211349699"
"0","-121.945044943","39.2572238303"
"0","-121.901397955","39.2085283861"
"0","-121.842004613","39.1321345648"
"0","-121.801691035","39.0660931507"
"0","-121.765255002","38.9748898245"
"0","-121.726054293","38.8477751697"
"0","-121.678782911","38.7193303141"
"0","-121.662510166","38.6384606875"
"0","-121.641987919","38.5123409131"
"0","-121.625715443","38.4502393776"
"0","-121.585779602","38.3387676825"
"0","-121.548132849","38.230346958"
"0","-121.495506754","38.1442492099"
"0","-121.426299528","38.04607678"
"0","-121.348082717","37.9449890628"
"0","-121.276214415","37.8687202059"
"0","-121.209252883","37.8094839923"
"0","-121.125554944","37.7318746473"
"0","-121.075002198","37.6752790582"
"0","-120.992905138","37.580338593"
"0","-120.910179757","37.4384267837"
"0","-120.871129435","37.3595700457"
"0","-120.815084353","37.2513755475"
"0","-120.761541476","37.1524863094"
"0","-120.711320406","37.0863517642"
"0","-120.662728883","37.0076445997"
"0","-120.590544663","36.904388689"
"0","-120.540906203","36.8459944558"
"0","-120.471373642","36.7832928989"
"0","-120.413586517","36.7124939022"
"0","-120.345824157","36.6356032027"
"0","-120.302672894","36.5832395678"
"0","-120.265220043","36.5213670563"
"0","-120.255683364","36.4667802784"
"0","-120.254183841","36.4167343519"
"0","-120.258412277","36.3603212991"
"0","-120.28087253","36.3207710428"
"0","-120.307386414","36.2858336538"
"0","-120.330619011","36.2728631591"
"0","-120.37002481","36.2736528781"
"0","-120.413664958","36.2837373161"
"0","-120.46373447","36.3093192089"
"0","-120.546400241","36.3654929333"
"0","-120.668745214","36.4520328708"
"0","-120.729273558","36.4882284716"
"0","-120.809260733","36.5677620267"
"0","-120.896014086","36.6642877737"
"0","-121.000581244","36.8041277428"
"0","-121.117696191","36.973280623"
"0","-121.208111356","37.0882688185"
"0","-121.269960826","37.1820616858"
"0","-121.350261937","37.2831374942"
"0","-121.394053685","37.324164521"
"0","-121.436033098","37.346450358"
"0","-121.467274404","37.3737253657"
"0","-121.487824545","37.3856590491"
"0","-121.526201074","37.3939373247"
"0","-121.608290424","37.3962172689"
"0","-121.709962685","37.390021842"
"0","-121.772010722","37.3912423489"
"0","-121.806190619","37.3948669998"
"0","-121.841744627","37.4250467368"
"0","-121.956166666","37.5074458728"
"0","-122.012173943","37.5431672341"
"0","-122.119396549","37.597490499"
"0","-122.149132762","37.619334134"
"0","-122.194726108","37.6528261046"
"0","-122.274356933","37.7110956109"
"0","-122.320920744","37.7689278964"
"0","-122.363737277","37.8472239817"
"0","-122.407016284","37.9333370498"
"0","-122.410247803","37.9334907529"
"0","-122.41080517","37.9408758686"
"0","-122.411990621","37.9432345826"
"0","-122.416278746","37.9517667476"
"0","-122.424958284","37.9655728015"
"0","-122.46534077","38.0298069488"
"0","-122.489879848","38.0642837599"
"0","-122.634656182","38.2676909993"
"0","-122.661366795","38.305811571"
"0","-122.728627667","38.3752454761"
"0","-122.767364155","38.409755027"
"0","-122.784584866","38.4560458298"
"0","-122.803543971","38.4975702841"
"0","-122.829911461","38.5278479771"
"0","-122.899880329","38.6017934994"
"0","-123.02627437","38.7391751825"
"0","-123.106197936","38.8329650722"
"0","-123.194113539","38.9498699684"
"0","-123.372124643","39.2429422131"
"0","-123.425137752","39.3205099402"
"0","-123.483275109","39.4369903393"
"0","-123.531540362","39.5253355346"
"0","-123.546994205","39.553622402"
"0","-123.555129091","39.568512576"
"0","-123.631481085","39.7013747521"
"0","-123.669782536","39.7811068677"
"0","-123.687453435","39.8476680593"
"0","-123.698761003","39.9380204137"
"0","-123.698434016","40.0383031316"
"0","-123.677646377","40.1426550281"
"0","-123.65476105","40.2541465425"
"0","-123.632696963","40.3446148411"
"0","-123.618732431","40.3369820404"
"0","-123.524186488","40.2855492703"
"0","-123.424816786","40.23679588"
"0","-123.342503779","40.1964109521"
"0","-123.181226251","40.0955895511"
"0","-122.777864968","39.8381656886"
"1","-109.196037519","44.3413289945"
"1","-109.094571988","44.3511270588"
"1","-109.002704148","44.358521174"
"1","-108.965630974","44.3658839299"
"1","-108.931340205","44.3867086663"
"1","-108.891054854","44.4253660703"
"1","-108.831109722","44.4626168348"
"1","-108.757495573","44.4806104019"
"1","-108.648652315","44.4918667268"
"1","-108.522192076","44.5117119836"
"1","-108.427471533","44.5213386964"
"1","-108.360479465","44.5246644604"
"1","-108.28000721","44.5086694072"
"1","-108.19692388","44.4791317609"
"1","-108.170493195","44.4698426284"
"1","-108.102848542","44.2975457103"
"1","-108.029476025","44.0234647667"
"1","-107.999024857","43.7065350855"
"1","-107.986297143","43.6399569381"
"1","-107.998412893","43.5273233971"
"1","-108.052929207","43.3911079566"
"1","-108.150452713","43.2360186718"
"1","-108.301029881","43.0124913076"
"1","-108.463661866","42.8214118687"
"1","-108.616953051","42.5874953932"
"1","-108.659954072","42.5139012415"
"1","-108.772854917","42.5309999994"
"1","-108.947557582","42.5122552609"
"1","-109.12169917","42.513923077"
"1","-109.247656728","42.5550054238"
"1","-109.36276903","42.6109324407"
