segment Switzerland
47.042 9.756
47.043 9.768
47.04 9.783
47.031 9.798
47.03 9.798
47.024 9.812
47.016 9.833
47.026 9.865
47.025 9.874
47.018 9.877
47.011 9.873
46.999 9.89
46.985 9.881
46.968 9.871
46.959 9.878
46.946 9.875
46.941 9.875
46.934 9.883
46.934 9.887
46.93 9.899
46.929 9.899
46.927 9.907
46.92 9.922
46.914 9.942
46.916 9.95
46.915 9.961
46.915 9.976
46.909 9.982
46.902 9.994
46.902 10
46.902 10.006
46.898 10.022
46.883 10.042
46.868 10.054
46.864 10.062
46.864 10.08
46.847 10.105
46.849 10.116
46.849 10.135
46.853 10.155
46.869 10.19
46.872 10.206
46.873 10.228
46.879 10.232
46.902 10.231
46.902 10.229
46.909 10.236
46.909 10.237
46.921 10.241
46.921 10.24
46.931 10.25
46.932 10.255
46.924 10.278
46.923 10.291
46.922 10.293
46.932 10.311
46.944 10.304
46.949 10.308
46.954 10.322
46.963 10.331
46.986 10.34
46.992 10.348
46.998 10.373
47.002 10.388
47.001 10.393
46.979 10.421
46.969 10.425
46.966 10.424
46.964 10.431
46.958 10.444
46.956 10.455
46.955 10.463
46.951 10.472
46.94 10.491
46.929 10.489
46.919 10.488
46.917 10.478
46.898 10.472
46.887 10.466
46.872 10.467
46.862 10.47
46.86 10.471
46.844 10.467
46.831 10.458
46.828 10.454
46.809 10.45
46.803 10.444
46.796 10.43
46.788 10.424
46.779 10.428
46.768 10.439
46.759 10.444
46.755 10.442
46.741 10.41
46.733 10.399
46.716 10.417
46.695 10.387
46.691 10.381
46.682 10.378
46.662 10.389
46.65 10.394
46.641 10.395
46.638 10.402
46.641 10.427
46.64 10.446
46.636 10.459
46.621 10.48
46.613 10.486
46.613 10.485
46.611 10.485
46.598 10.482
46.585 10.484
46.585 10.483
46.571 10.473
46.571 10.474
46.549 10.464
46.542 10.457
46.54 10.45
46.541 10.44
46.552 10.419
46.551 10.402
46.546 10.394
46.547 10.387
46.55 10.383
46.554 10.368
46.553 10.353
46.548 10.344
46.55 10.326
46.548 10.31
46.549 10.304
46.554 10.296
46.57 10.287
46.578 10.271
46.577 10.263
46.575 10.258
46.575 10.254
46.579 10.246
46.585 10.241
46.597 10.243
46.604 10.25
46.611 10.251
46.622 10.24
46.632 10.238
46.635 10.234
46.619 10.216
46.619 10.208
46.624 10.197
46.623 10.186
46.614 10.162
46.604 10.135
46.603 10.126
46.605 10.109
46.604 10.103
46.594 10.099
46.583 10.101
46.576 10.094
46.569 10.081
46.557 10.074
46.539 10.051
46.537 10.051
46.521 10.056
46.512 10.052
46.502 10.045
46.485 10.041
46.471 10.049
46.46 10.044
46.448 10.043
46.428 10.062
46.43 10.073
46.424 10.081
46.426 10.104
46.432 10.131
46.431 10.136
46.418 10.142
46.413 10.157
46.4 10.161
46.394 10.158
46.382 10.129
46.375 10.121
46.363 10.117
46.353 10.108
46.342 10.105
46.332 10.107
46.316 10.121
46.296 10.145
46.282 10.159
46.265 10.171
46.242 10.148
46.237 10.147
46.231 10.133
46.231 10.123
46.233 10.102
46.236 10.084
46.225 10.072
46.226 10.062
46.231 10.051
46.233 10.043
46.255 10.054
46.267 10.051
46.276 10.038
46.288 10.008
46.29 10
46.296 9.991
46.312 9.996
46.326 9.984
46.334 9.986
46.34 9.992
46.35 9.993
46.355 9.989
46.366 9.964
46.381 9.956
46.383 9.949
46.373 9.927
46.377 9.916
46.378 9.915
46.379 9.905
46.368 9.876
46.366 9.857
46.367 9.842
46.363 9.827
46.348 9.804
46.339 9.777
46.344 9.768
46.347 9.76
46.354 9.743
46.348 9.728
46.347 9.727
46.334 9.723
46.321 9.726
46.315 9.724
46.298 9.709
46.302 9.679
46.296 9.66
46.292 9.63
46.298 9.604
46.3 9.599
46.3 9.584
46.302 9.572
46.311 9.544
46.318 9.534
46.333 9.519
46.349 9.513
46.358 9.505
46.366 9.489
46.368 9.481
46.376 9.468
46.384 9.467
46.396 9.47
46.41 9.462
46.425 9.451
46.445 9.454
46.457 9.453
46.481 9.464
46.495 9.466
46.504 9.459
46.506 9.452
46.505 9.445
46.493 9.427
46.471 9.415
46.467 9.411
46.47 9.396
46.484 9.373
46.493 9.365
46.502 9.369
46.508 9.357
46.509 9.343
46.507 9.315
46.503 9.295
46.496 9.284
46.488 9.277
46.477 9.274
46.459 9.274
46.451 9.268
46.444 9.25
46.438 9.246
46.432 9.247
46.423 9.259
46.417 9.27
46.41 9.278
46.39 9.28
46.366 9.278
46.351 9.291
46.342 9.29
46.328 9.292
46.299 9.274
46.275 9.251
46.259 9.243
46.245 9.243
46.241 9.239
46.237 9.227
46.231 9.221
46.219 9.216
46.212 9.202
46.2 9.195
46.183 9.189
46.175 9.173
46.174 9.163
46.172 9.156
46.164 9.15
46.159 9.133
46.147 9.122
46.138 9.105
46.139 9.105
46.132 9.086
46.124 9.077
46.118 9.075
46.102 9.083
46.091 9.083
46.073 9.076
46.068 9.068
46.064 9.039
46.065 9.039
46.056 9.023
46.045 9.012
46.03 9.012
46.019 9.019
46.014 9.022
46.005 9.022
46.002 9.022
45.993 9.003
45.982 8.993
45.971 9.001
45.961 9.01
45.94 9.016
45.935 9.02
45.929 9.03
45.932 9.049
45.931 9.049
45.924 9.056
45.921 9.067
45.911 9.073
45.91 9.082
45.909 9.082
45.906 9.084
45.889 9.071
45.88 9.053
45.873 9.049
45.863 9.048
45.844 9.034
45.834 9.034
45.829 9.026
45.826 9.016
45.826 9.007
45.829 8.999
45.838 8.997
45.842 8.992
45.843 8.985
45.839 8.974
45.841 8.964
45.85 8.949
45.85 8.939
45.843 8.925
45.844 8.914
45.854 8.914
45.865 8.921
45.871 8.932
45.874 8.939
45.88 8.937
45.9 8.921
45.912 8.921
45.92 8.913
45.933 8.9
45.942 8.894
45.963 8.894
45.967 8.886
45.967 8.882
45.967 8.878
45.971 8.866
45.992 8.838
46 8.815
46.001 8.801
46.005 8.792
46.011 8.79
46.019 8.797
46.032 8.815
46.031 8.815
46.038 8.831
46.043 8.837
46.056 8.829
46.056 8.843
46.062 8.853
46.069 8.856
46.075 8.855
46.081 8.844
46.093 8.832
46.093 8.833
46.112 8.807
46.101 8.795
46.101 8.78
46.108 8.762
46.113 8.749
46.114 8.746
46.114 8.743
46.114 8.74
46.107 8.707
46.108 8.698
