segment Bulgaria
43.852 22.391
43.864 22.394
43.876 22.397
43.889 22.4
43.899 22.402
43.904 22.402
43.911 22.403
43.922 22.404
43.931 22.403
43.939 22.405
43.943 22.409
43.946 22.414
43.951 22.418
43.957 22.417
43.967 22.419
43.977 22.423
43.982 22.425
43.987 22.422
43.991 22.419
43.999 22.42
44.01 22.426
44.012 22.433
44.012 22.437
44.017 22.449
44.021 22.463
44.025 22.502
44.025 22.524
44.027 22.535
44.032 22.542
44.039 22.545
44.045 22.545
44.048 22.543
44.053 22.541
44.057 22.544
44.058 22.549
44.061 22.561
44.062 22.569
44.062 22.576
44.064 22.586
44.066 22.591
44.067 22.603
44.068 22.615
44.073 22.625
44.077 22.627
44.082 22.625
44.085 22.622
44.09 22.623
44.094 22.625
44.098 22.624
44.103 22.622
44.107 22.619
44.114 22.615
44.12 22.615
44.134 22.62
44.139 22.622
44.146 22.624
44.157 22.624
44.163 22.625
44.168 22.627
44.178 22.633
44.186 22.637
44.191 22.641
44.2 22.652
44.206 22.66
44.209 22.667
44.218 22.682
44.214 22.689
44.211 22.694
44.208 22.701
44.207 22.709
44.206 22.72
44.205 22.729
44.204 22.738
44.201 22.747
44.199 22.756
44.197 22.762
44.193 22.768
44.179 22.785
44.174 22.793
44.168 22.802
44.163 22.813
44.16 22.822
44.156 22.834
44.147 22.859
44.143 22.871
44.137 22.886
44.12 22.913
44.118 22.918
44.112 22.929
44.109 22.939
44.108 22.95
44.103 22.971
44.104 22.979
44.102 22.994
44.105 23.015
44.104 23.025
44.101 23.031
44.088 23.041
44.08 23.044
44.068 23.047
44.06 23.046
44.055 23.044
44.045 23.039
44.03 23.024
44.024 23.012
44.021 23.003
44.016 22.99
44.012 22.98
44.009 22.959
44.006 22.946
44.005 22.937
44.005 22.929
44.002 22.916
43.999 22.91
43.998 22.905
43.994 22.898
43.987 22.892
43.979 22.889
43.972 22.885
43.971 22.885
43.956 22.878
43.937 22.865
43.929 22.861
43.905 22.853
43.896 22.852
43.885 22.854
43.872 22.857
43.865 22.859
43.856 22.869
43.851 22.875
43.85 22.879
43.845 22.887
43.842 22.904
43.837 22.918
43.833 22.936
43.83 22.953
43.822 22.976
43.817 22.989
43.813 23.01
43.811 23.031
43.808 23.054
43.808 23.075
43.81 23.1
43.811 23.116
43.813 23.122
43.815 23.129
43.817 23.134
43.818 23.143
43.82 23.156
43.824 23.172
43.831 23.197
43.834 23.202
43.838 23.213
43.84 23.225
43.84 23.23
43.845 23.244
43.851 23.263
43.853 23.277
43.857 23.288
43.856 23.297
43.857 23.311
43.859 23.337
43.859 23.355
43.857 23.365
43.856 23.384
43.858 23.405
43.859 23.417
43.863 23.425
43.863 23.43
43.862 23.444
43.858 23.455
43.857 23.464
43.854 23.478
43.848 23.494
43.841 23.515
43.837 23.524
