segment Hungary
48.11 19.497
48.12 19.498
48.125 19.502
48.137 19.504
48.14 19.504
48.151 19.519
48.158 19.521
48.177 19.519
48.184 19.525
48.2 19.53
48.21 19.537
48.217 19.547
48.218 19.561
48.216 19.587
48.217 19.59
48.222 19.606
48.236 19.622
48.244 19.637
48.244 19.649
48.241 19.672
48.237 19.692
48.231 19.695
48.22 19.696
48.211 19.705
48.208 19.717
48.208 19.729
48.215 19.751
48.216 19.764
48.212 19.776
48.201 19.79
48.196 19.802
48.188 19.805
48.179 19.799
48.172 19.791
48.165 19.794
48.157 19.801
48.159 19.811
48.165 19.829
48.166 19.836
48.17 19.847
48.174 19.851
48.174 19.858
48.171 19.864
48.171 19.877
48.167 19.889
48.159 19.905
48.148 19.917
48.143 19.912
48.131 19.907
48.127 19.911
48.128 19.92
48.13 19.932
48.137 19.945
48.147 19.96
48.159 19.977
48.168 19.997
48.169 20
48.172 20.008
48.173 20.022
48.178 20.032
48.169 20.052
48.179 20.083
48.188 20.072
48.192 20.072
48.194 20.08
48.199 20.092
48.207 20.111
48.218 20.129
48.228 20.145
48.238 20.149
48.247 20.149
48.265 20.147
48.269 20.148
48.269 20.157
48.266 20.166
48.259 20.179
48.255 20.194
48.258 20.202
48.265 20.205
48.269 20.217
48.267 20.229
48.269 20.241
48.276 20.245
48.286 20.246
48.289 20.25
48.288 20.26
48.281 20.28
48.273 20.302
48.273 20.316
48.28 20.328
48.291 20.338
48.301 20.344
48.347 20.386
48.355 20.392
48.362 20.409
48.37 20.413
48.377 20.411
48.384 20.409
48.39 20.413
48.401 20.422
48.409 20.419
48.421 20.419
48.43 20.43
48.437 20.44
48.45 20.456
48.455 20.472
48.465 20.471
48.469 20.477
48.477 20.49
48.487 20.493
48.493 20.497
48.498 20.503
48.507 20.512
48.523 20.51
48.531 20.501
48.538 20.498
48.541 20.511
48.541 20.523
48.536 20.533
48.534 20.541
48.543 20.546
48.549 20.556
48.541 20.587
48.545 20.598
48.545 20.614
48.555 20.629
48.556 20.648
48.563 20.65
48.567 20.654
48.565 20.666
48.564 20.684
48.564 20.693
48.566 20.696
48.571 20.703
48.573 20.724
48.574 20.749
48.575 20.775
48.578 20.797
48.581 20.824
48.585 20.843
48.577 20.853
48.57 20.857
48.563 20.866
48.556 20.875
48.553 20.886
48.556 20.898
48.561 20.916
48.559 20.932
48.554 20.942
48.547 20.94
48.547 20.949
48.533 20.963
48.525 20.963
48.522 20.968
48.522 20.977
48.52 20.99
48.523 20.997
48.528 21.004
48.529 21.012
48.532 21.025
48.531 21.034
48.529 21.049
48.525 21.059
48.525 21.069
48.524 21.081
48.515 21.105
48.503 21.104
48.497 21.107
48.494 21.12
48.5 21.139
48.515 21.153
48.524 21.167
48.524 21.18
48.525 21.192
48.53 21.213
48.539 21.219
48.541 21.242
48.533 21.259
48.528 21.279
48.525 21.298
48.526 21.305
48.526 21.312
48.532 21.31
48.541 21.313
48.549 21.321
48.557 21.323
48.562 21.342
48.561 21.37
48.564 21.414
48.562 21.422
48.564 21.429
48.57 21.431
48.58 21.434
48.586 21.44
48.585 21.452
48.579 21.466
48.57 21.485
48.565 21.496
48.56 21.502
48.561 21.512
48.556 21.516
48.551 21.524
48.541 21.527
48.53 21.537
48.514 21.553
48.511 21.572
48.507 21.587
48.509 21.594
48.514 21.607
48.511 21.62
48.51 21.627
48.461 21.64
48.448 21.649
48.44 21.659
48.431 21.667
48.421 21.672
48.399 21.678
48.379 21.71
48.374 21.709
48.372 21.709
48.365 21.726
48.355 21.73
48.35 21.758
48.344 21.785
48.345 21.794
48.349 21.798
48.349 21.803
48.346 21.807
48.346 21.819
48.339 21.827
48.35 21.845
48.356 21.845
48.366 21.854
48.367 21.861
48.366 21.87
48.364 21.879
48.365 21.893
48.37 21.918
48.376 21.94
48.384 21.959
48.383 21.966
48.382 21.974
48.385 21.986
48.381 21.993
48.386 22.001
48.385 22.011
48.389 22.023
48.391 22.039
48.385 22.051
48.385 22.06
48.39 22.069
48.388 22.082
48.384 22.089
48.377 22.093
48.381 22.106
48.38 22.12
48.382 22.13
48.385 22.133
48.386 22.138
48.394 22.147
48.4 22.163
48.413 22.18
48.418 22.195
48.423 22.213
48.424 22.229
48.419 22.238
48.413 22.278
48.41 22.281
48.404 22.277
48.4 22.269
48.395 22.255
48.39 22.25
48.382 22.264
48.373 22.271
48.366 22.275
48.363 22.272
48.358 22.283
48.36 22.296
48.361 22.31
48.364 22.322
48.362 22.327
48.326 22.323
48.32 22.326
48.31 22.341
48.305 22.346
48.283 22.345
48.283 22.346
48.276 22.357
48.269 22.364
48.265 22.369
48.251 22.375
48.244 22.384
48.242 22.394
48.252 22.404
48.253 22.414
48.25 22.438
48.25 22.455
48.246 22.468
48.25 22.479
48.255 22.492
48.255 22.502
48.251 22.509
48.245 22.51
48.242 22.508
48.24 22.523
48.236 22.524
48.229 22.524
48.216 22.534
48.212 22.551
48.203 22.563
48.199 22.575
48.2 22.585
48.194 22.587
48.186 22.572
48.18 22.575
48.167 22.584
48.161 22.588
48.157 22.596
48.149 22.605
48.143 22.6
48.137 22.602
48.131 22.602
48.125 22.601
48.12 22.606
48.114 22.601
48.112 22.601
48.109 22.601
48.109 22.604
48.093 22.615
48.093 22.62
48.095 22.623
48.103 22.625
48.104 22.631
48.099 22.64
48.096 22.651
48.092 22.68
48.094 22.688
48.101 22.698
48.102 22.707
48.111 22.718
48.114 22.729
48.117 22.733
48.116 22.741
48.119 22.749
48.12 22.756
48.117 22.765
48.112 22.77
48.111 22.775
48.116 22.78
48.12 22.781
48.121 22.792
48.12 22.812
48.116 22.813
48.109 22.81
48.107 22.81
