segment Jersey
49.199 -2.035
49.193 -2.037
49.182 -2.035
49.172 -2.032
49.171 -2.037
49.175 -2.053
49.174 -2.069
49.17 -2.076
49.17 -2.081
49.181 -2.094
49.183 -2.1
49.181 -2.112
49.182 -2.113
49.187 -2.112
49.193 -2.119
49.199 -2.131
49.201 -2.141
49.202 -2.157
49.201 -2.161
49.199 -2.168
49.192 -2.174
49.183 -2.174
49.179 -2.169
49.175 -2.169
49.17 -2.173
49.176 -2.183
49.174 -2.192
49.179 -2.193
49.183 -2.19
49.187 -2.194
49.189 -2.202
49.189 -2.207
49.185 -2.208
49.182 -2.214
49.181 -2.224
49.18 -2.234
49.184 -2.24
49.186 -2.252
49.189 -2.242
49.192 -2.241
49.193 -2.237
49.197 -2.233
49.212 -2.228
49.229 -2.234
49.234 -2.24
49.243 -2.247
49.246 -2.256
49.248 -2.255
49.252 -2.26
49.257 -2.259
49.263 -2.253
49.263 -2.248
49.261 -2.24
49.262 -2.235
49.264 -2.236
49.265 -2.232
49.261 -2.226
49.259 -2.217
49.252 -2.207
49.255 -2.18
49.262 -2.172
49.265 -2.154
49.258 -2.143
49.258 -2.14
49.259 -2.128
49.255 -2.12
49.256 -2.115
49.255 -2.11
49.259 -2.106
49.259 -2.1
49.258 -2.095
49.252 -2.089
49.244 -2.085
49.243 -2.081
49.242 -2.074
49.247 -2.055
49.244 -2.048
49.243 -2.049
49.238 -2.028
49.229 -2.024
49.227 -2.031
49.222 -2.032
49.217 -2.026
49.211 -2.026
49.207 -2.022
49.205 -2.029
49.199 -2.035
